timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1779237841.275,0.00,695.01,0.00,450.19,3685.19
1779237841.377,5.10,696.11,0.00,450.19,3685.19
1779237841.570,15.40,725.10,0.00,450.19,3685.19
1779237841.675,25.60,768.83,0.00,450.19,3685.19
1779237841.807,23.30,797.15,0.00,450.19,3685.19
1779237867.793,26.40,783.20,0.00,450.19,3685.19
1779237867.947,25.10,950.79,0.00,450.19,3685.19
1779237868.049,25.00,948.10,0.00,450.19,3685.19
1779237868.151,26.80,948.10,0.00,450.19,3685.19
1779237868.253,25.00,948.10,0.00,450.19,3685.19
1779237887.842,25.10,912.10,0.00,450.19,3685.19
1779237887.945,5.90,888.22,0.00,450.19,3685.19
1779237888.046,10.00,888.35,0.00,450.19,3685.19
1779237888.148,19.50,889.73,0.00,450.19,3685.19
1779237888.250,19.50,889.73,0.00,450.19,3685.19
1779237888.352,17.10,889.73,0.00,450.19,3685.19
1779237888.453,15.00,889.73,0.00,450.19,3685.19
1779237888.555,12.50,889.73,0.00,450.19,3685.19
1779237888.657,11.90,889.73,0.00,450.19,3685.19
1779237888.759,10.30,889.73,0.00,450.19,3685.19
1779237888.860,17.50,889.73,0.00,450.19,3685.19
1779237888.962,24.40,889.73,0.00,450.19,3685.19
1779237889.066,22.00,889.73,0.00,450.19,3685.19
1779237889.300,23.70,895.94,0.00,450.19,3685.19
1779237889.402,24.40,896.89,0.00,450.19,3685.19
1779237889.504,25.00,955.18,0.00,460.19,3685.19
1779237889.606,16.70,980.52,0.00,552.19,3685.19
1779237889.713,15.00,984.09,3.00,554.19,3685.19
1779237889.814,11.60,1036.21,3.00,554.19,3685.19
1779237889.916,20.00,1148.61,0.00,554.19,3685.19
1779237890.017,31.00,1338.80,0.00,554.19,3685.19
1779237890.119,19.50,1451.99,0.00,554.19,3685.19
1779237890.220,14.60,1519.99,0.00,554.19,3685.19
1779237890.322,9.30,1545.49,0.00,554.19,3685.19
1779237890.423,9.30,1570.99,0.00,554.19,3685.19
1779237890.524,2.60,1596.43,0.00,554.19,3685.19
1779237890.626,0.00,1621.49,0.00,554.19,3685.19
1779237890.727,10.30,1646.99,0.00,554.19,3685.19
1779237890.829,0.00,1672.49,0.00,554.19,3685.19
1779237890.930,9.10,1697.99,0.00,554.19,3685.19
1779237891.032,9.50,1723.08,0.00,554.19,3685.19
1779237891.133,7.10,1748.49,0.00,554.19,3685.19
1779237891.235,5.30,1821.74,0.00,554.19,3685.19
1779237891.336,2.60,1846.99,0.00,554.19,3685.19
1779237891.438,2.50,1872.49,0.00,554.19,3685.19
1779237891.539,7.30,1897.99,0.00,554.19,3685.19
1779237891.641,7.10,1924.20,0.00,554.19,3685.19
1779237891.742,9.80,1950.49,0.00,554.19,3685.19
1779237891.843,0.00,1975.99,0.00,554.19,3685.19
1779237891.945,0.00,2001.49,0.00,554.19,3685.19
1779237892.046,2.50,2026.99,0.00,554.19,3685.19
1779237892.148,7.10,2052.08,0.00,554.19,3685.19
1779237892.249,11.40,2077.49,0.00,554.19,3685.19
1779237892.351,5.00,2102.99,0.00,554.19,3685.19
1779237892.452,0.00,2128.49,0.00,554.19,3685.19
1779237892.553,0.00,2153.94,0.00,554.19,3685.19
1779237892.655,0.00,2178.99,0.00,554.19,3685.19
1779237892.756,4.90,2204.49,0.00,554.19,3685.19
1779237892.858,13.60,2229.99,0.00,554.19,3685.19
1779237892.959,4.90,2255.49,0.00,554.19,3685.19
1779237893.061,2.60,2280.99,0.00,554.19,3685.19
1779237893.162,0.00,2305.99,0.00,554.19,3685.19
1779237893.263,0.00,2331.49,0.00,554.19,3685.19
1779237893.365,5.00,2356.99,0.00,554.19,3685.19
1779237893.466,11.40,2382.49,0.00,554.19,3685.19
1779237893.568,9.80,2407.86,0.00,554.19,3685.19
1779237893.669,2.40,2433.00,0.00,554.19,3685.19
1779237893.771,2.60,2458.50,0.00,554.19,3685.19
1779237893.872,0.00,2484.00,0.00,554.19,3685.19
1779237893.973,2.60,2509.50,0.00,554.19,3685.19
1779237894.075,9.50,2534.96,0.00,554.19,3685.19
1779237894.176,9.30,2560.00,0.00,554.19,3685.19
1779237894.278,2.60,2585.50,0.00,554.19,3685.19
1779237894.379,0.00,2611.00,0.00,554.19,3685.19
1779237894.480,0.00,2636.50,0.00,554.19,3685.19
1779237894.582,0.00,2661.50,0.00,554.19,3685.19
1779237894.683,11.60,2687.00,0.00,554.19,3685.19
1779237894.784,11.40,2712.50,0.00,554.19,3685.19
1779237894.886,0.00,2738.00,0.00,554.19,3685.19
1779237894.987,2.50,2763.23,0.00,554.19,3685.19
1779237895.089,0.00,2788.50,0.00,554.19,3685.19
1779237895.190,2.60,2814.00,0.00,554.19,3685.19
1779237895.292,7.10,2839.50,0.00,554.19,3685.19
1779237895.393,11.60,2864.85,0.00,554.19,3685.19
1779237895.494,2.50,2890.00,0.00,554.19,3685.19
1779237895.595,2.60,2915.50,0.00,554.19,3685.19
1779237895.697,0.00,2941.00,0.00,554.19,3685.19
1779237895.798,7.50,2966.50,0.00,554.19,3685.19
1779237895.899,10.00,2991.50,0.00,554.19,3685.19
1779237896.001,13.60,3017.00,0.00,554.19,3685.19
1779237896.102,2.40,3042.50,0.00,554.19,3685.19
1779237896.203,0.00,3068.00,0.00,554.19,3685.19
1779237896.305,2.50,3093.00,0.00,554.19,3685.19
1779237896.406,5.10,3114.50,0.00,554.19,3685.19
1779237896.508,17.50,3122.36,0.00,554.19,3685.19
1779237896.609,11.40,3147.86,0.00,554.19,3685.19
1779237896.710,9.30,3172.86,0.00,554.19,3685.19
1779237896.811,2.60,3198.36,0.00,554.19,3685.19
1779237896.913,0.00,3223.86,0.00,554.19,3685.19
1779237897.014,0.00,3249.36,0.00,554.19,3685.19
1779237897.116,2.50,3274.36,0.00,554.19,3685.19
1779237897.217,14.30,3299.86,0.00,554.19,3685.19
1779237897.319,11.60,3325.36,0.00,554.19,3685.19
1779237897.420,12.50,3350.86,0.00,554.19,3685.19
1779237897.521,0.00,3376.36,0.00,554.19,3685.19
1779237897.623,0.00,3401.36,0.00,554.19,3685.19
1779237897.724,5.00,3426.86,0.00,554.19,3685.19
1779237897.825,11.60,3452.36,0.00,554.19,3685.19
1779237897.927,9.30,3477.86,0.00,554.19,3685.19
1779237898.028,2.60,3502.86,0.00,554.19,3685.19
1779237898.129,0.00,3528.36,0.00,554.19,3685.19
1779237898.231,0.00,3553.86,0.00,554.19,3685.19
1779237898.332,5.00,3579.36,0.00,554.19,3685.19
1779237898.434,23.80,3502.29,0.00,554.19,3685.19
1779237898.535,18.60,3527.44,0.00,554.19,3685.19
1779237898.637,4.90,3552.94,0.00,554.19,3685.19
1779237898.738,0.00,3578.44,0.00,554.19,3685.19
1779237898.840,0.00,3603.94,0.00,554.19,3685.19
1779237898.941,5.00,3629.41,0.00,554.19,3685.19
1779237899.042,9.30,3654.44,0.00,554.19,3685.19
1779237899.144,9.50,3679.94,0.00,554.19,3685.19
1779237899.245,4.90,3705.44,0.00,554.19,3685.19
1779237899.347,0.00,3730.94,0.00,554.19,3685.19
1779237899.448,0.00,3756.29,0.00,554.19,3685.19
1779237899.550,2.50,3781.44,0.00,554.19,3685.19
1779237899.651,7.30,3806.94,0.00,554.19,3685.19
1779237899.752,9.30,3832.44,0.00,554.19,3685.19
1779237899.854,7.50,3857.94,0.00,554.19,3685.19
1779237899.955,0.00,3882.94,0.00,554.19,3685.19
1779237900.057,24.40,3890.11,0.00,2070.19,3685.19
1779237900.159,25.00,3890.11,30.00,2070.19,3685.19
1779237900.260,26.20,3890.11,77.00,2070.19,3685.19
1779237900.362,25.00,3058.40,77.00,2068.19,3685.19
1779237900.463,24.40,2456.14,21.00,2070.19,3685.19
1779237900.564,30.00,2383.42,21.00,2070.19,3685.19
1779237900.666,31.70,2361.12,0.00,2070.19,3685.19
1779237900.768,32.60,2319.24,0.00,2070.19,3685.19
1779237900.870,9.50,2345.31,0.00,2070.19,3685.19
1779237900.971,14.60,2258.32,0.00,2240.19,3685.19
1779237901.073,11.60,2283.82,10.00,2240.19,3685.19
1779237901.174,9.30,2309.32,10.00,2240.19,3685.19
1779237901.275,5.00,2334.65,0.00,2240.19,3685.19
1779237901.377,0.00,2359.82,0.00,2240.19,3685.19
1779237901.478,0.00,2385.32,0.00,2240.19,3685.19
1779237901.579,0.00,2410.82,0.00,2240.19,3685.19
1779237901.680,7.10,2435.82,0.00,2240.19,3685.19
1779237901.782,15.90,2460.59,0.00,2240.19,3685.19
1779237901.883,7.70,2375.25,10.00,2296.19,3685.19
1779237901.984,0.00,2400.44,10.00,2296.19,3685.19
1779237902.085,0.00,2425.75,0.00,2296.19,3685.19
1779237902.187,2.60,2451.25,0.00,2296.19,3685.19
1779237902.288,4.80,2476.75,0.00,2296.19,3685.19
1779237902.389,11.60,2501.75,0.00,2296.19,3685.19
1779237902.491,4.90,2527.25,0.00,2296.19,3685.19
1779237902.592,5.00,2552.75,0.00,2296.19,3685.19
1779237902.693,7.90,2572.53,0.00,2352.19,3685.19
1779237902.795,5.00,2476.28,0.00,2260.19,3685.19
1779237902.896,4.80,2489.03,13.00,2260.19,3685.19
1779237902.998,9.80,2501.96,13.00,2308.19,3685.19
1779237903.099,2.40,2514.71,3.00,2308.19,3685.19
1779237903.201,2.50,2527.46,3.00,2308.19,3685.19
1779237903.302,7.50,2540.56,3.00,2292.19,3685.19
1779237903.403,2.50,2565.91,3.00,2292.19,3685.19
1779237903.505,7.30,2591.41,1.00,2292.19,3685.19
1779237903.606,11.60,2616.91,1.00,2292.19,3685.19
1779237903.707,2.50,2641.91,0.00,2292.19,3685.19
1779237903.809,2.60,2667.41,0.00,2292.19,3685.19
1779237903.910,2.40,2692.91,0.00,2292.19,3685.19
1779237904.011,0.00,2718.41,0.00,2292.19,3685.19
1779237904.113,7.10,2743.41,0.00,2292.19,3685.19
1779237904.214,14.60,2764.22,0.00,2404.19,3685.19
1779237904.316,9.80,2682.85,11.00,2460.19,3685.19
1779237904.417,2.40,2708.35,11.00,2460.19,3685.19
1779237904.518,0.00,2733.84,0.00,2460.19,3685.19
1779237904.620,0.00,2758.85,0.00,2460.19,3685.19
1779237904.721,7.10,2784.35,0.00,2460.19,3685.19
1779237904.822,11.60,2809.85,0.00,2460.19,3685.19
1779237904.924,7.00,2835.06,0.00,2460.19,3685.19
1779237905.025,0.00,2860.45,0.00,2460.19,3685.19
1779237905.127,12.50,2773.79,0.00,2516.19,3685.19
1779237905.228,0.00,2799.79,0.00,2516.19,3685.19
1779237905.330,7.30,2825.29,11.00,2516.19,3685.19
1779237905.431,11.40,2850.79,11.00,2516.19,3685.19
1779237905.532,9.50,2875.79,0.00,2516.19,3685.19
1779237905.634,0.00,2901.29,0.00,2516.19,3685.19
1779237905.735,0.00,2926.79,0.00,2516.19,3685.19
1779237905.837,0.00,2952.29,0.00,2516.19,3685.19
1779237905.938,9.30,2977.79,0.00,2516.19,3685.19
1779237906.040,15.00,2884.03,0.00,2460.19,3685.19
1779237906.141,4.90,2896.59,14.00,2460.19,3685.19
1779237906.242,0.00,2909.34,14.00,2460.19,3685.19
1779237906.344,5.10,2922.28,0.00,2508.19,3685.19
1779237906.445,0.00,2935.03,0.00,2508.19,3685.19
1779237906.547,4.90,2947.90,3.00,2508.19,3685.19
1779237906.648,14.30,2965.44,3.00,2524.19,3685.19
1779237906.750,2.50,2990.94,4.00,2524.19,3685.19
1779237906.852,0.00,3016.44,4.00,2524.19,3685.19
1779237906.953,2.50,3041.94,0.00,2524.19,3685.19
1779237907.055,0.00,3067.44,0.00,2524.19,3685.19
1779237907.156,9.30,3092.94,0.00,2524.19,3685.19
1779237907.258,9.30,3118.31,0.00,2524.19,3685.19
1779237907.359,5.00,3143.44,0.00,2524.19,3685.19
1779237907.460,0.00,3168.94,0.00,2524.19,3685.19
1779237907.562,12.80,3082.63,0.00,2692.19,3685.19
1779237907.663,0.00,3108.38,0.00,2692.19,3685.19
1779237907.765,7.30,3133.38,10.00,2692.19,3685.19
1779237907.866,27.30,3118.80,10.00,2692.19,3685.19
1779237907.968,50.00,3026.11,0.00,2748.19,3685.19
1779237908.069,17.90,3165.08,0.00,2748.19,3685.19
1779237908.170,24.40,3125.70,11.00,2692.19,3685.19
1779237908.272,9.80,3151.76,11.00,2724.19,3685.19
1779237908.373,12.50,3193.35,17.00,2708.19,3685.19
1779237908.475,7.50,3253.77,17.00,2708.19,3685.19
1779237908.576,28.90,3414.64,4.00,2820.19,3685.19
1779237908.678,14.60,3390.64,4.00,2876.19,3685.19
1779237908.780,5.00,3433.71,10.00,2876.19,3685.19
1779237908.881,0.00,3459.21,10.00,2876.19,3685.19
1779237908.983,4.90,3484.29,0.00,2876.19,3685.19
1779237909.084,9.30,3509.71,0.00,2876.19,3685.19
1779237909.185,17.10,3418.96,0.00,2932.19,3685.19
1779237909.287,2.60,3449.14,0.00,2932.19,3685.19
1779237909.388,2.50,3474.36,11.00,2932.19,3685.19
1779237909.489,0.00,3499.64,0.00,2932.19,3685.19
1779237909.591,0.00,3525.14,0.00,2932.19,3685.19
1779237909.692,13.60,3550.64,0.00,2932.19,3685.19
1779237909.793,7.10,3575.64,0.00,2932.19,3685.19
1779237909.895,0.00,3601.14,0.00,2932.19,3685.19
1779237909.996,7.70,3626.64,0.00,2932.19,3685.19
1779237910.098,12.50,3533.58,13.00,2876.19,3685.19
1779237910.199,9.50,3546.39,13.00,2876.19,3685.19
1779237910.301,7.10,3558.89,1.00,2876.19,3685.19
1779237910.402,7.30,3571.83,1.00,2924.19,3685.19
1779237910.504,15.00,3511.12,3.00,2924.19,3685.19
1779237910.605,17.50,3443.30,3.00,2940.19,3685.19
1779237910.707,2.60,3462.96,4.00,2940.19,3685.19
1779237910.808,7.10,3488.46,4.00,2940.19,3685.19
1779237910.910,11.40,3513.66,0.00,2940.19,3685.19
1779237911.011,5.00,3538.96,0.00,2940.19,3685.19
1779237911.112,2.50,3564.46,0.00,2940.19,3685.19
1779237911.214,0.00,3589.96,0.00,2940.19,3685.19
1779237911.315,2.50,3615.71,0.00,2940.19,3685.19
1779237911.417,5.00,3641.04,0.00,2940.19,3685.19
1779237911.518,13.30,3666.46,0.00,2940.19,3685.19
1779237911.620,15.00,3580.40,0.00,3108.19,3685.19
1779237911.721,2.50,3605.90,10.00,3108.19,3685.19
1779237911.822,0.00,3631.40,10.00,3108.19,3685.19
1779237911.924,0.00,3656.40,0.00,3108.19,3685.19
1779237912.025,7.10,3681.90,0.00,3108.19,3685.19
1779237912.127,14.00,3707.40,0.00,3108.19,3685.19
1779237912.228,9.30,3733.40,0.00,3108.19,3685.19
1779237912.330,0.00,3758.75,0.00,3108.19,3685.19
1779237912.431,2.60,3783.90,0.00,3108.19,3685.19
1779237912.533,12.80,3697.84,11.00,3164.19,3685.19
1779237912.634,4.90,3723.34,11.00,3164.19,3685.19
1779237912.735,11.40,3748.84,0.00,3164.19,3685.19
1779237912.836,9.30,3774.34,0.00,3164.19,3685.19
1779237912.938,0.00,3799.84,0.00,3164.19,3685.19
1779237913.039,0.00,3825.34,0.00,3164.19,3685.19
1779237913.141,0.00,3850.84,0.00,3164.19,3685.19
1779237913.242,5.00,3876.20,0.00,3164.19,3685.19
1779237913.344,12.20,3897.36,0.00,3164.19,3685.19
1779237913.445,9.80,3800.48,0.00,3108.19,3685.19
1779237913.546,2.50,3813.23,14.00,3108.19,3685.19
1779237913.648,20.50,3701.29,14.00,3140.19,3685.19
1779237913.749,10.30,3652.79,3.00,3140.19,3685.19
1779237913.851,7.10,3665.73,3.00,3140.19,3685.19
1779237913.952,11.60,3678.60,3.00,3156.19,3685.19
1779237914.054,7.50,3703.86,3.00,3124.19,3685.19
1779237914.155,0.00,3729.36,1.00,3124.19,3685.19
1779237914.257,0.00,3754.86,1.00,3124.19,3685.19
1779237914.358,0.00,3780.23,0.00,3124.19,3685.19
1779237914.460,7.00,3805.58,0.00,3124.19,3685.19
1779237914.561,9.50,3831.36,0.00,3124.19,3685.19
1779237914.663,4.90,3856.86,0.00,3124.19,3685.19
1779237914.764,2.60,3882.36,0.00,3124.19,3685.19
1779237914.865,5.10,3902.92,0.00,3236.19,3685.19
1779237914.967,5.10,3821.39,11.00,3292.19,3685.19
1779237915.068,9.50,3846.80,11.00,3292.19,3685.19
1779237915.170,9.30,3872.30,0.00,3292.19,3685.19
1779237915.271,7.30,3897.80,0.00,3292.19,3685.19
1779237915.373,2.50,3923.80,0.00,3292.19,3685.19
1779237915.474,0.00,3948.80,0.00,3292.19,3685.19
1779237915.575,0.00,3974.30,0.00,3292.19,3685.19
1779237915.677,4.80,3999.80,0.00,3292.19,3685.19
1779237915.778,29.30,3841.48,0.00,3348.19,3685.19
1779237915.880,7.30,3868.98,0.00,3348.19,3685.19
1779237915.981,2.40,3893.98,11.00,3348.19,3685.19
1779237916.082,2.60,3919.73,11.00,3348.19,3685.19
1779237916.184,0.00,3945.48,0.00,3348.19,3685.19
1779237916.285,0.00,3970.98,0.00,3348.19,3685.19
1779237916.387,0.00,3996.10,0.00,3348.19,3685.19
1779237916.488,7.30,4021.48,0.00,3348.19,3685.19
1779237916.590,11.40,4046.98,0.00,3348.19,3685.19
1779237916.691,15.00,3953.07,0.00,3292.19,3685.19
1779237916.792,0.00,3965.66,14.00,3292.19,3685.19
1779237916.894,2.40,3978.41,14.00,3292.19,3685.19
1779237916.995,5.10,3991.35,0.00,3340.19,3685.19
1779237917.097,2.40,4004.10,0.00,3340.19,3685.19
1779237917.198,5.00,4016.35,3.00,3340.19,3685.19
