timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1779236300.260,0.00,695.51,0.00,450.19,1293.44
1779236300.361,7.30,696.60,0.00,450.19,1293.44
1779236300.560,15.20,725.59,0.00,450.19,1293.44
1779236300.678,25.50,769.32,0.00,450.19,1293.44
1779236300.817,24.40,797.22,0.00,450.19,1293.44
1779236300.956,25.50,783.69,0.00,450.19,1293.44
1779236328.032,25.20,944.23,0.00,450.19,1293.44
1779236328.163,25.40,947.80,0.00,450.19,1293.44
1779236328.265,24.40,947.80,0.00,450.19,1293.44
1779236328.367,26.80,947.80,0.00,450.19,1293.44
1779236328.468,26.80,947.80,0.00,450.19,1293.44
1779236328.570,25.00,947.80,0.00,450.19,1293.44
1779236349.199,25.10,889.36,0.00,450.19,1293.44
1779236349.301,6.10,889.37,0.00,450.19,1293.44
1779236349.403,7.30,889.49,0.00,450.19,1293.44
1779236349.505,19.50,889.51,0.00,450.19,1293.44
1779236349.606,14.60,890.85,0.00,450.19,1293.44
1779236349.708,17.50,890.85,0.00,450.19,1293.44
1779236349.810,15.00,890.85,0.00,450.19,1293.44
1779236349.912,12.20,890.85,0.00,450.19,1293.44
1779236350.014,10.00,890.85,0.00,450.19,1293.44
1779236350.115,14.60,890.85,0.00,450.19,1293.44
1779236350.217,7.70,890.85,0.00,450.19,1293.44
1779236350.319,9.50,890.85,0.00,450.19,1293.44
1779236350.420,12.50,890.85,0.00,450.19,1293.44
1779236350.522,22.00,890.85,0.00,450.19,1293.44
1779236350.624,25.00,890.85,0.00,450.19,1293.44
1779236350.725,19.00,890.85,0.00,450.19,1293.44
1779236350.971,23.70,896.99,0.00,450.19,1293.44
1779236351.073,22.50,897.77,0.00,450.19,1293.44
1779236351.175,26.20,956.07,0.00,460.19,1293.44
1779236351.277,20.00,981.05,0.00,552.19,1293.44
1779236351.386,16.30,984.93,3.00,554.19,1293.44
1779236351.488,9.50,1029.96,3.00,554.19,1293.44
1779236351.589,22.50,1135.96,0.00,554.19,1293.44
1779236351.691,17.50,1228.29,0.00,554.19,1293.44
1779236351.792,26.80,1328.46,0.00,554.19,1293.44
1779236351.895,11.60,1354.08,0.00,554.19,1293.44
1779236351.996,7.10,1379.96,0.00,554.19,1293.44
1779236352.098,2.60,1405.32,0.00,554.19,1293.44
1779236352.200,2.50,1430.96,0.00,554.19,1293.44
1779236352.302,0.00,1456.46,0.00,554.19,1293.44
1779236352.403,17.10,1481.96,0.00,554.19,1293.44
1779236352.504,7.10,1506.96,0.00,554.19,1293.44
1779236352.606,9.50,1532.46,0.00,554.19,1293.44
1779236352.707,2.50,1557.96,0.00,554.19,1293.44
1779236352.809,0.00,1583.46,0.00,554.19,1293.44
1779236352.910,0.00,1608.96,0.00,554.19,1293.44
1779236353.012,4.90,1633.96,0.00,554.19,1293.44
1779236353.113,9.50,1659.46,0.00,554.19,1293.44
1779236353.214,9.30,1684.96,0.00,554.19,1293.44
1779236353.316,0.00,1710.46,0.00,554.19,1293.44
1779236353.417,5.30,1735.46,0.00,554.19,1293.44
1779236353.518,5.10,1760.96,0.00,554.19,1293.44
1779236353.620,5.00,1786.46,0.00,554.19,1293.44
1779236353.721,11.60,1811.96,0.00,554.19,1293.44
1779236353.823,9.50,1836.96,0.00,554.19,1293.44
1779236353.924,4.90,1862.46,0.00,554.19,1293.44
1779236354.025,0.00,1887.96,0.00,554.19,1293.44
1779236354.127,0.00,1913.46,0.00,554.19,1293.44
1779236354.228,2.50,1938.83,0.00,554.19,1293.44
1779236354.329,2.60,1963.96,0.00,554.19,1293.44
