timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1779235785.406,0.00,700.17,0.00,450.19,240.88
1779235785.508,7.30,701.30,0.00,450.19,240.88
1779235785.690,16.20,730.55,0.00,450.19,240.88
1779235785.795,24.40,774.02,0.00,450.19,240.88
1779235785.938,25.50,803.24,0.00,450.19,240.88
1779235811.707,24.60,949.05,0.00,450.19,240.88
1779235811.812,25.20,952.13,0.00,450.19,240.88
1779235811.914,24.40,952.13,0.00,450.19,240.88
1779235812.016,25.00,952.13,0.00,450.19,240.88
1779235812.118,25.00,952.13,0.00,450.19,240.88
1779235831.427,24.40,940.10,0.00,450.19,240.88
1779235831.529,25.00,893.15,0.00,450.19,240.88
1779235831.630,9.80,893.28,0.00,450.19,240.88
1779235831.732,19.50,894.62,0.00,450.19,240.88
1779235831.834,20.00,894.68,0.00,450.19,240.88
1779235831.936,17.10,894.68,0.00,450.19,240.88
1779235832.037,12.80,894.68,0.00,450.19,240.88
1779235832.139,12.20,894.68,0.00,450.19,240.88
1779235832.241,12.50,894.68,0.00,450.19,240.88
1779235832.342,17.10,894.68,0.00,450.19,240.88
1779235832.444,17.50,894.68,0.00,450.19,240.88
1779235832.546,26.80,894.68,0.00,450.19,240.88
1779235832.648,22.00,901.07,0.00,450.19,240.88
1779235832.845,25.30,901.07,0.00,450.19,240.88
1779235832.947,24.40,901.95,0.00,450.19,240.88
1779235833.050,25.00,960.25,0.00,460.19,240.88
1779235833.151,17.10,985.60,2.00,552.19,240.88
1779235833.259,14.60,989.15,2.00,554.19,240.88
1779235833.361,14.00,1062.83,1.00,554.19,240.88
1779235833.463,40.00,1332.09,1.00,554.19,240.88
1779235833.564,17.50,1440.51,0.00,554.19,240.88
1779235833.666,21.40,1558.27,0.00,554.19,240.88
1779235833.767,5.00,1590.77,0.00,554.19,240.88
1779235833.869,0.00,1616.27,0.00,554.19,240.88
1779235833.970,2.50,1641.77,0.00,554.19,240.88
1779235834.072,2.60,1667.27,0.00,554.19,240.88
1779235834.173,7.10,1693.27,0.00,554.19,240.88
1779235834.274,14.30,1718.34,0.00,554.19,240.88
1779235834.376,0.00,1743.77,0.00,554.19,240.88
1779235834.477,2.60,1769.27,0.00,554.19,240.88
1779235834.579,9.30,1794.27,0.00,554.19,240.88
1779235834.680,9.30,1819.77,0.00,554.19,240.88
1779235834.781,2.60,1845.27,0.00,554.19,240.88
1779235834.883,0.00,1870.77,0.00,554.19,240.88
1779235834.984,0.00,1896.21,0.00,554.19,240.88
1779235835.086,2.60,1921.27,0.00,554.19,240.88
1779235835.187,7.10,1946.77,0.00,554.19,240.88
1779235835.289,16.30,1974.27,0.00,554.19,240.88
1779235835.390,4.80,1999.77,0.00,554.19,240.88
1779235835.492,0.00,2025.24,0.00,554.19,240.88
1779235835.593,2.60,2050.27,0.00,554.19,240.88
1779235835.695,2.50,2078.27,0.00,554.19,240.88
1779235835.796,11.40,2103.77,0.00,554.19,240.88
1779235835.898,7.10,2128.95,0.00,554.19,240.88
1779235835.999,5.00,2154.27,0.00,554.19,240.88
1779235836.101,0.00,2184.52,0.00,554.19,240.88
1779235836.202,0.00,2209.77,0.00,554.19,240.88
1779235836.304,4.90,2235.21,0.00,554.19,240.88
1779235836.405,5.00,2260.77,0.00,554.19,240.88
1779235836.507,9.30,2285.96,0.00,554.19,240.88
1779235836.608,5.00,2311.27,0.00,554.19,240.88
1779235836.710,0.00,2338.77,0.00,554.19,240.88
1779235836.811,2.60,2364.27,0.00,554.19,240.88
1779235836.912,0.00,2389.77,0.00,554.19,240.88
1779235837.014,0.00,2415.27,0.00,554.19,240.88
1779235837.115,2.50,2440.77,0.00,554.19,240.88
1779235837.217,9.30,2465.77,0.00,554.19,240.88
1779235837.318,7.30,2491.27,0.00,554.19,240.88
1779235837.420,2.50,2516.77,0.00,554.19,240.88
1779235837.521,2.60,2542.27,0.00,554.19,240.88
1779235837.623,0.00,2567.77,0.00,554.19,240.88
1779235837.724,2.50,2593.21,0.00,554.19,240.88
1779235837.826,9.50,2618.27,0.00,554.19,240.88
1779235837.927,7.10,2643.77,0.00,554.19,240.88
1779235838.028,7.30,2669.27,0.00,554.19,240.88
1779235838.130,0.00,2694.77,0.00,554.19,240.88
1779235838.231,2.60,2719.77,0.00,554.19,240.88
1779235838.333,0.00,2745.27,0.00,554.19,240.88
1779235838.434,11.60,2770.77,0.00,554.19,240.88
1779235838.535,9.50,2796.27,0.00,554.19,240.88
1779235838.637,4.80,2821.77,0.00,554.19,240.88
