timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1779327838.470,0.00,708.70,0.00,441.25,1162.25
1779327838.570,3.70,709.89,0.00,441.25,1162.25
1779327838.707,9.10,738.89,0.00,441.25,1162.25
1779327838.919,12.40,810.49,0.00,441.25,1162.25
1779327871.629,12.70,796.99,0.00,441.25,1162.25
1779327871.749,12.60,961.34,0.00,441.25,1162.25
1779327871.850,12.50,961.34,0.00,441.25,1162.25
1779327871.950,12.50,961.34,0.00,441.25,1162.25
1779327872.050,12.30,961.34,0.00,441.25,1162.25
1779327872.151,12.50,961.34,0.00,441.25,1162.25
1779327894.021,12.50,899.38,0.00,441.25,1162.25
1779327894.121,2.10,899.38,0.00,441.25,1162.25
1779327894.222,12.30,967.35,0.00,441.25,1162.25
1779327894.322,12.50,1079.92,0.00,464.56,1162.25
1779327894.423,12.50,1885.97,0.00,2212.56,1162.25
1779327894.523,12.50,2923.97,65.00,2550.56,1162.25
1779327894.624,13.40,3831.97,65.00,3586.56,1162.25
1779327894.724,12.50,4767.97,76.00,4538.56,1162.25
1779327894.824,12.50,5689.97,76.00,5462.56,1162.25
1779327894.984,12.60,987.97,76.00,5462.56,1162.25
1779327895.084,12.30,2201.97,76.00,6638.56,1162.25
1779327895.185,12.50,3269.97,32.00,7786.56,1162.25
1779327895.285,17.50,4347.97,32.00,8822.56,1162.25
1779327895.386,13.60,5407.97,88.00,9970.56,1162.25
1779327895.574,12.10,995.97,81.00,10278.56,1162.25
1779327895.674,12.50,2211.97,81.00,11422.56,1162.25
1779327895.775,12.50,3293.97,43.00,12518.56,1162.25
1779327895.875,13.40,4357.97,43.00,13666.56,1162.25
1779327895.975,12.50,5435.97,89.00,14782.56,1162.25
1779327896.156,12.60,989.97,65.00,15010.56,1162.25
1779327896.256,12.30,2250.02,65.00,16526.56,1162.25
1779327896.489,14.00,985.97,65.00,17170.56,1162.25
1779327896.590,1.20,985.97,12.00,17170.56,1162.25
1779327896.690,1.20,986.10,12.00,17170.56,1162.25
1779327896.790,0.00,986.10,0.00,17170.56,1162.25
1779327896.890,3.70,1626.37,0.00,17170.56,1162.25
1779327896.991,0.00,1626.37,0.00,17170.56,1162.25
1779327897.091,4.90,2051.88,0.00,17170.56,1162.25
1779327897.194,12.20,2052.46,0.00,17170.56,1162.25
1779327897.356,12.40,2052.46,0.00,17170.56,1162.25
1779327897.456,23.80,2043.57,0.00,17170.56,1162.25
1779327897.557,26.20,2094.96,0.00,17170.56,1162.25
1779327897.657,18.80,2151.51,0.00,17170.56,1162.25
1779327897.757,36.20,2179.91,0.00,17170.56,1162.25
1779327897.858,26.20,2224.91,0.00,17170.56,1162.25
1779327897.958,28.40,2196.86,0.00,17170.56,1162.25
1779327898.059,15.00,2258.18,0.00,17170.56,1162.25
1779327898.159,12.50,2319.50,0.00,17170.56,1162.25
1779327898.259,13.40,2380.66,0.00,17170.56,1162.25
1779327898.360,12.50,2441.59,0.00,17170.56,1162.25
1779327898.460,12.50,2502.75,0.00,17170.56,1162.25
1779327898.560,12.50,2563.94,0.00,17170.56,1162.25
1779327898.661,12.50,2625.14,0.00,17170.56,1162.25
1779327898.761,13.60,2686.42,0.00,17170.56,1162.25
1779327898.861,11.20,2747.70,0.00,17170.56,1162.25
1779327898.962,13.60,2808.82,0.00,17170.56,1162.25
1779327899.062,12.50,2869.73,0.00,17170.56,1162.25
1779327899.162,26.20,2873.30,0.00,17170.56,1162.25
1779327899.263,31.30,2882.08,0.00,17170.56,1162.25
1779327899.363,2.50,2897.30,0.00,17170.56,1162.25
1779327899.470,9.80,2897.52,0.00,17170.56,1162.25
1779327899.576,11.60,2897.52,0.00,17170.56,1162.25
1779327899.679,13.30,2897.52,0.00,17170.56,1162.25
1779327899.999,12.50,2897.52,0.00,17170.56,1162.25
1779327900.099,12.80,1971.45,0.00,17370.56,1162.25
1779327900.200,12.50,2687.45,0.00,18202.56,1162.25
1779327900.300,17.50,3379.32,73.00,19084.56,1162.25
1779327900.401,12.50,4075.26,73.00,19952.56,1162.25
1779327900.501,12.70,1172.90,69.00,20238.56,1162.25
1779327900.601,13.40,1294.46,69.00,20270.56,1162.25
1779327900.702,12.50,1443.85,0.00,20272.56,1162.25
1779327900.802,12.50,1550.51,0.00,20296.56,1162.25
1779327900.902,12.50,1707.27,49.00,20296.56,1162.25
1779327901.003,11.40,1744.34,49.00,20298.56,1162.25
1779327901.103,13.60,1744.35,90.00,20298.56,1162.25
1779327901.203,12.50,1744.35,90.00,20298.56,1162.25
1779327901.304,15.00,1744.35,97.00,20298.56,1162.25
1779327901.404,13.60,1744.35,97.00,20298.56,1162.25
1779327901.504,12.50,1744.35,97.00,20298.56,1162.25
1779327901.604,12.50,1744.35,97.00,20298.56,1162.25
1779327901.705,12.30,1752.83,98.00,20298.56,1162.25
1779327901.805,13.70,1752.83,98.00,20298.56,1162.25
1779327901.905,12.50,1752.83,98.00,20298.56,1162.25
1779327902.006,12.50,1752.84,98.00,20300.56,1162.25
1779327902.106,12.50,1752.84,98.00,20300.56,1162.25
1779327902.206,12.30,1752.84,98.00,20300.56,1162.25
1779327902.307,12.50,1752.84,98.00,20300.56,1162.25
1779327902.407,12.50,1752.84,98.00,20300.56,1162.25
1779327902.507,12.50,1752.84,98.00,20300.56,1162.25
1779327902.608,12.50,1752.84,98.00,20300.56,1162.25
1779327902.708,12.50,1752.84,97.00,20300.56,1162.25
1779327902.808,12.50,1752.84,97.00,20300.56,1162.25
1779327902.908,12.30,1752.84,97.00,20300.56,1162.25
1779327903.008,12.50,1752.84,97.00,20302.56,1162.25
1779327903.109,12.50,1752.84,97.00,20302.56,1162.25
1779327903.209,13.60,1752.84,97.00,20302.56,1162.25
1779327903.309,12.50,1752.84,97.00,20302.56,1162.25
1779327903.410,12.50,1752.85,97.00,20306.56,1162.25
1779327903.510,12.50,1752.85,97.00,20306.56,1162.25
1779327903.610,12.50,1752.85,97.00,20306.56,1162.25
1779327903.710,12.30,1752.85,97.00,20306.56,1162.25
1779327903.811,12.50,1752.85,97.00,20306.56,1162.25
1779327903.911,13.60,1752.85,97.00,20306.56,1162.25
1779327904.011,12.50,1752.85,97.00,20306.56,1162.25
1779327904.111,12.50,1752.85,98.00,20306.56,1162.25
1779327904.212,12.50,1752.85,98.00,20306.56,1162.25
1779327904.312,12.50,1752.85,98.00,20306.56,1162.25
1779327904.412,12.50,1752.85,98.00,20306.56,1162.25
1779327904.512,12.30,1752.85,98.00,20306.56,1162.25
1779327904.613,12.50,1752.85,98.00,20306.56,1162.25
1779327904.713,12.50,1752.86,98.00,20310.56,1162.25
1779327904.813,12.50,1752.86,98.00,20310.56,1162.25
1779327904.914,12.50,1752.86,97.00,20310.56,1162.25
1779327905.014,12.50,1752.86,97.00,20310.56,1162.25
1779327905.114,12.30,1752.86,97.00,20310.56,1162.25
1779327905.214,12.50,1752.86,97.00,20310.56,1162.25
1779327905.315,16.50,1752.86,97.00,20310.56,1162.25
1779327905.415,12.50,1752.86,97.00,20310.56,1162.25
1779327905.515,12.50,1752.86,97.00,20312.56,1162.25
1779327905.616,12.50,1752.86,97.00,20312.56,1162.25
1779327905.716,12.50,1752.86,97.00,20312.56,1162.25
1779327905.816,12.30,1752.87,97.00,20312.56,1162.25
1779327905.916,12.50,1752.87,97.00,20312.56,1162.25
1779327906.017,14.80,1752.87,97.00,20312.56,1162.25
1779327906.117,12.30,1752.87,97.00,20312.56,1162.25
1779327906.217,12.50,1752.87,97.00,20312.56,1162.25
1779327906.317,14.10,1752.87,97.00,20312.56,1162.25
1779327906.418,12.50,1752.87,97.00,20312.56,1162.25
1779327906.518,12.50,1752.87,97.00,20312.56,1162.25
1779327906.618,12.50,1752.87,97.00,20312.56,1162.25
1779327906.719,12.30,1752.89,98.00,20322.56,1162.25
1779327906.819,12.50,1752.89,98.00,20322.56,1162.25
1779327906.919,13.60,1752.89,98.00,20322.56,1162.25
1779327907.019,12.50,1752.89,98.00,20322.56,1162.25
1779327907.120,12.50,1752.89,98.00,20322.56,1162.25
1779327907.220,12.50,1752.89,98.00,20322.56,1162.25
1779327907.320,12.30,1752.89,98.00,20322.56,1162.25
1779327907.420,12.50,1752.89,98.00,20322.56,1162.25
1779327907.521,12.50,1752.89,98.00,20322.56,1162.25
1779327907.621,13.60,1752.89,98.00,20322.56,1162.25
1779327907.721,12.50,1752.89,98.00,20322.56,1162.25
1779327907.821,12.50,1752.89,98.00,20322.56,1162.25
1779327907.922,12.50,1752.89,98.00,20322.56,1162.25
1779327908.022,12.50,1752.89,98.00,20322.56,1162.25
1779327908.122,12.30,1752.89,98.00,20322.56,1162.25
1779327908.222,12.50,1752.89,98.00,20322.56,1162.25
1779327908.323,12.50,1752.89,97.00,20322.56,1162.25
1779327908.423,12.50,1752.89,97.00,20322.56,1162.25
1779327908.523,12.50,1752.89,97.00,20322.56,1162.25
1779327908.623,12.50,1752.89,97.00,20322.56,1162.25
1779327908.724,12.50,1752.89,97.00,20322.56,1162.25
1779327908.824,12.50,1752.89,97.00,20322.56,1162.25
1779327908.924,12.30,1752.89,97.00,20322.56,1162.25
1779327909.025,12.50,1752.89,97.00,20322.56,1162.25
1779327909.125,12.50,1752.89,97.00,20322.56,1162.25
1779327909.225,12.50,1752.89,97.00,20322.56,1162.25
1779327909.325,12.50,1752.89,97.00,20322.56,1162.25
1779327909.425,12.50,1752.89,97.00,20324.56,1162.25
1779327909.526,12.50,1752.89,97.00,20324.56,1162.25
1779327909.626,12.50,1752.89,97.00,20324.56,1162.25
1779327909.726,12.30,1752.89,97.00,20324.56,1162.25
1779327909.826,12.50,1752.89,97.00,20324.56,1162.25
1779327909.927,12.50,1752.89,97.00,20324.56,1162.25
1779327910.027,12.50,1752.89,97.00,20324.56,1162.25
1779327910.128,12.50,1752.93,97.00,20346.56,1162.25
1779327910.228,12.50,1752.93,97.00,20346.56,1162.25
1779327910.328,12.30,1752.93,97.00,20346.56,1162.25
1779327910.428,13.60,1752.93,97.00,20346.56,1162.25
1779327910.529,12.50,1752.93,97.00,20346.56,1162.25
1779327910.629,12.50,1752.93,97.00,20346.56,1162.25
1779327910.729,12.50,1752.93,97.00,20346.56,1162.25
1779327910.829,12.50,1752.93,97.00,20346.56,1162.25
1779327910.930,12.50,1752.93,97.00,20346.56,1162.25
1779327911.030,12.50,1752.93,97.00,20346.56,1162.25
1779327911.130,12.50,1752.93,97.00,20346.56,1162.25
1779327911.230,12.30,1752.93,97.00,20346.56,1162.25
1779327911.331,12.50,1752.93,97.00,20346.56,1162.25
1779327911.431,12.50,1752.93,97.00,20346.56,1162.25
1779327911.531,12.50,1752.93,97.00,20346.56,1162.25
1779327911.631,12.50,1752.93,97.00,20346.56,1162.25
1779327911.732,12.50,1752.93,97.00,20346.56,1162.25
1779327911.832,12.50,1752.93,97.00,20346.56,1162.25
1779327911.932,12.30,1752.93,97.00,20346.56,1162.25
1779327912.032,12.50,1752.93,97.00,20346.56,1162.25
1779327912.133,12.50,1752.93,97.00,20346.56,1162.25
1779327912.233,12.50,1752.93,97.00,20346.56,1162.25
1779327912.333,12.50,1752.93,97.00,20346.56,1162.25
1779327912.434,12.50,1752.93,97.00,20346.56,1162.25
1779327912.534,12.50,1752.93,97.00,20346.56,1162.25
1779327912.634,12.30,1752.93,97.00,20346.56,1162.25
1779327912.735,12.50,1752.93,97.00,20346.56,1162.25
1779327912.835,12.50,1752.93,97.00,20346.56,1162.25
1779327912.935,12.50,1752.93,97.00,20346.56,1162.25
1779327913.035,12.50,1752.93,97.00,20346.56,1162.25
1779327913.136,12.50,1752.93,97.00,20346.56,1162.25
1779327913.236,12.50,1752.93,97.00,20346.56,1162.25
1779327913.336,12.50,1752.93,97.00,20346.56,1162.25
1779327913.436,12.30,1752.93,97.00,20346.56,1162.25
1779327913.536,12.50,1752.93,97.00,20346.56,1162.25
1779327913.637,12.50,1752.93,97.00,20346.56,1162.25
1779327913.737,12.50,1752.93,97.00,20346.56,1162.25
1779327913.837,12.50,1752.93,97.00,20346.56,1162.25
1779327913.937,12.50,1752.93,97.00,20346.56,1162.25
1779327914.038,12.50,1752.93,97.00,20346.56,1162.25
1779327914.138,14.60,1752.93,97.00,20346.56,1162.25
1779327914.238,12.30,1752.93,97.00,20346.56,1162.25
1779327914.339,12.50,1752.93,97.00,20346.56,1162.25
1779327914.439,12.50,1752.93,97.00,20346.56,1162.25
1779327914.539,12.50,1752.93,97.00,20346.56,1162.25
1779327914.639,12.50,1752.93,97.00,20346.56,1162.25
1779327914.740,12.50,1752.93,97.00,20346.56,1162.25
1779327914.840,12.50,1752.93,97.00,20346.56,1162.25
1779327914.940,12.30,1752.93,97.00,20346.56,1162.25
1779327915.040,12.50,1752.93,97.00,20346.56,1162.25
1779327915.140,12.50,1752.93,97.00,20346.56,1162.25
1779327915.241,12.50,1752.93,97.00,20346.56,1162.25
1779327915.341,12.50,1752.93,97.00,20346.56,1162.25
1779327915.441,12.50,1752.93,97.00,20346.56,1162.25
1779327915.542,12.50,1752.93,97.00,20346.56,1162.25
1779327915.642,12.50,1752.93,97.00,20346.56,1162.25
1779327915.742,12.30,1752.93,97.00,20346.56,1162.25
1779327915.842,12.50,1752.93,97.00,20346.56,1162.25
1779327915.943,12.50,1752.93,97.00,20346.56,1162.25
1779327916.043,12.50,1752.93,97.00,20346.56,1162.25
1779327916.143,12.50,1752.93,97.00,20346.56,1162.25
1779327916.243,12.50,1752.93,97.00,20346.56,1162.25
1779327916.344,12.50,1752.93,97.00,20346.56,1162.25
1779327916.444,12.50,1752.93,97.00,20346.56,1162.25
1779327916.544,12.50,1752.93,97.00,20346.56,1162.25
1779327916.644,12.30,1752.93,97.00,20346.56,1162.25
1779327916.744,12.50,1752.93,97.00,20346.56,1162.25
1779327916.845,13.60,1752.93,97.00,20348.56,1162.25
1779327916.945,12.50,1752.95,97.00,20408.56,1162.25
1779327917.045,11.40,1752.96,97.00,20448.56,1162.25
1779327917.145,13.60,1752.96,97.00,20448.56,1162.25
1779327917.246,12.50,1752.96,97.00,20448.56,1162.25
1779327917.346,12.50,1752.96,97.00,20448.56,1162.25
1779327917.446,12.30,1752.96,97.00,20448.56,1162.25
1779327917.547,12.50,1752.96,98.00,20448.56,1162.25
1779327917.647,12.50,1752.96,98.00,20448.56,1162.25
1779327917.747,12.50,1752.96,98.00,20448.56,1162.25
1779327917.847,12.50,1752.96,98.00,20448.56,1162.25
1779327917.948,12.50,1752.96,98.00,20448.56,1162.25
1779327918.048,13.60,1752.96,98.00,20448.56,1162.25
1779327918.148,12.50,1752.96,98.00,20448.56,1162.25
1779327918.248,12.30,1752.96,98.00,20448.56,1162.25
1779327918.349,12.50,1752.96,98.00,20448.56,1162.25
1779327918.449,12.50,1752.96,98.00,20448.56,1162.25
1779327918.549,12.50,1752.96,98.00,20448.56,1162.25
1779327918.649,12.50,1752.96,98.00,20448.56,1162.25
1779327918.750,12.50,1752.96,98.00,20448.56,1162.25
1779327918.850,12.50,1752.96,98.00,20448.56,1162.25
1779327918.950,12.50,1752.96,98.00,20448.56,1162.25
1779327919.050,12.30,1752.96,98.00,20448.56,1162.25
1779327919.151,12.50,1752.96,98.00,20448.56,1162.25
1779327919.251,12.50,1752.96,98.00,20448.56,1162.25
1779327919.351,12.50,1752.96,97.00,20448.56,1162.25
1779327919.451,12.50,1752.96,97.00,20448.56,1162.25
1779327919.552,12.50,1752.96,97.00,20448.56,1162.25
1779327919.652,12.50,1752.96,97.00,20448.56,1162.25
1779327919.752,12.50,1752.96,97.00,20448.56,1162.25
1779327919.852,12.30,1752.96,97.00,20448.56,1162.25
1779327919.953,12.50,1752.96,97.00,20448.56,1162.25
1779327920.053,12.50,1752.96,97.00,20448.56,1162.25
1779327920.153,12.50,1752.96,97.00,20448.56,1162.25
1779327920.253,12.50,1752.96,97.00,20448.56,1162.25
1779327920.354,12.50,1752.96,97.00,20448.56,1162.25
1779327920.454,13.60,1752.96,97.00,20448.56,1162.25
1779327920.554,12.50,1752.96,97.00,20448.56,1162.25
1779327920.654,12.30,1752.96,97.00,20448.56,1162.25
1779327920.755,12.50,1752.96,97.00,20448.56,1162.25
1779327920.855,12.50,1752.96,97.00,20448.56,1162.25
1779327920.955,12.50,1752.96,97.00,20448.56,1162.25
1779327921.056,12.50,1752.96,97.00,20448.56,1162.25
1779327921.156,12.50,1752.96,98.00,20448.56,1162.25
1779327921.256,12.30,1752.96,98.00,20448.56,1162.25
1779327921.356,12.50,1752.96,98.00,20448.56,1162.25
1779327921.457,12.50,1752.96,98.00,20448.56,1162.25
1779327921.557,12.50,1752.96,98.00,20448.56,1162.25
1779327921.657,12.50,1752.96,98.00,20448.56,1162.25
1779327921.758,12.50,1752.96,98.00,20448.56,1162.25
1779327921.858,12.50,1752.96,98.00,20448.56,1162.25
1779327921.958,12.30,1752.96,98.00,20448.56,1162.25
1779327922.058,12.50,1752.96,98.00,20448.56,1162.25
1779327922.159,12.50,1752.96,97.00,20448.56,1162.25
1779327922.259,12.50,1752.96,97.00,20448.56,1162.25
1779327922.359,12.50,1752.96,98.00,20448.56,1162.25
1779327922.459,12.50,1752.96,98.00,20448.56,1162.25
1779327922.560,12.50,1752.96,98.00,20448.56,1162.25
1779327922.660,12.50,1752.96,98.00,20448.56,1162.25
1779327922.760,12.50,1752.96,98.00,20448.56,1162.25
1779327922.860,12.30,1752.96,98.00,20448.56,1162.25
1779327922.960,12.50,1752.96,98.00,20448.56,1162.25
1779327923.061,14.60,1752.96,98.00,20448.56,1162.25
1779327923.161,12.50,1752.96,98.00,20448.56,1162.25
1779327923.261,12.50,1752.96,98.00,20448.56,1162.25
1779327923.361,12.50,1752.97,97.00,20448.56,1162.25
1779327923.462,12.50,1752.97,97.00,20448.56,1162.25
1779327923.562,12.50,1752.97,97.00,20448.56,1162.25
1779327923.662,12.30,1752.97,97.00,20448.56,1162.25
1779327923.763,12.50,1752.97,97.00,20448.56,1162.25
1779327923.863,12.50,1752.97,97.00,20448.56,1162.25
1779327923.963,12.50,1752.97,98.00,20448.56,1162.25
1779327924.063,12.50,1752.97,98.00,20448.56,1162.25
1779327924.164,12.50,1752.97,98.00,20448.56,1162.25
1779327924.264,12.30,1752.97,98.00,20448.56,1162.25
1779327924.364,12.50,1752.97,98.00,20448.56,1162.25
1779327924.464,12.50,1752.97,98.00,20448.56,1162.25
1779327924.565,12.50,1752.97,98.00,20448.56,1162.25
1779327924.665,12.50,1752.97,98.00,20448.56,1162.25
1779327924.765,12.50,1752.97,98.00,20448.56,1162.25
1779327924.866,12.50,1752.97,98.00,20448.56,1162.25
1779327924.966,12.30,1752.97,97.00,20448.56,1162.25
1779327925.066,12.50,1752.97,97.00,20448.56,1162.25
1779327925.167,12.50,1752.97,97.00,20448.56,1162.25
1779327925.267,12.50,1752.97,97.00,20448.56,1162.25
1779327925.367,12.50,1752.97,97.00,20448.56,1162.25
1779327925.468,12.50,1752.97,97.00,20448.56,1162.25
1779327925.568,13.40,1752.97,98.00,20448.56,1162.25
1779327925.668,12.50,1752.97,98.00,20448.56,1162.25
1779327925.768,12.50,1752.97,98.00,20448.56,1162.25
1779327925.869,12.50,1752.97,98.00,20448.56,1162.25
1779327925.969,12.50,1752.97,98.00,20448.56,1162.25
1779327926.069,12.50,1752.97,98.00,20448.56,1162.25
1779327926.169,12.50,1752.97,98.00,20448.56,1162.25
1779327926.270,12.30,1752.97,98.00,20448.56,1162.25
1779327926.370,12.50,1752.97,98.00,20448.56,1162.25
1779327926.470,12.50,1752.97,98.00,20448.56,1162.25
1779327926.570,12.50,1752.97,97.00,20448.56,1162.25
1779327926.671,12.50,1752.97,97.00,20448.56,1162.25
1779327926.771,12.50,1752.97,97.00,20448.56,1162.25
1779327926.871,12.50,1752.97,97.00,20448.56,1162.25
1779327926.972,12.30,1752.97,98.00,20448.56,1162.25
1779327927.072,12.50,1752.97,98.00,20448.56,1162.25
1779327927.172,12.50,1752.97,98.00,20448.56,1162.25
1779327927.272,12.50,1752.97,98.00,20448.56,1162.25
1779327927.373,13.80,1752.97,98.00,20448.56,1162.25
1779327927.473,12.30,1752.97,98.00,20448.56,1162.25
1779327927.573,12.50,1752.97,98.00,20448.56,1162.25
1779327927.674,12.50,1752.97,98.00,20448.56,1162.25
1779327927.774,12.50,1752.97,98.00,20448.56,1162.25
1779327927.874,12.50,1752.97,98.00,20448.56,1162.25
1779327927.974,12.50,1752.97,97.00,20448.56,1162.25
1779327928.075,12.50,1752.97,97.00,20448.56,1162.25
1779327928.175,12.50,1752.98,97.00,20468.56,1162.25
1779327928.275,12.30,1752.98,97.00,20468.56,1162.25
1779327928.376,12.50,1752.98,98.00,20468.56,1162.25
1779327928.476,13.60,1752.98,98.00,20468.56,1162.25
1779327928.576,12.50,1752.98,98.00,20468.56,1162.25
1779327928.676,12.50,1752.98,98.00,20468.56,1162.25
1779327928.777,12.50,1752.98,98.00,20468.56,1162.25
1779327928.877,12.50,1752.98,98.00,20468.56,1162.25
1779327928.977,12.30,1752.98,98.00,20468.56,1162.25
1779327929.077,12.50,1752.98,98.00,20468.56,1162.25
1779327929.178,13.60,1752.98,97.00,20468.56,1162.25
1779327929.278,12.50,1752.98,97.00,20468.56,1162.25
1779327929.378,12.50,1752.98,97.00,20468.56,1162.25
1779327929.478,12.50,1752.98,97.00,20468.56,1162.25
1779327929.579,12.50,1752.98,98.00,20468.56,1162.25
1779327929.679,12.30,1752.98,98.00,20468.56,1162.25
1779327929.779,12.50,1752.98,98.00,20468.56,1162.25
1779327929.879,12.50,1752.98,98.00,20468.56,1162.25
1779327929.980,12.50,1752.98,98.00,20468.56,1162.25
1779327930.080,12.50,1752.98,98.00,20468.56,1162.25
1779327930.180,12.50,1752.98,98.00,20468.56,1162.25
1779327930.280,12.50,1752.98,98.00,20468.56,1162.25
1779327930.381,12.50,1752.98,97.00,20468.56,1162.25
