timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1779327343.606,0.00,708.61,0.00,441.25,423.65
1779327343.706,4.80,709.74,0.00,441.25,423.65
1779327343.835,8.80,738.73,0.00,441.25,423.65
1779327344.046,12.80,810.35,0.00,441.25,423.65
1779327376.294,13.00,795.84,0.00,441.25,423.65
1779327376.421,12.60,960.65,0.00,441.25,423.65
1779327376.521,12.90,960.65,0.00,441.25,423.65
1779327376.622,12.30,960.65,0.00,441.25,423.65
1779327376.722,12.50,960.65,0.00,441.25,423.65
1779327376.823,12.50,960.65,0.00,441.25,423.65
1779327398.244,12.50,901.18,0.00,441.25,423.65
1779327398.344,2.10,901.18,0.00,441.25,423.65
1779327398.447,11.10,908.15,0.00,441.25,423.65
1779327398.547,13.40,1079.82,0.00,460.56,423.65
1779327398.647,11.40,1835.88,17.00,2212.56,423.65
1779327398.748,12.30,2847.88,17.00,2550.56,423.65
1779327398.848,13.60,3775.88,78.00,3442.56,423.65
1779327398.949,12.50,4693.88,78.00,4426.56,423.65
1779327399.049,11.40,5631.88,75.00,5378.56,423.65
1779327399.218,13.30,1005.88,75.00,5462.56,423.65
1779327399.318,13.40,2205.88,0.00,6638.56,423.65
1779327399.419,11.40,3271.88,0.00,7786.56,423.65
1779327399.519,17.50,4343.88,88.00,8822.56,423.65
1779327399.619,13.60,5401.88,88.00,9970.56,423.65
1779327399.808,12.00,995.88,88.00,10278.56,423.65
1779327399.909,15.00,2209.88,0.00,11390.56,423.65
1779327400.009,13.60,3281.88,0.00,12518.56,423.65
1779327400.110,12.50,4343.88,88.00,13666.56,423.65
1779327400.210,12.30,5427.88,88.00,14750.56,423.65
1779327400.391,12.60,989.88,88.00,15010.56,423.65
1779327400.491,12.30,2251.92,0.00,16526.56,423.65
1779327400.725,14.40,987.88,74.00,17170.56,423.65
1779327400.825,0.00,987.88,74.00,17170.56,423.65
1779327400.925,1.30,988.00,0.00,17170.56,423.65
1779327401.026,1.20,988.00,0.00,17170.56,423.65
1779327401.126,2.50,1628.27,0.00,17170.56,423.65
1779327401.226,1.20,1628.27,0.00,17170.56,423.65
1779327401.327,3.70,2054.01,0.00,17170.56,423.65
1779327401.432,13.30,2054.36,0.00,17170.56,423.65
1779327401.585,12.90,2054.36,0.00,17170.56,423.65
1779327401.686,22.50,2045.48,0.00,17170.56,423.65
1779327401.786,28.00,2096.51,0.00,17170.56,423.65
1779327401.886,17.90,2153.02,0.00,17170.56,423.65
1779327401.987,37.00,2181.82,0.00,17170.56,423.65
1779327402.087,26.20,2226.82,0.00,17170.56,423.65
1779327402.187,27.50,2198.02,0.00,17170.56,423.65
1779327402.288,16.00,2259.19,0.00,17170.56,423.65
1779327402.388,12.30,2320.45,0.00,17170.56,423.65
1779327402.488,11.40,2381.66,0.00,17170.56,423.65
1779327402.589,13.60,2442.91,0.00,17170.56,423.65
1779327402.689,12.50,2504.01,0.00,17170.56,423.65
1779327402.789,12.50,2565.31,0.00,17170.56,423.65
1779327402.890,12.50,2626.48,0.00,17170.56,423.65
1779327402.990,13.60,2687.88,0.00,17170.56,423.65
1779327403.090,11.20,2749.25,0.00,17170.56,423.65
1779327403.191,12.50,2810.59,0.00,17170.56,423.65
1779327403.291,12.50,2871.50,0.00,17170.56,423.65
1779327403.391,26.20,2875.21,0.00,17170.56,423.65
1779327403.492,31.30,2884.18,0.00,17170.56,423.65
1779327403.592,3.70,2899.21,0.00,17170.56,423.65
1779327403.693,8.70,2899.43,0.00,17170.56,423.65
1779327403.796,13.30,2899.43,0.00,17170.56,423.65
1779327403.898,13.40,2899.43,0.00,17170.56,423.65
1779327404.212,12.40,2899.43,0.00,17170.56,423.65
1779327404.312,12.40,2135.36,0.00,17434.56,423.65
1779327404.412,12.50,2849.36,0.00,18286.56,423.65
1779327404.513,17.70,3523.23,73.00,19152.56,423.65
1779327404.613,13.60,4231.17,73.00,20016.56,423.65
1779327404.713,11.40,1267.50,68.00,20238.56,423.65
1779327404.814,12.30,1365.22,68.00,20272.56,423.65
1779327404.914,13.60,1525.86,2.00,20280.56,423.65
1779327405.014,12.50,1625.14,2.00,20300.56,423.65
1779327405.115,12.50,1759.49,48.00,20300.56,423.65
1779327405.215,12.50,1759.50,48.00,20300.56,423.65
1779327405.315,12.50,1759.51,86.00,20300.56,423.65
1779327405.416,12.50,1759.51,86.00,20300.56,423.65
1779327405.516,16.00,1767.99,97.00,20300.56,423.65
1779327405.616,12.50,1767.99,97.00,20300.56,423.65
1779327405.717,12.50,1767.99,97.00,20300.56,423.65
1779327405.817,12.50,1767.99,97.00,20300.56,423.65
1779327405.917,12.50,1768.00,97.00,20300.56,423.65
1779327406.018,12.50,1768.00,97.00,20300.56,423.65
1779327406.118,12.30,1768.00,97.00,20300.56,423.65
1779327406.218,12.50,1768.00,97.00,20302.56,423.65
1779327406.318,12.50,1768.00,97.00,20302.56,423.65
1779327406.419,12.50,1768.00,97.00,20302.56,423.65
1779327406.519,12.50,1768.00,98.00,20302.56,423.65
1779327406.619,12.50,1768.01,98.00,20302.56,423.65
1779327406.719,12.30,1768.01,98.00,20302.56,423.65
1779327406.820,13.60,1768.01,98.00,20302.56,423.65
1779327406.920,13.60,1768.01,98.00,20302.56,423.65
1779327407.020,12.50,1768.01,98.00,20302.56,423.65
1779327407.120,12.50,1768.01,97.00,20302.56,423.65
1779327407.221,12.50,1768.01,97.00,20306.56,423.65
1779327407.321,12.50,1768.01,97.00,20306.56,423.65
1779327407.421,12.50,1768.01,97.00,20306.56,423.65
1779327407.521,12.50,1768.01,97.00,20306.56,423.65
1779327407.622,12.50,1768.01,97.00,20306.56,423.65
1779327407.722,12.30,1768.01,97.00,20306.56,423.65
1779327407.823,12.50,1768.01,97.00,20306.56,423.65
1779327407.923,12.50,1768.01,97.00,20306.56,423.65
1779327408.023,12.50,1768.01,97.00,20306.56,423.65
1779327408.123,12.50,1768.01,97.00,20306.56,423.65
1779327408.223,12.50,1768.02,97.00,20306.56,423.65
1779327408.324,12.50,1768.02,97.00,20306.56,423.65
1779327408.424,12.30,1768.02,97.00,20306.56,423.65
1779327408.524,12.50,1768.02,97.00,20310.56,423.65
1779327408.624,12.50,1768.02,97.00,20310.56,423.65
1779327408.725,12.50,1768.02,98.00,20310.56,423.65
1779327408.825,12.50,1768.02,98.00,20310.56,423.65
1779327408.925,13.60,1768.02,98.00,20310.56,423.65
1779327409.026,12.50,1768.02,98.00,20310.56,423.65
1779327409.126,12.50,1768.02,98.00,20310.56,423.65
1779327409.226,12.50,1768.02,98.00,20310.56,423.65
1779327409.326,12.30,1768.02,98.00,20310.56,423.65
1779327409.427,12.50,1768.02,98.00,20310.56,423.65
1779327409.527,17.50,1768.02,97.00,20310.56,423.65
1779327409.627,12.50,1768.02,97.00,20310.56,423.65
1779327409.728,12.50,1768.02,97.00,20312.56,423.65
1779327409.828,12.50,1768.02,97.00,20312.56,423.65
1779327409.928,12.50,1768.02,97.00,20312.56,423.65
1779327410.029,12.50,1768.02,97.00,20312.56,423.65
1779327410.129,13.60,1768.02,97.00,20312.56,423.65
1779327410.229,12.50,1768.02,97.00,20312.56,423.65
1779327410.330,13.60,1768.02,97.00,20312.56,423.65
1779327410.430,12.50,1768.02,97.00,20312.56,423.65
1779327410.530,15.00,1768.04,97.00,20322.56,423.65
1779327410.631,12.50,1768.04,97.00,20322.56,423.65
1779327410.731,12.50,1768.04,97.00,20322.56,423.65
1779327410.831,12.50,1768.04,97.00,20322.56,423.65
1779327410.932,12.50,1768.04,97.00,20322.56,423.65
1779327411.032,12.30,1768.04,97.00,20322.56,423.65
1779327411.132,12.50,1768.05,97.00,20322.56,423.65
1779327411.233,12.50,1768.05,97.00,20322.56,423.65
1779327411.333,12.50,1768.05,97.00,20322.56,423.65
1779327411.433,12.50,1768.05,97.00,20322.56,423.65
1779327411.533,12.50,1768.05,97.00,20322.56,423.65
1779327411.634,12.30,1768.05,97.00,20322.56,423.65
1779327411.734,12.50,1768.05,98.00,20322.56,423.65
1779327411.834,12.50,1768.05,98.00,20322.56,423.65
1779327411.934,12.50,1768.05,98.00,20322.56,423.65
