timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1779327194.744,0.00,708.59,0.00,441.25,68.41
1779327194.845,3.60,709.73,0.00,441.25,68.41
1779327194.991,8.60,738.98,0.00,441.25,68.41
1779327195.207,13.00,810.32,0.00,441.25,68.41
1779327227.820,12.40,795.82,0.00,441.25,68.41
1779327227.937,12.60,960.63,0.00,441.25,68.41
1779327228.037,12.50,960.63,0.00,441.25,68.41
1779327228.138,12.30,960.63,0.00,441.25,68.41
1779327228.238,12.50,960.63,0.00,441.25,68.41
1779327228.338,12.50,960.63,0.00,441.25,68.41
1779327249.793,12.50,899.13,0.00,441.25,68.41
1779327249.893,3.10,899.14,0.00,441.25,68.41
1779327249.994,6.20,906.05,0.00,441.25,68.41
1779327250.094,11.40,1069.46,0.00,455.75,68.41
1779327250.195,13.60,1273.75,0.00,2212.56,68.41
1779327250.295,12.50,2341.75,0.00,2212.56,68.41
1779327250.396,12.50,3315.75,85.00,2970.56,68.41
1779327250.496,11.20,4223.75,85.00,4006.56,68.41
1779327250.596,13.60,5153.75,77.00,4958.56,68.41
1779327250.815,12.10,987.75,29.00,5462.56,68.41
1779327250.916,13.40,2195.75,29.00,6638.56,68.41
1779327251.016,12.50,3269.75,89.00,7674.56,68.41
1779327251.117,18.50,4335.75,89.00,8822.56,68.41
1779327251.217,12.50,5393.75,88.00,9970.56,68.41
1779327251.407,12.50,991.75,28.00,10278.56,68.41
1779327251.508,12.50,2209.75,28.00,11390.56,68.41
1779327251.608,13.60,3287.75,89.00,12518.56,68.41
1779327251.708,12.50,4349.75,89.00,13666.56,68.41
1779327251.809,12.50,5427.75,88.00,14782.56,68.41
1779327251.991,13.00,987.75,12.00,15010.56,68.41
1779327252.091,12.50,2249.79,12.00,16526.56,68.41
1779327252.326,13.90,985.75,99.00,17170.56,68.41
1779327252.426,0.00,985.75,0.00,17170.56,68.41
1779327252.526,1.30,985.88,0.00,17170.56,68.41
1779327252.626,1.20,985.88,0.00,17170.56,68.41
1779327252.727,3.80,1626.14,0.00,17170.56,68.41
1779327252.827,1.20,1626.14,0.00,17170.56,68.41
1779327252.928,3.80,2051.71,0.00,17170.56,68.41
1779327253.034,12.20,2052.24,0.00,17170.56,68.41
1779327253.193,12.40,2052.24,0.00,17170.56,68.41
1779327253.293,23.50,2043.35,0.00,17170.56,68.41
1779327253.393,26.60,2094.82,0.00,17170.56,68.41
1779327253.494,18.80,2151.59,0.00,17170.56,68.41
1779327253.594,37.80,2179.69,0.00,17170.56,68.41
1779327253.695,26.20,2224.69,0.00,17170.56,68.41
1779327253.795,27.50,2197.13,0.00,17170.56,68.41
1779327253.895,14.80,2258.39,0.00,17170.56,68.41
1779327253.996,12.50,2319.75,0.00,17170.56,68.41
1779327254.096,12.50,2381.04,0.00,17170.56,68.41
1779327254.196,12.50,2442.21,0.00,17170.56,68.41
1779327254.297,12.50,2503.31,0.00,17170.56,68.41
1779327254.397,13.60,2564.50,0.00,17170.56,68.41
1779327254.497,12.30,2625.90,0.00,17170.56,68.41
1779327254.598,12.50,2687.20,0.00,17170.56,68.41
1779327254.698,12.50,2748.66,0.00,17170.56,68.41
1779327254.798,12.50,2810.17,0.00,17170.56,68.41
1779327254.899,12.50,2871.14,0.00,17170.56,68.41
1779327254.999,27.20,2873.08,0.00,17170.56,68.41
1779327255.099,31.20,2883.95,0.00,17170.56,68.41
1779327255.200,2.50,2897.08,0.00,17170.56,68.41
1779327255.305,8.60,2897.30,0.00,17170.56,68.41
1779327255.409,12.80,2897.30,0.00,17170.56,68.41
1779327255.511,12.20,2897.30,0.00,17170.56,68.41
1779327255.824,13.00,2897.30,0.00,17170.56,68.41
1779327255.925,12.20,2161.23,0.00,17436.56,68.41
1779327256.025,12.50,2875.23,73.00,18306.56,68.41
1779327256.125,17.50,3577.10,73.00,19184.56,68.41
1779327256.226,12.50,4285.04,71.00,20064.56,68.41
1779327256.326,13.60,1286.41,71.00,20238.56,68.41
1779327256.426,11.40,1388.98,23.00,20268.56,68.41
1779327256.527,12.50,1548.13,23.00,20276.56,68.41
1779327256.627,13.60,1609.98,2.00,20296.56,68.41
1779327256.728,12.50,1765.32,2.00,20298.56,68.41
1779327256.828,12.50,1765.33,2.00,20298.56,68.41
1779327256.928,12.30,1765.34,2.00,20300.56,68.41
1779327257.028,12.50,1765.35,98.00,20302.56,68.41
1779327257.129,16.20,1765.35,98.00,20302.56,68.41
1779327257.229,12.50,1765.35,98.00,20302.56,68.41
1779327257.329,12.50,1765.35,98.00,20302.56,68.41
1779327257.430,12.30,1765.35,97.00,20302.56,68.41
1779327257.530,12.50,1765.35,97.00,20302.56,68.41
1779327257.630,12.50,1765.35,96.00,20302.56,68.41
1779327257.731,12.50,1765.35,96.00,20302.56,68.41
1779327257.831,12.50,1765.35,97.00,20302.56,68.41
1779327257.931,12.50,1765.35,97.00,20304.56,68.41
1779327258.031,12.30,1765.36,97.00,20306.56,68.41
1779327258.131,12.50,1765.36,97.00,20306.56,68.41
1779327258.232,12.50,1765.36,97.00,20306.56,68.41
1779327258.332,13.60,1765.36,97.00,20306.56,68.41
1779327258.432,12.50,1765.36,98.00,20306.56,68.41
1779327258.532,12.50,1765.36,98.00,20306.56,68.41
1779327258.633,12.50,1765.36,98.00,20306.56,68.41
1779327258.733,12.50,1765.36,98.00,20306.56,68.41
1779327258.833,12.30,1765.36,98.00,20306.56,68.41
1779327258.933,12.50,1765.36,98.00,20306.56,68.41
1779327259.034,12.50,1765.36,98.00,20306.56,68.41
1779327259.134,12.50,1765.36,98.00,20306.56,68.41
1779327259.234,12.50,1765.36,98.00,20308.56,68.41
1779327259.334,12.50,1765.37,98.00,20312.56,68.41
1779327259.435,12.50,1765.37,98.00,20312.56,68.41
1779327259.535,12.50,1765.38,98.00,20312.56,68.41
1779327259.636,12.30,1765.38,97.00,20312.56,68.41
1779327259.736,12.50,1765.38,97.00,20312.56,68.41
