timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1779369020.938,0.00,708.52,0.00,0.00,2541.11
1779369021.039,3.70,709.42,0.00,0.00,2541.11
1779369021.162,8.20,738.69,0.00,0.00,2541.11
1779369021.321,12.90,810.68,0.00,0.00,2541.11
1779369038.707,12.60,955.23,0.00,0.00,2541.11
1779369038.808,11.80,961.02,0.00,0.00,2541.11
1779369038.908,12.50,961.02,0.00,0.00,2541.11
1779369039.008,12.50,961.02,0.00,0.00,2541.11
1779369051.625,12.60,901.69,0.00,0.00,2541.11
1779369051.727,1.10,901.70,0.00,0.00,2541.11
1779369051.828,3.70,901.83,0.00,0.00,2541.11
1779369051.929,29.30,1535.46,0.00,0.00,2541.11
1779369052.029,50.00,2776.15,0.00,0.00,2541.11
1779369052.130,50.00,4023.86,0.00,0.00,2541.11
1779369052.230,50.00,5273.18,0.00,0.00,2541.11
1779369052.330,50.00,6487.87,0.00,0.00,2541.11
1779369052.431,50.60,7690.17,0.00,0.00,2541.11
1779369052.531,49.40,8889.82,0.00,0.00,2541.11
1779369052.632,50.60,10101.60,0.00,0.00,2541.11
1779369052.732,50.00,11311.86,0.00,0.00,2541.11
1779369052.832,50.00,12522.35,0.00,0.00,2541.11
1779369052.933,56.80,13650.53,0.00,0.00,2541.11
1779369053.033,50.00,14846.27,0.00,0.00,2541.11
1779369053.210,17.60,10317.95,0.00,0.00,2541.11
1779369053.311,48.10,11628.53,0.00,0.00,2541.11
1779369053.411,50.00,12821.14,0.00,0.00,2541.11
1779369053.511,50.00,14010.07,0.00,0.00,2541.11
1779369053.612,50.60,15209.59,0.00,0.00,2541.11
1779369053.712,49.40,16409.76,0.00,0.00,2541.11
1779369053.813,50.60,17595.39,0.00,0.00,2541.11
1779369053.913,50.00,18791.36,0.00,0.00,2541.11
1779369054.014,53.80,19934.70,0.00,0.00,2541.11
1779369054.114,50.00,21124.28,0.00,0.00,2541.11
1779369054.214,50.00,22305.65,0.00,0.00,2541.11
1779369054.315,50.60,23495.75,0.00,0.00,2541.11
1779369054.572,26.80,19858.18,0.00,0.00,2541.11
1779369054.673,49.40,21180.62,0.00,0.00,2541.11
1779369054.773,50.00,22380.38,0.00,0.00,2541.11
1779369054.873,50.00,23586.79,0.00,0.00,2541.11
1779369054.974,50.60,24796.85,0.00,0.00,2541.11
1779369055.074,50.00,26008.08,0.00,0.00,2541.11
1779369055.174,50.00,27220.01,0.00,0.00,2541.11
1779369055.275,50.00,28440.50,0.00,0.00,2541.11
1779369055.375,50.00,29651.93,0.00,0.00,2541.11
1779369055.475,50.60,30864.27,0.00,0.00,2541.11
1779369055.576,49.40,32080.34,0.00,0.00,2541.11
1779369055.676,50.60,33293.12,0.00,0.00,2541.11
1779369055.891,22.20,29230.40,0.00,0.00,2541.11
1779369055.991,50.60,30488.23,0.00,0.00,2541.11
1779369056.092,50.00,31731.56,0.00,0.00,2541.11
1779369056.192,50.00,32974.10,0.00,0.00,2541.11
1779369056.293,50.00,34196.73,0.00,0.00,2541.11
1779369056.393,50.00,35401.20,0.00,0.00,2541.11
1779369056.577,19.50,33532.55,0.00,0.00,2541.11
1779369056.677,0.00,33532.55,0.00,0.00,2541.11
1779369056.777,1.20,33532.68,0.00,0.00,2541.11
1779369056.878,0.00,33532.68,0.00,0.00,2541.11
1779369056.978,3.70,34114.91,0.00,0.00,2541.11
1779369057.078,1.20,34114.91,0.00,0.00,2541.11
1779369057.179,5.10,34535.33,0.00,0.00,2541.11
1779369057.341,12.80,34535.33,0.00,0.00,2541.11
1779369057.442,17.80,34584.46,0.00,0.00,2541.11
1779369057.542,28.80,34629.53,0.00,0.00,2541.11
1779369057.642,17.70,34692.20,0.00,0.00,2541.11
1779369057.743,38.30,34711.94,0.00,0.00,2541.11
1779369057.843,28.80,34714.20,0.00,0.00,2541.11
1779369057.943,19.80,34765.34,0.00,0.00,2541.11
1779369058.043,15.00,34829.84,0.00,0.00,2541.11
1779369058.144,12.50,34894.17,0.00,0.00,2541.11
1779369058.244,11.40,34961.30,0.00,0.00,2541.11
1779369058.344,13.60,35028.36,0.00,0.00,2541.11
1779369058.444,12.50,35095.52,0.00,0.00,2541.11
1779369058.545,12.50,35162.69,0.00,0.00,2541.11
1779369058.645,12.30,35229.88,0.00,0.00,2541.11
1779369058.745,11.40,35297.01,0.00,0.00,2541.11
1779369058.845,13.60,35363.93,0.00,0.00,2541.11
1779369058.946,16.50,35403.28,0.00,0.00,2541.11
1779369059.046,31.30,35403.28,0.00,0.00,2541.11
1779369059.146,13.60,35427.28,0.00,0.00,2541.11
1779369059.248,5.00,35427.50,0.00,0.00,2541.11
1779369059.350,12.20,35427.50,0.00,0.00,2541.11
1779369059.617,12.70,35427.50,0.00,0.00,2541.11
1779369059.717,21.00,34247.35,0.00,0.00,2541.11
1779369059.817,40.50,34255.57,0.00,0.00,2541.11
1779369059.918,38.30,34255.57,0.00,0.00,2541.11
1779369060.018,41.20,34255.57,0.00,0.00,2541.11
1779369060.118,38.00,34255.57,0.00,0.00,2541.11
1779369060.219,40.70,34255.57,0.00,0.00,2541.11
1779369060.319,40.00,34255.57,0.00,0.00,2541.11
1779369060.420,38.30,34255.57,0.00,0.00,2541.11
1779369060.520,42.00,34255.57,0.00,0.00,2541.11
1779369060.620,38.70,34255.57,0.00,0.00,2541.11
1779369060.721,41.30,34255.57,0.00,0.00,2541.11
1779369060.821,38.70,34255.57,0.00,0.00,2541.11
1779369060.921,38.80,34255.57,0.00,0.00,2541.11
1779369061.022,41.20,34255.57,0.00,0.00,2541.11
1779369061.122,38.70,34255.57,0.00,0.00,2541.11
1779369061.222,40.70,34255.57,0.00,0.00,2541.11
1779369061.323,38.80,34255.57,0.00,0.00,2541.11
1779369061.423,38.70,34255.57,0.00,0.00,2541.11
1779369061.524,41.20,34255.57,0.00,0.00,2541.11
1779369061.624,39.50,34255.57,0.00,0.00,2541.11
1779369061.725,41.20,34255.57,0.00,0.00,2541.11
1779369061.825,38.80,34255.57,0.00,0.00,2541.11
1779369061.925,38.30,34255.57,0.00,0.00,2541.11
1779369062.026,41.20,34255.57,0.00,0.00,2541.11
1779369062.126,38.70,34255.57,0.00,0.00,2541.11
1779369062.226,41.30,34255.57,0.00,0.00,2541.11
1779369062.327,38.70,34255.57,0.00,0.00,2541.11
1779369062.427,38.80,34255.57,0.00,0.00,2541.11
1779369062.528,40.70,34255.57,0.00,0.00,2541.11
1779369062.628,40.00,34255.57,0.00,0.00,2541.11
1779369062.728,40.70,34255.57,0.00,0.00,2541.11
1779369062.829,38.80,34255.57,0.00,0.00,2541.11
1779369062.929,42.50,34255.57,0.00,0.00,2541.11
1779369063.030,41.50,34255.57,0.00,0.00,2541.11
1779369063.130,39.20,34255.57,0.00,0.00,2541.11
1779369063.230,41.30,34255.57,0.00,0.00,2541.11
1779369063.331,38.30,34255.57,0.00,0.00,2541.11
1779369063.431,38.70,34255.57,0.00,0.00,2541.11
1779369063.531,41.20,34255.57,0.00,0.00,2541.11
1779369063.632,38.80,34255.57,0.00,0.00,2541.11
1779369063.732,41.20,34255.57,0.00,0.00,2541.11
1779369063.833,38.30,34255.57,0.00,0.00,2541.11
1779369063.933,40.50,34255.57,0.00,0.00,2541.11
1779369064.034,40.70,34255.57,0.00,0.00,2541.11
1779369064.134,38.80,34255.57,0.00,0.00,2541.11
1779369064.234,41.20,34255.57,0.00,0.00,2541.11
1779369064.335,39.50,34255.57,0.00,0.00,2541.11
1779369064.435,39.20,34255.57,0.00,0.00,2541.11
1779369064.535,40.70,34255.57,0.00,0.00,2541.11
1779369064.636,38.80,34255.57,0.00,0.00,2541.11
1779369064.736,42.00,34255.57,0.00,0.00,2541.11
1779369064.837,39.50,34255.57,0.00,0.00,2541.11
1779369064.937,38.80,34255.57,0.00,0.00,2541.11
1779369065.037,41.20,34255.57,0.00,0.00,2541.11
1779369065.138,38.80,34255.57,0.00,0.00,2541.11
1779369065.238,41.20,34255.57,0.00,0.00,2541.11
1779369065.339,38.30,34255.57,0.00,0.00,2541.11
1779369065.439,40.00,34255.57,0.00,0.00,2541.11
1779369065.539,40.00,34255.57,0.00,0.00,2541.11
1779369065.640,39.50,34255.57,0.00,0.00,2541.11
1779369065.740,41.20,34255.57,0.00,0.00,2541.11
1779369065.841,38.80,34255.57,0.00,0.00,2541.11
1779369065.941,38.70,34255.57,0.00,0.00,2541.11
1779369066.041,40.70,34255.57,0.00,0.00,2541.11
1779369066.142,38.80,34255.57,0.00,0.00,2541.11
1779369066.242,41.20,34255.57,0.00,0.00,2541.11
1779369066.343,38.70,34255.57,0.00,0.00,2541.11
1779369066.443,39.50,34255.57,0.00,0.00,2541.11
1779369066.543,40.00,34255.57,0.00,0.00,2541.11
1779369066.644,39.50,34255.57,0.00,0.00,2541.11
1779369066.744,40.50,34255.57,0.00,0.00,2541.11
1779369066.844,38.70,34255.57,0.00,0.00,2541.11
1779369066.945,39.50,34255.57,0.00,0.00,2541.11
1779369067.045,40.00,34255.57,0.00,0.00,2541.11
1779369067.146,39.50,34255.57,0.00,0.00,2541.11
1779369067.246,41.20,34255.57,0.00,0.00,2541.11
1779369067.346,38.00,34255.57,0.00,0.00,2541.11
1779369067.447,39.50,34255.57,0.00,0.00,2541.11
1779369067.547,40.70,34255.57,0.00,0.00,2541.11
1779369067.648,39.20,34255.57,0.00,0.00,2541.11
1779369067.748,22.20,34255.63,0.00,0.00,2541.11
1779369067.848,20.00,34257.61,0.00,0.00,2541.11
1779369067.949,19.80,34257.61,0.00,0.00,2541.11
1779369068.049,20.00,34257.61,0.00,0.00,2541.11
1779369068.149,19.80,34257.61,0.00,0.00,2541.11
1779369068.250,21.30,34257.61,0.00,0.00,2541.11
1779369068.350,18.70,34257.61,0.00,0.00,2541.11
1779369068.450,20.00,34257.61,0.00,0.00,2541.11
1779369068.551,18.70,34257.61,0.00,0.00,2541.11
1779369068.651,19.80,34257.61,0.00,0.00,2541.11
1779369068.751,21.20,34257.61,0.00,0.00,2541.11
1779369068.852,15.00,34257.61,0.00,0.00,2541.11
1779369068.952,18.50,34257.61,0.00,0.00,2541.11
1779369069.052,21.00,34257.61,0.00,0.00,2541.11
1779369069.153,20.00,34257.61,0.00,0.00,2541.11
1779369069.253,18.70,34257.61,0.00,0.00,2541.11
1779369069.353,19.80,34257.61,0.00,0.00,2541.11
1779369069.454,20.00,34257.61,0.00,0.00,2541.11
1779369069.554,20.00,34257.61,0.00,0.00,2541.11
1779369069.654,21.00,34257.61,0.00,0.00,2541.11
1779369069.755,20.00,34257.61,0.00,0.00,2541.11
1779369069.855,19.80,34257.61,0.00,0.00,2541.11
1779369069.956,17.30,34257.61,0.00,0.00,2541.11
