timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1779245749.419,0.00,708.18,0.00,611.38,784.54
1779245749.519,3.70,709.31,0.00,611.38,784.54
1779245749.625,8.30,738.32,0.00,611.38,784.54
1779245749.791,13.20,810.61,0.00,611.38,784.54
1779245766.728,12.60,956.06,0.00,611.38,784.54
1779245766.829,12.10,960.22,0.00,611.38,784.54
1779245766.929,12.50,960.22,0.00,611.38,784.54
1779245767.029,12.30,960.22,0.00,611.38,784.54
1779245779.326,12.50,901.12,0.00,611.38,784.54
1779245779.427,1.20,901.12,0.00,611.38,784.54
1779245779.528,8.90,908.01,0.00,611.38,784.54
1779245779.629,13.40,1130.90,0.00,2558.69,784.54
1779245779.729,12.50,2390.90,0.00,2558.69,784.54
1779245779.830,12.50,3534.90,99.00,3624.69,784.54
1779245779.930,12.30,4662.90,99.00,4772.69,784.54
1779245780.182,12.90,994.90,0.00,5808.69,784.54
1779245780.283,12.50,2266.90,0.00,6984.69,784.54
1779245780.383,12.50,3402.90,94.00,8244.69,784.54
1779245780.483,12.50,4546.90,94.00,9392.69,784.54
1779245780.584,17.30,5682.90,93.00,10560.69,784.54
1779245780.751,12.80,992.90,93.00,10624.69,784.54
1779245780.851,12.30,2254.90,0.00,11800.69,784.54
1779245780.952,11.40,3404.90,0.00,12976.69,784.54
1779245781.052,13.60,4538.91,94.00,14236.69,784.54
1779245781.152,12.50,5668.91,94.00,15356.69,784.54
1779245781.312,12.60,1006.96,93.00,15356.69,784.54
1779245781.413,13.40,2254.96,37.00,16872.69,784.54
1779245781.655,13.50,986.91,37.00,17516.69,784.54
1779245781.755,0.00,986.91,37.00,17516.69,784.54
1779245781.856,2.50,987.04,0.00,17516.69,784.54
1779245781.956,0.00,987.04,0.00,17516.69,784.54
1779245782.056,3.80,1629.31,0.00,17516.69,784.54
1779245782.157,1.20,1629.31,0.00,17516.69,784.54
1779245782.257,3.80,2066.60,0.00,17516.69,784.54
1779245782.358,12.30,2066.71,0.00,17516.69,784.54
1779245782.458,12.50,2055.63,0.00,17516.69,784.54
1779245782.558,32.10,2072.98,0.00,17516.69,784.54
1779245782.659,22.50,2132.99,0.00,17516.69,784.54
1779245782.759,27.20,2187.41,0.00,17516.69,784.54
1779245782.859,33.80,2239.16,0.00,17516.69,784.54
1779245782.960,24.70,2203.29,0.00,17516.69,784.54
1779245783.060,15.00,2270.81,0.00,17516.69,784.54
1779245783.160,12.50,2338.79,0.00,17516.69,784.54
1779245783.261,12.50,2406.63,0.00,17516.69,784.54
1779245783.361,12.50,2474.46,0.00,17516.69,784.54
1779245783.461,12.30,2542.49,0.00,17516.69,784.54
1779245783.561,12.50,2610.19,0.00,17516.69,784.54
1779245783.662,12.50,2678.09,0.00,17516.69,784.54
1779245783.762,12.50,2746.04,0.00,17516.69,784.54
1779245783.862,12.50,2813.96,0.00,17516.69,784.54
1779245783.963,13.60,2881.56,0.00,17516.69,784.54
1779245784.063,25.00,2887.55,0.00,17516.69,784.54
1779245784.163,26.60,2911.23,0.00,17516.69,784.54
1779245784.264,1.20,2911.55,0.00,17516.69,784.54
1779245784.368,13.30,2911.82,0.00,17516.69,784.54
1779245784.474,12.00,2911.82,0.00,17516.69,784.54
1779245784.677,12.70,2911.82,0.00,17516.69,784.54
1779245784.778,11.40,2062.44,0.00,17898.69,784.54
1779245784.878,13.60,2820.56,78.00,18844.69,784.54
1779245784.978,12.50,3544.25,78.00,19790.69,784.54
1779245785.078,12.50,1064.98,78.00,20610.69,784.54
1779245785.179,12.50,1175.96,78.00,20640.69,784.54
1779245785.279,12.50,1336.11,12.00,20642.69,784.54
1779245785.379,12.50,1507.13,1.00,20650.69,784.54
1779245785.480,13.60,1638.34,1.00,20668.69,784.54
1779245785.580,16.20,1721.28,19.00,20668.69,784.54
1779245785.680,12.50,1721.29,19.00,20668.69,784.54
1779245785.781,12.50,1721.29,91.00,20668.69,784.54
1779245785.881,12.50,1721.29,91.00,20668.69,784.54
