timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1779245439.600,0.00,708.30,0.00,611.38,260.47
1779245439.701,3.70,709.43,0.00,611.38,260.47
1779245439.810,9.10,738.69,0.00,611.38,260.47
1779245439.979,12.60,810.15,0.00,611.38,260.47
1779245458.046,12.60,956.20,0.00,611.38,260.47
1779245458.147,12.40,960.70,0.00,611.38,260.47
1779245458.247,12.30,960.70,0.00,611.38,260.47
1779245458.347,12.50,960.70,0.00,611.38,260.47
1779245471.764,12.50,901.26,0.00,611.38,260.47
1779245471.864,1.20,901.26,0.00,611.38,260.47
1779245471.965,12.30,1021.49,0.00,625.69,260.47
1779245472.065,11.40,1379.05,0.00,2558.69,260.47
1779245472.165,13.60,2623.05,0.00,2672.69,260.47
1779245472.266,12.50,3763.05,67.00,3788.69,260.47
1779245472.366,12.30,4909.05,67.00,4996.69,260.47
1779245472.596,12.60,1001.05,31.00,5808.69,260.47
1779245472.696,12.50,2263.05,31.00,6984.69,260.47
1779245472.796,13.60,3399.05,93.00,8244.69,260.47
1779245472.897,11.40,4539.05,93.00,9392.69,260.47
1779245472.997,18.50,5677.05,94.00,10540.69,260.47
1779245473.162,12.20,989.05,94.00,10624.69,260.47
1779245473.262,13.60,2259.05,2.00,11800.69,260.47
1779245473.363,13.60,3411.05,2.00,12976.69,260.47
1779245473.463,12.50,4311.05,93.00,14012.69,260.47
1779245473.563,11.30,5457.05,93.00,15160.69,260.47
1779245473.741,12.80,989.05,76.00,15356.69,260.47
1779245473.841,13.40,2261.09,0.00,16872.69,260.47
1779245474.079,13.80,987.05,97.00,17516.69,260.47
1779245474.179,0.00,987.05,0.00,17516.69,260.47
1779245474.280,1.20,987.18,0.00,17516.69,260.47
1779245474.380,1.20,987.18,0.00,17516.69,260.47
1779245474.480,2.50,1629.45,0.00,17516.69,260.47
1779245474.581,1.20,1629.45,0.00,17516.69,260.47
1779245474.682,2.50,2066.11,0.00,17516.69,260.47
1779245474.787,13.30,2066.85,0.00,17516.69,260.47
1779245474.887,12.20,2055.76,0.00,17516.69,260.47
1779245474.988,28.70,2066.15,0.00,17516.69,260.47
1779245475.088,23.80,2129.03,0.00,17516.69,260.47
1779245475.188,27.20,2183.06,0.00,17516.69,260.47
1779245475.289,32.90,2234.81,0.00,17516.69,260.47
1779245475.389,25.00,2207.23,0.00,17516.69,260.47
1779245475.490,14.80,2267.70,0.00,17516.69,260.47
1779245475.590,12.50,2335.77,0.00,17516.69,260.47
1779245475.690,13.60,2403.79,0.00,17516.69,260.47
1779245475.791,12.50,2471.83,0.00,17516.69,260.47
1779245475.891,12.50,2539.75,0.00,17516.69,260.47
1779245475.991,12.30,2607.69,0.00,17516.69,260.47
1779245476.092,12.50,2675.76,0.00,17516.69,260.47
1779245476.192,11.40,2743.84,0.00,17516.69,260.47
1779245476.292,12.50,2811.59,0.00,17516.69,260.47
1779245476.393,12.50,2878.97,0.00,17516.69,260.47
1779245476.493,25.90,2884.70,0.00,17516.69,260.47
1779245476.594,27.50,2908.53,0.00,17516.69,260.47
1779245476.694,0.00,2908.70,0.00,17516.69,260.47
1779245476.795,13.40,2908.97,0.00,17516.69,260.47
1779245476.903,12.20,2908.97,0.00,17516.69,260.47
1779245477.115,12.70,2908.97,0.00,17516.69,260.47
1779245477.216,13.60,2171.58,0.00,17930.69,260.47
1779245477.316,11.40,2937.71,0.00,18892.69,260.47
1779245477.417,13.40,3669.39,78.00,19836.69,260.47
1779245477.517,12.70,1070.63,78.00,20610.69,260.47
1779245477.617,12.30,1191.29,66.00,20640.69,260.47
1779245477.718,12.50,1346.11,66.00,20644.69,260.47
1779245477.818,13.60,1516.36,0.00,20650.69,260.47
1779245477.919,11.40,1647.98,0.00,20670.69,260.47
1779245478.019,16.20,1743.46,30.00,20670.69,260.47
1779245478.119,12.30,1743.46,30.00,20670.69,260.47
1779245478.220,12.50,1743.48,90.00,20670.69,260.47
1779245478.320,13.60,1751.95,90.00,20670.69,260.47
1779245478.420,12.50,1751.95,87.00,20670.69,260.47
1779245478.521,12.50,1751.96,87.00,20670.69,260.47
1779245478.621,12.50,1751.96,91.00,20670.69,260.47
1779245478.721,12.30,1751.96,91.00,20670.69,260.47
1779245478.822,12.50,1751.96,91.00,20674.69,260.47
1779245478.922,12.50,1751.96,91.00,20674.69,260.47
1779245479.023,12.50,1751.96,91.00,20674.69,260.47
1779245479.123,12.50,1751.96,91.00,20674.69,260.47
1779245479.223,12.50,1751.96,91.00,20674.69,260.47
1779245479.324,12.50,1751.96,91.00,20674.69,260.47
1779245479.424,12.50,1751.97,92.00,20678.69,260.47
1779245479.524,12.30,1751.97,92.00,20678.69,260.47
1779245479.625,13.60,1751.97,92.00,20678.69,260.47
1779245479.725,12.50,1751.98,92.00,20678.69,260.47
1779245479.825,12.50,1751.98,91.00,20678.69,260.47
1779245479.926,13.60,1751.98,91.00,20678.69,260.47
1779245480.026,12.30,1751.98,92.00,20678.69,260.47
1779245480.126,12.50,1751.98,92.00,20678.69,260.47
1779245480.227,12.50,1751.98,91.00,20678.69,260.47
1779245480.327,12.50,1751.98,91.00,20682.69,260.47
1779245480.427,12.50,1751.98,91.00,20682.69,260.47
1779245480.528,12.50,1751.99,91.00,20684.69,260.47
1779245480.628,12.30,1751.99,91.00,20684.69,260.47
1779245480.728,12.50,1751.99,91.00,20684.69,260.47
1779245480.829,12.50,1751.99,91.00,20684.69,260.47
1779245480.929,12.50,1751.99,91.00,20684.69,260.47
1779245481.029,12.50,1751.99,92.00,20684.69,260.47
1779245481.130,12.30,1751.99,92.00,20684.69,260.47
1779245481.230,12.50,1751.99,91.00,20684.69,260.47
1779245481.330,12.50,1751.99,91.00,20684.69,260.47
1779245481.431,12.50,1751.99,91.00,20684.69,260.47
1779245481.531,12.50,1751.99,91.00,20684.69,260.47
1779245481.631,12.50,1751.99,92.00,20684.69,260.47
1779245481.731,12.30,1752.01,92.00,20692.69,260.47
1779245481.832,12.50,1752.01,91.00,20694.69,260.47
1779245481.932,12.50,1752.01,91.00,20694.69,260.47
1779245482.032,12.50,1752.01,91.00,20694.69,260.47
1779245482.133,12.50,1752.01,91.00,20694.69,260.47
1779245482.233,13.60,1752.01,91.00,20694.69,260.47
1779245482.333,12.30,1752.01,91.00,20694.69,260.47
1779245482.434,12.50,1752.01,92.00,20694.69,260.47
1779245482.534,12.50,1752.01,92.00,20694.69,260.47
1779245482.634,13.60,1752.01,91.00,20694.69,260.47
1779245482.735,12.50,1752.01,91.00,20694.69,260.47
1779245482.835,12.50,1752.01,92.00,20694.69,260.47
1779245482.935,12.30,1752.01,92.00,20694.69,260.47
1779245483.036,14.10,1752.01,91.00,20694.69,260.47
1779245483.136,12.30,1752.01,91.00,20694.69,260.47
1779245483.236,12.50,1752.01,92.00,20694.69,260.47
1779245483.337,12.50,1752.01,92.00,20694.69,260.47
1779245483.437,12.50,1752.01,91.00,20694.69,260.47
1779245483.537,13.60,1752.02,91.00,20696.69,260.47
1779245483.638,12.50,1752.02,91.00,20696.69,260.47
1779245483.738,12.30,1752.02,91.00,20698.69,260.47
1779245483.838,12.50,1752.02,91.00,20698.69,260.47
1779245483.939,12.50,1752.02,91.00,20698.69,260.47
1779245484.039,13.60,1752.04,91.00,20714.69,260.47
1779245484.139,12.50,1752.05,91.00,20718.69,260.47
1779245484.240,12.50,1752.05,89.00,20718.69,260.47
1779245484.340,12.50,1752.05,89.00,20718.69,260.47
1779245484.441,12.30,1752.05,91.00,20718.69,260.47
1779245484.541,12.50,1752.05,91.00,20718.69,260.47
1779245484.641,12.50,1752.05,91.00,20718.69,260.47
1779245484.742,12.50,1752.05,91.00,20718.69,260.47
1779245484.842,12.50,1752.05,91.00,20718.69,260.47
1779245484.942,12.50,1752.05,91.00,20718.69,260.47
1779245485.043,12.30,1752.05,91.00,20718.69,260.47
1779245485.143,12.50,1752.05,91.00,20718.69,260.47
1779245485.243,12.50,1752.05,92.00,20718.69,260.47
