timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1779245328.661,0.00,708.36,0.00,611.38,46.97
1779245328.762,3.60,709.49,0.00,611.38,46.97
1779245328.871,9.10,738.50,0.00,611.38,46.97
1779245329.039,11.90,810.78,0.00,611.38,46.97
1779245346.957,12.60,956.29,0.00,611.38,46.97
1779245347.057,13.20,961.60,0.00,611.38,46.97
1779245347.158,12.50,961.60,0.00,611.38,46.97
1779245347.258,12.50,961.60,0.00,611.38,46.97
1779245360.791,12.60,902.36,0.00,611.38,46.97
1779245360.891,1.10,902.36,0.00,611.38,46.97
1779245360.991,12.50,1022.64,0.00,625.69,46.97
1779245361.092,13.40,1380.20,0.00,2558.69,46.97
1779245361.192,11.40,2624.20,0.00,2672.69,46.97
1779245361.292,12.50,3762.20,83.00,3788.69,46.97
1779245361.393,12.50,4910.20,83.00,4996.69,46.97
1779245361.625,13.00,992.20,94.00,5808.69,46.97
1779245361.725,12.30,2268.20,14.00,6984.69,46.97
1779245361.825,12.50,3404.20,14.00,8244.69,46.97
1779245361.926,12.50,4546.20,94.00,9392.69,46.97
1779245362.026,16.20,5682.20,94.00,10540.69,46.97
1779245362.194,12.80,998.20,93.00,10624.69,46.97
1779245362.294,13.40,2264.20,0.00,11800.69,46.97
1779245362.395,12.50,3412.20,0.00,12996.69,46.97
1779245362.495,12.50,4544.20,93.00,14236.69,46.97
1779245362.596,13.60,5670.20,93.00,15356.69,46.97
1779245362.756,11.80,998.20,94.00,15356.69,46.97
1779245362.857,13.60,2264.25,0.00,16872.69,46.97
1779245363.095,13.60,988.20,76.00,17516.69,46.97
1779245363.196,1.30,988.20,76.00,17516.69,46.97
1779245363.296,1.20,988.33,0.00,17516.69,46.97
1779245363.396,0.00,988.33,0.00,17516.69,46.97
1779245363.497,3.70,1630.60,0.00,17516.69,46.97
1779245363.597,0.00,1630.60,0.00,17516.69,46.97
1779245363.698,7.50,2068.01,0.00,17516.69,46.97
1779245363.864,13.00,2068.01,0.00,17516.69,46.97
1779245363.964,24.20,2063.19,0.00,17516.69,46.97
1779245364.065,24.70,2122.59,0.00,17516.69,46.97
1779245364.165,19.20,2183.65,0.00,17516.69,46.97
1779245364.266,37.00,2199.39,0.00,17516.69,46.97
1779245364.366,28.80,2198.60,0.00,17516.69,46.97
1779245364.467,13.40,2259.85,0.00,17516.69,46.97
1779245364.567,13.90,2327.71,0.00,17516.69,46.97
1779245364.667,13.60,2395.65,0.00,17516.69,46.97
1779245364.768,11.20,2463.58,0.00,17516.69,46.97
1779245364.868,13.60,2531.47,0.00,17516.69,46.97
1779245364.968,11.40,2599.20,0.00,17516.69,46.97
1779245365.068,12.50,2667.07,0.00,17516.69,46.97
1779245365.169,12.50,2735.03,0.00,17516.69,46.97
1779245365.269,13.60,2802.75,0.00,17516.69,46.97
1779245365.369,11.40,2870.29,0.00,17516.69,46.97
1779245365.470,23.50,2888.86,0.00,17516.69,46.97
1779245365.570,32.10,2899.15,0.00,17516.69,46.97
1779245365.671,1.20,2912.86,0.00,17516.69,46.97
1779245365.773,9.90,2913.12,0.00,17516.69,46.97
1779245365.876,12.20,2913.12,0.00,17516.69,46.97
1779245366.122,13.50,2913.12,0.00,17516.69,46.97
1779245366.223,12.40,2157.74,0.00,17930.69,46.97
1779245366.323,12.50,2917.86,0.00,18876.69,46.97
1779245366.423,12.30,3641.55,0.00,19808.69,46.97
1779245366.524,12.70,1131.78,78.00,20610.69,46.97
1779245366.624,13.40,1218.93,78.00,20640.69,46.97
1779245366.724,12.50,1379.58,45.00,20640.69,46.97
1779245366.825,12.50,1519.91,45.00,20664.69,46.97
1779245366.925,11.40,1693.89,1.00,20670.69,46.97
1779245367.026,18.50,1714.09,1.00,20670.69,46.97
1779245367.126,12.50,1714.09,13.00,20674.69,46.97
1779245367.226,12.50,1714.09,13.00,20674.69,46.97
1779245367.326,12.30,1714.09,91.00,20674.69,46.97
1779245367.427,12.50,1714.10,91.00,20674.69,46.97
1779245367.527,12.50,1714.10,91.00,20674.69,46.97
1779245367.627,12.50,1714.10,91.00,20674.69,46.97
1779245367.727,12.50,1714.10,92.00,20674.69,46.97
1779245367.828,12.50,1714.11,92.00,20678.69,46.97
1779245367.928,12.30,1714.11,92.00,20678.69,46.97
