timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1779283262.346,0.00,666.50,0.00,0.00,3326.73
1779283262.446,0.60,667.70,0.00,0.00,3326.73
1779283262.595,5.00,740.42,0.00,0.00,3326.73
1779283262.711,6.50,775.88,0.00,0.00,3326.73
1779283281.199,6.30,914.45,0.00,0.00,3326.73
1779283281.299,6.70,919.06,0.00,0.00,3326.73
1779283281.400,6.20,919.06,0.00,0.00,3326.73
1779283294.926,6.30,858.78,0.00,0.00,3326.73
1779283295.027,0.50,858.78,0.00,0.00,3326.73
1779283295.128,3.10,865.58,0.00,0.00,3326.73
1779283295.229,44.10,3574.91,0.00,0.00,3326.73
1779283295.329,46.00,6014.01,0.00,0.00,3326.73
1779283295.429,46.60,7774.90,0.00,0.00,3326.73
1779283295.530,48.10,9605.57,0.00,0.00,3326.73
1779283295.630,48.10,11530.37,0.00,0.00,3326.73
1779283295.730,48.40,13523.59,0.00,0.00,3326.73
1779283295.947,23.10,10286.43,0.00,0.00,3326.73
1779283296.048,45.00,12275.98,0.00,0.00,3326.73
1779283296.148,48.70,14120.96,0.00,0.00,3326.73
1779283296.248,49.40,15754.68,0.00,0.00,3326.73
1779283296.348,48.10,17709.71,0.00,0.00,3326.73
1779283296.449,48.40,19600.64,0.00,0.00,3326.73
1779283296.549,48.10,21492.95,0.00,0.00,3326.73
1779283296.649,47.50,23272.07,0.00,0.00,3326.73
1779283296.851,21.90,19830.66,0.00,0.00,3326.73
1779283296.952,44.70,21980.68,0.00,0.00,3326.73
1779283297.052,47.50,23688.95,0.00,0.00,3326.73
1779283297.152,49.10,25682.74,0.00,0.00,3326.73
1779283297.253,48.10,27427.29,0.00,0.00,3326.73
1779283297.353,48.40,29384.80,0.00,0.00,3326.73
1779283297.453,47.50,31128.59,0.00,0.00,3326.73
1779283297.554,48.70,33086.86,0.00,0.00,3326.73
1779283297.740,19.10,29200.88,0.00,0.00,3326.73
1779283297.840,49.70,32170.62,0.00,0.00,3326.73
1779283297.940,45.70,34436.28,0.00,0.00,3326.73
1779283298.136,20.40,33505.03,0.00,0.00,3326.73
1779283298.236,0.60,33505.03,0.00,0.00,3326.73
1779283298.337,0.60,33505.16,0.00,0.00,3326.73
1779283298.437,0.00,33505.16,0.00,0.00,3326.73
1779283298.538,1.20,34149.34,0.00,0.00,3326.73
1779283298.638,0.00,34149.34,0.00,0.00,3326.73
1779283298.739,1.20,34578.34,0.00,0.00,3326.73
1779283298.866,6.40,34578.89,0.00,0.00,3326.73
1779283298.966,19.30,34638.95,0.00,0.00,3326.73
1779283299.067,15.50,34724.88,0.00,0.00,3326.73
1779283299.167,28.80,34800.51,0.00,0.00,3326.73
1779283299.268,13.00,34804.12,0.00,0.00,3326.73
1779283299.368,8.10,34897.26,0.00,0.00,3326.73
1779283299.468,5.60,34993.21,0.00,0.00,3326.73
1779283299.569,6.20,35089.00,0.00,0.00,3326.73
1779283299.669,6.80,35184.95,0.00,0.00,3326.73
1779283299.770,6.20,35280.90,0.00,0.00,3326.73
1779283299.870,6.30,35376.45,0.00,0.00,3326.73
1779283299.970,7.50,35449.15,0.00,0.00,3326.73
1779283300.071,21.40,35472.11,0.00,0.00,3326.73
1779283300.171,0.60,35473.15,0.00,0.00,3326.73
1779283300.274,6.10,35473.53,0.00,0.00,3326.73
1779283300.463,6.30,35473.53,0.00,0.00,3326.73
1779283300.563,31.90,34283.47,0.00,0.00,3326.73
1779283300.664,50.00,34283.47,0.00,0.00,3326.73
1779283300.764,50.30,34283.47,0.00,0.00,3326.73
