timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1779249525.142,0.00,666.32,0.00,0.00,574.65
1779249525.243,1.20,667.46,0.00,0.00,574.65
1779249525.384,5.30,740.18,0.00,0.00,574.65
1779249525.489,6.00,775.43,0.00,0.00,574.65
1779249543.782,6.30,915.28,0.00,0.00,574.65
1779249543.882,6.20,919.47,0.00,0.00,574.65
1779249543.982,6.30,919.47,0.00,0.00,574.65
1779249557.452,6.30,857.64,0.00,0.00,574.65
1779249557.552,0.60,857.64,0.00,0.00,574.65
1779249557.653,23.80,2161.09,0.00,0.00,574.65
1779249557.753,49.40,5160.96,0.00,0.00,574.65
1779249557.853,45.60,7069.45,0.00,0.00,574.65
1779249557.953,48.10,9026.73,0.00,0.00,574.65
1779249558.053,48.80,10960.76,0.00,0.00,574.65
1779249558.154,48.40,12857.24,0.00,0.00,574.65
1779249558.254,49.10,14838.36,0.00,0.00,574.65
1779249558.365,11.90,10285.27,0.00,0.00,574.65
1779249558.465,46.90,12485.88,0.00,0.00,574.65
1779249558.565,48.10,14318.31,0.00,0.00,574.65
1779249558.665,50.30,16385.36,0.00,0.00,574.65
1779249558.765,48.10,18261.43,0.00,0.00,574.65
1779249558.866,48.10,20231.65,0.00,0.00,574.65
1779249558.966,48.80,22075.30,0.00,0.00,574.65
1779249559.066,47.50,24047.77,0.00,0.00,574.65
1779249559.190,18.10,19819.50,0.00,0.00,574.65
1779249559.290,45.60,22036.57,0.00,0.00,574.65
1779249559.390,48.80,23972.36,0.00,0.00,574.65
1779249559.491,48.80,25884.98,0.00,0.00,574.65
1779249559.591,48.70,27833.14,0.00,0.00,574.65
1779249559.691,48.40,29636.82,0.00,0.00,574.65
1779249559.791,48.80,31795.56,0.00,0.00,574.65
1779249559.891,49.10,33651.71,0.00,0.00,574.65
1779249559.998,14.70,29215.77,0.00,0.00,574.65
1779249560.098,49.70,32295.12,0.00,0.00,574.65
1779249560.198,47.50,34757.91,0.00,0.00,574.65
1779249560.322,24.10,33503.88,0.00,0.00,574.65
1779249560.423,0.00,33503.88,0.00,0.00,574.65
1779249560.523,0.60,33504.00,0.00,0.00,574.65
1779249560.623,0.60,33504.00,0.00,0.00,574.65
1779249560.723,0.60,34146.23,0.00,0.00,574.65
1779249560.823,0.60,34146.23,0.00,0.00,574.65
1779249560.927,4.20,34578.11,0.00,0.00,574.65
1779249561.027,5.60,34591.36,0.00,0.00,574.65
1779249561.128,21.60,34658.75,0.00,0.00,574.65
1779249561.228,19.40,34738.98,0.00,0.00,574.65
1779249561.328,24.40,34756.98,0.00,0.00,574.65
1779249561.428,10.10,34839.52,0.00,0.00,574.65
1779249561.529,6.20,34936.08,0.00,0.00,574.65
1779249561.629,6.30,35035.45,0.00,0.00,574.65
1779249561.729,6.80,35134.90,0.00,0.00,574.65
1779249561.829,5.70,35234.14,0.00,0.00,574.65
1779249561.929,6.80,35333.69,0.00,0.00,574.65
1779249562.030,5.70,35432.78,0.00,0.00,574.65
1779249562.130,19.30,35446.38,0.00,0.00,574.65
1779249562.230,5.00,35470.38,0.00,0.00,574.65
1779249562.333,4.20,35470.77,0.00,0.00,574.65
1779249562.542,6.50,35470.77,0.00,0.00,574.65
1779249562.643,19.60,34282.62,0.00,0.00,574.65
1779249562.743,50.30,34282.62,0.00,0.00,574.65
1779249562.843,49.70,34282.62,0.00,0.00,574.65
1779249562.944,50.30,34282.62,0.00,0.00,574.65
1779249563.044,50.00,34282.62,0.00,0.00,574.65
1779249563.144,50.00,34282.62,0.00,0.00,574.65
1779249563.245,50.30,34282.62,0.00,0.00,574.65
1779249563.345,50.00,34282.62,0.00,0.00,574.65
1779249563.445,50.00,34282.63,0.00,0.00,574.65
1779249563.546,50.30,34282.63,0.00,0.00,574.65
1779249563.646,51.30,34282.63,0.00,0.00,574.65
1779249563.746,50.30,34282.63,0.00,0.00,574.65
1779249563.847,50.00,34282.63,0.00,0.00,574.65
1779249563.947,50.00,34282.63,0.00,0.00,574.65
1779249564.047,50.00,34282.63,0.00,0.00,574.65
1779249564.148,50.30,34282.63,0.00,0.00,574.65
1779249564.248,50.30,34282.76,0.00,0.00,574.65
1779249564.348,50.00,34284.58,0.00,0.00,574.65
1779249564.449,49.70,34284.58,0.00,0.00,574.65
1779249564.549,50.00,34284.58,0.00,0.00,574.65
1779249564.649,50.60,34284.58,0.00,0.00,574.65
1779249564.750,50.00,34284.58,0.00,0.00,574.65
1779249564.850,50.30,34284.58,0.00,0.00,574.65
1779249564.950,50.00,34284.58,0.00,0.00,574.65
1779249565.050,50.00,34284.58,0.00,0.00,574.65
