timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1779326071.489,0.00,666.70,0.00,0.00,4817.89
1779326071.589,1.70,667.61,0.00,0.00,4817.89
1779326071.717,5.20,696.87,0.00,0.00,4817.89
1779326071.901,8.90,767.65,0.00,0.00,4817.89
1779326094.971,8.00,909.66,0.00,0.00,4817.89
1779326095.107,8.40,922.40,0.00,0.00,4817.89
1779326095.207,8.00,919.73,0.00,0.00,4817.89
1779326095.308,8.30,919.73,0.00,0.00,4817.89
1779326095.408,8.30,919.73,0.00,0.00,4817.89
1779326111.828,8.30,859.81,0.00,0.00,4817.89
1779326111.928,1.40,859.81,0.00,0.00,4817.89
1779326112.028,7.50,866.62,0.00,0.00,4817.89
1779326112.129,46.70,2383.43,0.00,0.00,4817.89
1779326112.229,50.40,3902.10,0.00,0.00,4817.89
1779326112.330,50.40,5417.96,0.00,0.00,4817.89
1779326112.430,46.70,6458.36,0.00,0.00,4817.89
1779326112.530,50.00,7323.71,0.00,0.00,4817.89
1779326112.631,50.40,8200.82,0.00,0.00,4817.89
1779326112.731,50.00,9157.30,0.00,0.00,4817.89
1779326112.831,49.60,10181.31,0.00,0.00,4817.89
1779326112.931,50.40,11081.33,0.00,0.00,4817.89
1779326113.032,50.40,11981.34,0.00,0.00,4817.89
1779326113.132,52.50,12868.41,0.00,0.00,4817.89
1779326113.232,50.40,13890.79,0.00,0.00,4817.89
1779326113.332,50.00,14805.39,0.00,0.00,4817.89
1779326113.502,17.70,10289.39,0.00,0.00,4817.89
1779326113.602,45.80,11467.35,0.00,0.00,4817.89
1779326113.702,50.40,12399.54,0.00,0.00,4817.89
1779326113.803,50.00,13251.44,0.00,0.00,4817.89
1779326113.903,50.40,14151.45,0.00,0.00,4817.89
1779326114.003,50.00,15175.46,0.00,0.00,4817.89
1779326114.103,50.40,16093.41,0.00,0.00,4817.89
1779326114.204,50.00,16953.50,0.00,0.00,4817.89
1779326114.304,50.00,17853.52,0.00,0.00,4817.89
1779326114.404,50.00,18877.53,0.00,0.00,4817.89
1779326114.504,50.40,19841.03,0.00,0.00,4817.89
1779326114.605,49.60,20691.76,0.00,0.00,4817.89
1779326114.705,50.00,21577.57,0.00,0.00,4817.89
1779326114.805,48.80,22455.59,0.00,0.00,4817.89
1779326114.906,50.00,23355.61,0.00,0.00,4817.89
1779326115.006,50.40,24376.45,0.00,0.00,4817.89
1779326115.181,18.70,19823.62,0.00,0.00,4817.89
1779326115.281,45.00,20979.64,0.00,0.00,4817.89
1779326115.382,48.80,22042.16,0.00,0.00,4817.89
1779326115.482,50.00,23058.88,0.00,0.00,4817.89
1779326115.582,50.00,23919.21,0.00,0.00,4817.89
1779326115.683,50.40,24777.54,0.00,0.00,4817.89
1779326115.783,50.00,25799.71,0.00,0.00,4817.89
1779326115.883,50.00,26868.85,0.00,0.00,4817.89
1779326115.984,50.00,27707.12,0.00,0.00,4817.89
1779326116.084,50.40,28552.32,0.00,0.00,4817.89
1779326116.184,50.00,29558.89,0.00,0.00,4817.89
1779326116.284,50.00,30619.79,0.00,0.00,4817.89
1779326116.385,50.40,31488.54,0.00,0.00,4817.89
1779326116.485,50.00,32336.55,0.00,0.00,4817.89
1779326116.585,49.60,33297.83,0.00,0.00,4817.89
1779326116.801,24.50,29199.84,0.00,0.00,4817.89
1779326116.901,49.60,30758.36,0.00,0.00,4817.89
1779326117.002,50.40,32308.24,0.00,0.00,4817.89
1779326117.102,50.00,33758.02,0.00,0.00,4817.89
1779326117.202,47.90,34771.18,0.00,0.00,4817.89
1779326117.302,50.80,35660.11,0.00,0.00,4817.89
1779326117.442,9.60,33506.00,0.00,0.00,4817.89
1779326117.542,0.00,33506.00,0.00,0.00,4817.89
1779326117.642,0.80,33506.12,0.00,0.00,4817.89
1779326117.742,0.00,33506.13,0.00,0.00,4817.89
1779326117.843,2.50,34150.29,0.00,0.00,4817.89
1779326117.943,0.00,34150.29,0.00,0.00,4817.89
1779326118.043,0.80,34150.29,0.00,0.00,4817.89
1779326118.145,9.10,34583.78,0.00,0.00,4817.89
1779326118.298,8.60,34583.78,0.00,0.00,4817.89
1779326118.398,14.20,34620.92,0.00,0.00,4817.89
1779326118.498,35.30,34663.28,0.00,0.00,4817.89
1779326118.599,18.20,34722.19,0.00,0.00,4817.89
1779326118.699,38.30,34757.41,0.00,0.00,4817.89
1779326118.799,28.90,34802.41,0.00,0.00,4817.89
1779326118.899,23.10,34790.01,0.00,0.00,4817.89
1779326119.000,12.60,34848.72,0.00,0.00,4817.89
1779326119.100,9.80,34909.84,0.00,0.00,4817.89
1779326119.200,7.60,34970.86,0.00,0.00,4817.89
1779326119.300,9.10,35032.04,0.00,0.00,4817.89
1779326119.400,8.30,35093.35,0.00,0.00,4817.89
1779326119.500,8.30,35154.61,0.00,0.00,4817.89
1779326119.601,8.30,35215.81,0.00,0.00,4817.89
1779326119.701,8.30,35277.16,0.00,0.00,4817.89
1779326119.801,8.30,35338.42,0.00,0.00,4817.89
1779326119.901,8.30,35399.45,0.00,0.00,4817.89
1779326120.001,8.30,35451.05,0.00,0.00,4817.89
1779326120.101,35.80,35451.05,0.00,0.00,4817.89
1779326120.202,26.70,35475.05,0.00,0.00,4817.89
1779326120.302,0.80,35475.43,0.00,0.00,4817.89
1779326120.405,8.30,35475.43,0.00,0.00,4817.89
1779326120.506,8.10,35475.43,0.00,0.00,4817.89
1779326120.796,8.30,35475.43,0.00,0.00,4817.89
1779326120.897,18.40,34280.01,0.00,0.00,4817.89
1779326120.997,50.00,34280.14,0.00,0.00,4817.89
1779326121.097,50.00,34280.14,0.00,0.00,4817.89
1779326121.198,50.00,34280.14,0.00,0.00,4817.89
1779326121.298,50.00,34280.14,0.00,0.00,4817.89
1779326121.399,50.40,34280.14,0.00,0.00,4817.89
1779326121.499,49.60,34280.14,0.00,0.00,4817.89
1779326121.599,50.00,34280.14,0.00,0.00,4817.89
1779326121.700,50.40,34280.14,0.00,0.00,4817.89
1779326121.800,50.00,34280.14,0.00,0.00,4817.89
1779326121.900,49.60,34280.14,0.00,0.00,4817.89
1779326122.001,50.40,34280.14,0.00,0.00,4817.89
1779326122.101,50.00,34280.14,0.00,0.00,4817.89
1779326122.201,50.00,34280.14,0.00,0.00,4817.89
