timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1779325017.178,0.00,666.61,0.00,0.00,764.92
1779325017.279,1.70,667.51,0.00,0.00,764.92
1779325017.417,6.00,696.76,0.00,0.00,764.92
1779325017.603,8.10,768.11,0.00,0.00,764.92
1779325040.192,8.30,909.56,0.00,0.00,764.92
1779325040.318,8.40,918.69,0.00,0.00,764.92
1779325040.419,7.90,918.69,0.00,0.00,764.92
1779325040.519,8.30,918.69,0.00,0.00,764.92
1779325040.619,8.30,918.69,0.00,0.00,764.92
1779325056.929,8.40,857.75,0.00,0.00,764.92
1779325057.029,0.70,857.75,0.00,0.00,764.92
1779325057.129,9.10,1002.27,0.00,0.00,764.92
1779325057.230,50.00,2468.68,0.00,0.00,764.92
1779325057.330,50.00,4022.04,0.00,0.00,764.92
1779325057.430,50.40,5486.29,0.00,0.00,764.92
1779325057.531,46.20,6520.99,0.00,0.00,764.92
1779325057.631,50.00,7403.50,0.00,0.00,764.92
1779325057.731,50.40,8277.21,0.00,0.00,764.92
1779325057.832,49.60,9177.23,0.00,0.00,764.92
1779325057.932,50.40,10222.44,0.00,0.00,764.92
1779325058.032,50.00,11262.86,0.00,0.00,764.92
1779325058.133,50.80,12140.70,0.00,0.00,764.92
1779325058.233,52.10,12954.70,0.00,0.00,764.92
1779325058.333,50.00,13997.30,0.00,0.00,764.92
1779325058.434,50.00,14991.32,0.00,0.00,764.92
1779325058.582,13.00,10287.32,0.00,0.00,764.92
1779325058.682,45.90,11471.33,0.00,0.00,764.92
1779325058.783,50.00,12441.38,0.00,0.00,764.92
1779325058.883,50.40,13311.06,0.00,0.00,764.92
1779325058.983,49.60,14174.52,0.00,0.00,764.92
1779325059.084,50.40,15261.12,0.00,0.00,764.92
1779325059.184,50.80,16272.53,0.00,0.00,764.92
1779325059.284,50.00,17166.68,0.00,0.00,764.92
1779325059.385,50.00,18093.82,0.00,0.00,764.92
1779325059.485,50.40,19085.46,0.00,0.00,764.92
1779325059.585,50.00,20148.85,0.00,0.00,764.92
1779325059.685,50.40,21240.81,0.00,0.00,764.92
1779325059.786,50.00,21905.76,0.00,0.00,764.92
1779325059.886,48.30,23066.37,0.00,0.00,764.92
1779325059.987,50.00,23996.28,0.00,0.00,764.92
1779325060.200,24.60,19821.55,0.00,0.00,764.92
1779325060.300,45.50,20977.56,0.00,0.00,764.92
1779325060.401,50.00,22090.55,0.00,0.00,764.92
1779325060.501,50.00,23120.96,0.00,0.00,764.92
1779325060.601,50.80,24021.24,0.00,0.00,764.92
