timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,inference_time
1778119295.329,0.00,545.17,0.00,450.19,4.39
1778119295.430,9.80,547.35,0.00,450.19,4.39
1778119295.531,0.00,547.37,0.00,450.19,4.39
1778119295.633,14.60,655.39,0.00,450.19,4.39
1778119295.735,31.70,659.73,0.00,450.19,4.39
1778119295.918,25.40,659.74,0.00,450.19,4.39
1778119296.020,26.20,722.18,0.00,460.19,4.39
1778119296.121,22.50,800.14,0.00,676.19,4.39
1778119296.223,9.50,662.27,16.00,706.19,4.39
1778119296.324,17.50,738.30,16.00,722.19,4.39
1778119296.426,31.70,828.59,4.00,2756.19,4.39
1778119296.527,25.00,884.80,4.00,2758.19,4.39
1778119296.629,25.00,964.95,30.00,2758.19,4.39
1778119296.731,25.00,964.95,30.00,2758.19,4.39
1778119296.833,27.90,964.95,98.00,2758.19,4.39
1778119296.934,25.00,1044.96,98.00,2758.19,4.39
1778119297.035,25.00,1178.75,46.00,2760.19,4.39
1778119297.136,17.10,1225.50,46.00,2760.19,4.39
1778119297.238,0.00,1225.50,13.00,2760.19,4.39
1778119297.339,0.00,1225.52,13.00,2760.19,4.39
1778119297.440,2.40,1225.57,0.00,2760.19,4.39
1778119297.541,0.00,1225.63,0.00,2760.19,4.39
1778119297.642,2.40,1225.63,0.00,2760.19,4.39
1778119297.743,0.00,1225.66,0.00,2760.19,4.39
1778119297.844,0.00,1225.72,0.00,2760.19,4.39
1778119297.945,0.00,1225.72,0.00,2760.19,4.39
1778119298.046,2.40,1225.72,0.00,2760.19,4.39
1778119298.147,2.40,1225.78,0.00,2760.19,4.39
1778119298.249,0.00,1225.82,0.00,2760.19,4.39
1778119298.350,7.50,1237.34,0.00,2760.19,4.39
1778119298.451,24.40,1274.02,2.00,2760.19,4.39
1778119298.554,26.80,1306.25,2.00,2760.19,4.39
1778119298.656,30.00,1329.82,24.00,4570.19,4.39
1778119298.758,27.90,1329.82,24.00,4570.19,4.39
1778119298.860,25.00,1329.82,100.00,4570.19,4.39
1778119298.962,25.00,1329.82,100.00,4570.19,4.39
1778119299.064,25.00,1329.82,100.00,4570.19,4.39
1778119299.165,26.20,1329.82,100.00,4570.19,4.39
1778119299.267,25.00,1329.82,100.00,4570.19,4.39
1778119299.368,25.00,1329.82,100.00,4570.19,4.39
1778119299.469,26.20,1329.82,100.00,4570.19,4.39
1778119299.571,26.80,1329.82,100.00,4570.19,4.39
1778119299.672,25.60,1329.82,100.00,4570.19,4.39
1778119299.773,25.00,1329.82,100.00,4570.19,4.39
1778119299.875,24.40,1329.82,100.00,4570.19,4.39
1778119299.976,28.60,1329.82,100.00,4570.19,4.39
1778119300.077,25.00,1329.82,100.00,4570.19,4.39
1778119300.179,25.00,1329.82,100.00,4570.19,4.39
1778119300.280,24.40,1329.82,100.00,4570.19,4.39
1778119300.382,25.00,1329.82,100.00,4570.19,4.39
1778119300.485,26.80,1329.82,100.00,4570.19,4.39
1778119300.588,24.40,1329.82,100.00,4570.19,4.39
