timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,inference_time
1778119322.158,0.00,545.25,0.00,450.19,7.53
1778119322.259,7.50,547.32,0.00,450.19,7.53
1778119322.361,0.00,547.34,0.00,450.19,7.53
1778119322.463,20.00,657.09,0.00,450.19,7.53
1778119322.565,31.00,659.70,0.00,450.19,7.53
1778119322.729,26.60,659.72,0.00,450.19,7.53
1778119322.831,26.20,722.20,0.00,460.19,7.53
1778119322.932,22.50,800.55,7.00,676.19,7.53
1778119323.033,9.50,662.30,7.00,706.19,7.53
1778119323.135,15.40,721.24,10.00,722.19,7.53
1778119323.237,33.30,807.91,10.00,3674.19,7.53
1778119323.339,25.00,826.01,54.00,10340.19,7.53
1778119323.442,25.00,828.50,54.00,14784.19,7.53
1778119323.543,26.20,879.36,93.00,14786.19,7.53
1778119323.645,25.00,964.87,93.00,14786.19,7.53
1778119323.748,26.80,964.87,42.00,14786.19,7.53
1778119323.850,24.40,964.87,42.00,14786.19,7.53
1778119323.952,26.80,964.87,100.00,14786.19,7.53
1778119324.054,24.40,964.87,100.00,14786.19,7.53
1778119324.156,26.80,964.87,100.00,14786.19,7.53
1778119324.258,25.00,964.87,100.00,14786.19,7.53
1778119324.361,26.80,964.87,100.00,14786.19,7.53
1778119324.463,26.20,964.87,100.00,14786.19,7.53
1778119324.566,25.00,964.87,100.00,14786.19,7.53
1778119324.668,26.20,964.87,100.00,14786.19,7.53
1778119324.771,25.00,964.87,100.00,14786.19,7.53
1778119324.873,26.80,964.87,100.00,14786.19,7.53
1778119324.974,24.40,983.42,100.00,14786.19,7.53
1778119325.075,25.00,1113.98,100.00,14792.19,7.53
1778119325.177,26.80,1208.21,22.00,14792.19,7.53
1778119325.278,25.00,1208.21,22.00,14792.19,7.53
1778119325.380,24.40,1212.54,91.00,14792.19,7.53
1778119325.481,26.80,1257.30,91.00,14792.19,7.53
1778119325.583,23.10,1280.05,8.00,14792.19,7.53
1778119325.684,26.80,1286.09,8.00,14792.19,7.53
1778119325.787,24.40,1303.72,93.00,14792.19,7.53
1778119325.888,26.80,1303.72,93.00,14792.19,7.53
1778119325.989,25.00,1303.72,100.00,14792.19,7.53
1778119326.091,24.40,1303.72,100.00,14792.19,7.53
1778119326.192,26.80,1303.72,100.00,14792.19,7.53
1778119326.293,25.00,1303.72,100.00,14792.19,7.53
1778119326.395,25.00,1303.72,100.00,14792.19,7.53
1778119326.496,26.20,1303.72,100.00,14792.19,7.53
1778119326.598,28.20,1303.72,100.00,14792.19,7.53
1778119326.701,28.60,1303.72,100.00,14792.19,7.53
1778119326.804,25.00,1303.72,100.00,14792.19,7.53
1778119326.905,24.40,1303.72,100.00,14792.19,7.53
1778119327.007,25.00,1303.72,100.00,14792.19,7.53
1778119327.108,26.80,1303.72,100.00,14792.19,7.53
1778119327.209,26.20,1303.72,100.00,14792.19,7.53
1778119327.311,25.00,1303.72,100.00,14792.19,7.53
1778119327.412,25.00,1303.72,100.00,14792.19,7.53
1778119327.513,25.00,1303.72,100.00,14792.19,7.53
1778119327.615,28.60,1303.72,100.00,14792.19,7.53
1778119327.717,25.00,1303.72,100.00,14792.19,7.53
1778119327.818,24.40,1303.72,100.00,14792.19,7.53
1778119327.920,25.00,1303.72,100.00,14792.19,7.53
1778119328.022,25.00,1303.72,100.00,14792.19,7.53
1778119328.123,25.00,1303.72,100.00,14792.19,7.53
1778119328.225,27.90,1303.72,100.00,14792.19,7.53
1778119328.326,25.00,1303.72,100.00,14792.19,7.53
1778119328.428,25.00,1303.72,100.00,14792.19,7.53
1778119328.529,24.40,1303.72,100.00,14792.19,7.53
1778119328.631,25.00,1303.72,100.00,14792.19,7.53
1778119328.733,25.00,1303.72,100.00,14792.19,7.53
1778119328.835,27.90,1303.73,100.00,14792.19,7.53
1778119328.937,25.00,1303.73,100.00,14792.19,7.53
1778119329.040,25.00,1303.73,100.00,14792.19,7.53
1778119329.141,24.40,1303.73,100.00,14792.19,7.53
1778119329.243,25.00,1303.73,100.00,14792.19,7.53
1778119329.346,28.60,1303.73,100.00,14792.19,7.53
1778119329.447,24.40,1303.73,100.00,14792.19,7.53
1778119329.549,25.00,1303.73,100.00,14792.19,7.53
1778119329.650,24.40,1303.73,100.00,14792.19,7.53
1778119329.753,25.00,1303.73,100.00,14792.19,7.53
1778119329.854,28.60,1303.73,100.00,14792.19,7.53
1778119329.956,24.40,1303.73,100.00,14792.19,7.53
1778119330.057,25.00,1303.73,100.00,14792.19,7.53
1778119330.159,25.00,1303.73,100.00,14792.19,7.53
1778119330.260,25.00,1303.73,100.00,14792.19,7.53
1778119330.362,24.40,1303.73,100.00,14792.19,7.53
1778119330.465,26.80,1303.73,100.00,14792.19,7.53
1778119330.566,26.80,1303.73,100.00,14792.19,7.53
