timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,inference_time
1778169465.814,0.00,545.56,0.00,441.25,3.99
1778169465.915,4.70,547.65,0.00,441.25,3.99
1778169466.015,0.00,547.68,0.00,441.25,3.99
1778169466.116,11.40,571.07,0.00,441.25,3.99
1778169466.216,18.50,573.86,0.00,441.25,3.99
1778169466.356,13.20,573.89,0.00,441.25,3.99
1778169466.457,11.40,642.84,0.00,466.56,3.99
1778169466.557,10.00,656.60,4.00,850.56,3.99
1778169466.668,3.40,657.20,4.00,850.56,3.99
1778169466.768,12.50,780.96,1.00,2722.56,3.99
1778169466.869,12.30,825.00,1.00,14954.56,3.99
1778169466.969,12.50,885.50,87.00,14956.56,3.99
1778169467.069,12.50,954.53,87.00,14956.56,3.99
1778169467.169,12.50,954.53,79.00,14956.56,3.99
1778169467.270,12.50,954.53,79.00,14956.56,3.99
1778169467.370,12.50,954.53,100.00,14956.56,3.99
1778169467.470,12.50,954.53,100.00,14956.56,3.99
1778169467.570,12.30,998.39,100.00,14958.56,3.99
1778169467.670,0.00,998.39,100.00,14958.56,3.99
1778169467.771,0.00,998.41,0.00,14958.56,3.99
1778169467.871,0.00,998.47,0.00,14958.56,3.99
1778169467.971,0.00,998.52,0.00,14958.56,3.99
1778169468.071,0.00,998.52,0.00,14958.56,3.99
1778169468.172,0.00,998.55,0.00,14958.56,3.99
1778169468.272,0.00,998.61,0.00,14958.56,3.99
1778169468.372,0.00,998.62,0.00,14958.56,3.99
1778169468.472,0.00,998.67,0.00,14958.56,3.99
1778169468.572,0.00,998.71,0.00,14958.56,3.99
1778169468.673,0.00,998.71,0.00,14958.56,3.99
1778169468.773,8.70,1106.93,0.00,14960.56,3.99
1778169468.873,12.50,1243.23,0.00,14964.56,3.99
1778169468.973,12.50,1259.28,16.00,14964.56,3.99
1778169469.074,12.50,1299.84,16.00,14964.56,3.99
1778169469.174,12.30,1331.97,0.00,14966.56,3.99
1778169469.274,12.50,1337.18,0.00,14966.56,3.99
1778169469.374,12.50,1338.58,99.00,14966.56,3.99
1778169469.475,12.50,1338.58,99.00,14966.56,3.99
1778169469.575,12.50,1338.58,100.00,14966.56,3.99
1778169469.675,12.50,1338.58,100.00,14966.56,3.99
1778169469.775,12.50,1338.58,100.00,14966.56,3.99
1778169469.876,12.50,1338.58,100.00,14966.56,3.99
1778169469.976,12.30,1391.25,100.00,14966.56,3.99
1778169470.076,13.60,1399.82,100.00,14966.56,3.99
1778169470.176,12.50,1399.82,100.00,14966.56,3.99
1778169470.277,12.50,1399.82,100.00,14966.56,3.99
1778169470.377,12.50,1418.48,100.00,14966.56,3.99
1778169470.477,12.50,1418.48,100.00,14966.56,3.99
1778169470.577,12.50,1418.48,100.00,14966.56,3.99
