timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,inference_time
1778169140.759,0.00,545.59,0.00,441.25,1.36
1778169140.860,4.80,547.68,0.00,441.25,1.36
1778169140.960,0.00,547.70,0.00,441.25,1.36
1778169141.062,17.30,572.32,0.00,441.25,1.36
1778169141.168,14.80,573.89,0.00,441.25,1.36
1778169141.286,13.00,573.92,0.00,441.25,1.36
1778169141.386,11.40,664.02,0.00,696.56,1.36
1778169141.487,7.40,656.69,13.00,850.56,1.36
1778169141.587,5.00,697.94,13.00,892.56,1.36
1778169141.687,12.50,821.12,8.00,2546.56,1.36
1778169141.788,12.50,905.93,8.00,2928.56,1.36
1778169141.888,13.60,954.50,70.00,2928.56,1.36
1778169141.988,11.40,1098.05,70.00,2932.56,1.36
1778169142.089,12.50,1212.61,12.00,2932.56,1.36
1778169142.189,13.40,1250.24,12.00,2932.56,1.36
1778169142.289,11.40,1283.30,3.00,2932.56,1.36
1778169142.390,12.50,1305.57,3.00,5840.56,1.36
1778169142.490,12.50,1305.57,89.00,5840.56,1.36
1778169142.590,12.50,1307.76,89.00,5840.56,1.36
1778169142.690,13.60,1366.86,74.00,5840.56,1.36
1778169142.791,11.40,1372.25,74.00,5840.56,1.36
1778169142.891,13.40,1385.53,100.00,5840.56,1.36
