timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,inference_time
1778169130.260,0.00,545.58,0.00,441.25,0.78
1778169130.361,3.70,547.66,0.00,441.25,0.78
1778169130.461,0.00,547.68,0.00,441.25,0.78
1778169130.563,12.50,571.50,0.00,441.25,0.78
1778169130.665,17.10,573.88,0.00,441.25,0.78
1778169130.798,13.10,573.89,0.00,441.25,0.78
1778169130.899,12.50,660.11,0.00,508.56,0.78
1778169130.999,7.40,656.64,17.00,850.56,0.78
1778169131.100,5.00,713.63,17.00,894.56,0.78
1778169131.200,12.50,827.35,7.00,950.56,0.78
1778169131.300,12.50,925.60,7.00,950.56,0.78
1778169131.400,12.50,1076.31,5.00,952.56,0.78
1778169131.501,13.60,1225.59,5.00,952.56,0.78
1778169131.601,12.30,1269.53,2.00,958.56,0.78
1778169131.701,12.50,1302.36,2.00,958.56,0.78
1778169131.802,11.40,1377.64,32.00,1348.56,0.78
