timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,inference_time
1778363564.310,0.00,544.90,0.00,611.38,2.27
1778363564.410,2.40,546.96,0.00,611.38,2.27
1778363564.511,0.00,546.98,0.00,611.38,2.27
1778363564.611,15.20,571.14,0.00,611.38,2.27
1778363564.773,14.60,572.90,0.00,611.38,2.27
1778363564.874,12.30,667.84,0.00,1044.69,2.27
1778363564.974,6.20,654.68,0.00,1196.69,2.27
1778363565.074,6.30,719.78,16.00,1264.69,2.27
1778363565.175,13.60,823.01,16.00,10882.69,2.27
1778363565.275,12.50,888.95,12.00,15328.69,2.27
1778363565.375,12.50,954.39,12.00,15328.69,2.27
1778363565.476,12.50,954.39,100.00,15328.69,2.27
1778363565.576,12.50,954.39,100.00,15328.69,2.27
1778363565.676,12.30,1027.89,100.00,15330.69,2.27
1778363565.777,2.50,1067.71,100.00,15330.69,2.27
1778363565.877,0.00,1067.78,0.00,15330.69,2.27
1778363565.978,0.00,1067.84,0.00,15330.69,2.27
1778363566.078,0.00,1067.90,0.00,15330.69,2.27
1778363566.178,0.00,1067.96,0.00,15330.69,2.27
1778363566.279,0.00,1068.02,0.00,15330.69,2.27
1778363566.379,0.00,1070.38,0.00,15330.69,2.27
1778363566.480,11.10,1207.75,1.00,15336.69,2.27
1778363566.580,12.50,1254.29,1.00,15336.69,2.27
1778363566.680,12.30,1303.43,16.00,15336.69,2.27
1778363566.781,12.50,1329.13,16.00,15338.69,2.27
1778363566.881,12.50,1382.00,94.00,15338.69,2.27
1778363566.981,12.50,1382.00,94.00,15338.69,2.27
1778363567.081,12.50,1382.00,100.00,15338.69,2.27
1778363567.182,12.50,1382.00,100.00,15338.69,2.27
1778363567.282,12.30,1382.00,100.00,15338.69,2.27
