timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,inference_time
1778363503.878,0.00,544.84,0.00,611.38,0.99
1778363503.978,2.50,546.89,0.00,611.38,0.99
1778363504.079,0.00,546.91,0.00,611.38,0.99
1778363504.180,17.30,571.25,0.00,611.38,0.99
1778363504.338,13.40,572.85,0.00,611.38,0.99
1778363504.439,12.50,687.12,0.00,1066.69,0.99
1778363504.539,5.00,654.57,0.00,1196.69,0.99
1778363504.640,7.40,721.10,13.00,1264.69,0.99
1778363504.740,13.60,857.25,13.00,3300.69,0.99
1778363504.840,12.50,954.34,13.00,3300.69,0.99
1778363504.941,10.10,1063.04,13.00,3302.69,0.99
1778363505.041,0.00,1063.52,51.00,3302.69,0.99
1778363505.142,13.60,1217.93,51.00,3304.69,0.99
1778363505.242,12.50,1261.28,1.00,3304.69,0.99
1778363505.342,12.50,1308.27,1.00,4472.69,0.99
1778363505.442,12.50,1361.16,6.00,6260.69,0.99
1778363505.543,12.30,1361.16,6.00,6260.69,0.99
