timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,inference_time
1778363486.483,0.00,544.61,0.00,611.38,0.81
1778363486.583,2.50,546.68,0.00,611.38,0.81
1778363486.684,1.20,546.70,0.00,611.38,0.81
1778363486.784,13.60,570.49,0.00,611.38,0.81
1778363486.950,14.50,572.62,0.00,611.38,0.81
1778363487.051,12.50,685.95,0.00,1066.69,0.81
1778363487.151,4.90,654.41,0.00,1196.69,0.81
1778363487.251,6.20,723.06,9.00,1266.69,0.81
1778363487.352,13.60,864.46,9.00,1322.69,0.81
1778363487.452,12.50,982.99,2.00,1322.69,0.81
1778363487.553,6.30,1069.34,2.00,1322.69,0.81
1778363487.653,0.00,1069.56,0.00,1322.69,0.81
1778363487.753,11.30,1207.61,0.00,1324.69,0.81
1778363487.854,11.40,1268.01,2.00,1330.69,0.81
1778363487.954,12.50,1319.65,2.00,1486.69,0.81
