timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,inference_time
1779850160.895,0.00,599.49,0.00,450.19,643.61
1779850160.997,7.50,601.20,0.00,450.19,643.61
1779850161.098,0.00,601.21,0.00,450.19,643.61
1779850161.201,9.80,631.57,0.00,450.19,643.61
1779850161.302,26.80,649.85,0.00,450.19,643.61
1779850161.403,25.00,668.06,0.00,450.19,643.61
1779850161.505,24.40,680.04,0.00,450.19,643.61
1779850161.606,25.00,680.04,0.00,450.19,643.61
1779850161.707,26.80,680.04,0.00,450.19,643.61
1779850161.808,25.00,680.04,0.00,450.19,643.61
1779850161.910,26.20,680.04,0.00,450.19,643.61
1779850162.011,25.00,680.04,0.00,450.19,643.61
1779850162.112,25.00,680.04,0.00,450.19,643.61
1779850162.214,25.00,680.04,0.00,450.19,643.61
1779850162.315,24.40,696.10,0.00,450.19,643.61
1779850162.416,26.80,716.16,0.00,450.19,643.61
1779850162.518,25.00,736.25,0.00,450.19,643.61
1779850162.619,25.00,756.34,0.00,450.19,643.61
1779850162.720,24.40,776.41,0.00,450.19,643.61
1779850162.822,26.80,796.52,0.00,450.19,643.61
1779850162.923,25.00,816.58,0.00,450.19,643.61
1779850163.024,25.00,836.66,0.00,450.19,643.61
1779850163.126,24.40,842.77,0.00,450.19,643.61
1779850163.227,26.80,843.02,0.00,450.19,643.61
1779850163.328,25.00,843.02,0.00,450.19,643.61
1779850163.430,26.80,843.03,0.00,450.19,643.61
1779850163.531,24.40,843.03,0.00,450.19,643.61
1779850163.632,25.00,843.03,0.00,450.19,643.61
1779850163.734,25.00,843.03,0.00,450.19,643.61
1779850163.835,25.00,843.03,0.00,450.19,643.61
1779850163.936,24.40,843.03,0.00,450.19,643.61
1779850164.037,25.00,843.03,0.00,450.19,643.61
1779850164.139,28.60,843.04,0.00,450.19,643.61
1779850164.240,25.00,843.04,0.00,450.19,643.61
1779850164.342,24.40,843.04,0.00,450.19,643.61
1779850164.443,25.00,843.04,0.00,450.19,643.61
1779850164.544,25.00,843.04,0.00,450.19,643.61
1779850164.646,24.40,843.04,0.00,450.19,643.61
