timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,inference_time
1778121487.504,0.00,599.54,0.00,450.19,32.67
1778121487.605,11.90,601.31,0.00,450.19,32.67
1778121487.706,0.00,601.33,0.00,450.19,32.67
1778121487.810,12.20,1345.87,0.00,450.19,32.67
1778121487.911,24.40,1364.42,0.00,450.19,32.67
1778121488.013,25.00,1382.61,0.00,450.19,32.67
1778121488.114,25.00,1393.42,0.00,450.19,32.67
1778121488.216,26.80,1393.42,0.00,450.19,32.67
1778121488.317,26.20,1393.42,0.00,450.19,32.67
1778121488.418,25.00,1393.42,0.00,450.19,32.67
1778121488.519,25.00,1393.42,0.00,450.19,32.67
1778121488.620,25.00,1393.42,0.00,450.19,32.67
1778121488.722,24.40,1393.42,0.00,450.19,32.67
1778121488.823,25.00,1393.42,0.00,450.19,32.67
1778121488.924,31.70,1411.09,0.00,450.19,32.67
1778121489.026,25.00,1431.22,0.00,450.19,32.67
1778121489.127,26.80,1451.38,0.00,450.19,32.67
1778121489.228,25.00,1471.52,0.00,450.19,32.67
1778121489.329,24.40,1491.65,0.00,450.19,32.67
1778121489.430,25.00,1511.73,0.00,450.19,32.67
1778121489.532,25.00,1531.87,0.00,450.19,32.67
1778121489.633,26.80,1552.03,0.00,450.19,32.67
1778121489.734,25.00,1556.15,0.00,450.19,32.67
1778121489.835,24.40,1556.41,0.00,450.19,32.67
1778121489.937,27.50,1556.41,0.00,450.19,32.67
1778121490.038,26.80,1556.41,0.00,450.19,32.67
1778121490.139,24.40,1556.41,0.00,450.19,32.67
1778121490.241,25.00,1556.41,0.00,450.19,32.67
1778121490.342,25.00,1556.41,0.00,450.19,32.67
1778121490.444,25.00,1556.41,0.00,450.19,32.67
1778121490.545,26.20,1556.41,0.00,450.19,32.67
1778121490.646,25.00,1556.41,0.00,450.19,32.67
1778121490.747,26.80,1556.41,0.00,450.19,32.67
1778121490.848,25.00,1556.41,0.00,450.19,32.67
1778121490.950,24.40,1556.41,0.00,450.19,32.67
1778121491.051,25.00,1556.41,0.00,450.19,32.67
1778121491.152,25.00,1556.41,0.00,450.19,32.67
1778121491.253,25.00,1556.42,0.00,450.19,32.67
1778121491.355,25.00,1556.42,0.00,450.19,32.67
1778121491.456,27.90,1556.42,0.00,450.19,32.67
1778121491.557,25.00,1556.42,0.00,450.19,32.67
1778121491.658,25.00,1556.42,0.00,450.19,32.67
1778121491.759,25.00,1556.42,0.00,450.19,32.67
1778121491.861,24.40,1556.42,0.00,450.19,32.67
1778121491.962,25.00,1556.42,0.00,450.19,32.67
1778121492.063,26.80,1556.42,0.00,450.19,32.67
1778121492.165,25.00,1556.42,0.00,450.19,32.67
1778121492.266,25.00,1556.42,0.00,450.19,32.67
1778121492.367,24.40,1556.42,0.00,450.19,32.67
1778121492.469,29.30,1556.42,0.00,450.19,32.67
1778121492.570,24.40,1556.42,0.00,450.19,32.67
1778121492.672,25.00,1556.43,0.00,450.19,32.67
1778121492.773,25.00,1556.43,0.00,450.19,32.67
1778121492.874,25.00,1556.43,0.00,450.19,32.67
1778121492.975,24.40,1556.43,0.00,450.19,32.67
1778121493.077,26.80,1556.43,0.00,450.19,32.67
1778121493.178,26.80,1556.44,0.00,450.19,32.67
1778121493.279,25.00,1556.44,0.00,450.19,32.67
1778121493.380,24.40,1556.44,0.00,450.19,32.67
1778121493.482,24.40,1556.44,0.00,450.19,32.67
1778121493.583,25.00,1556.44,0.00,450.19,32.67
1778121493.684,25.00,1556.44,0.00,450.19,32.67
1778121493.785,25.00,1556.44,0.00,450.19,32.67
1778121493.886,26.20,1556.44,0.00,450.19,32.67
1778121493.988,26.80,1556.44,0.00,450.19,32.67
1778121494.089,25.00,1556.45,0.00,450.19,32.67
1778121494.190,29.30,1567.95,0.00,450.19,32.67
1778121494.291,40.00,1598.94,0.00,450.19,32.67
1778121494.393,27.50,1621.35,0.00,450.19,32.67
1778121494.494,34.10,1657.49,0.00,450.19,32.67
1778121494.595,32.50,1694.07,0.00,450.19,32.67
1778121494.697,25.00,1714.44,0.00,450.19,32.67
1778121494.798,34.10,1740.10,0.00,450.19,32.67
1778121494.900,34.10,1789.62,0.00,450.19,32.67
1778121495.002,35.00,1823.54,0.00,450.19,32.67
1778121495.104,42.90,1857.28,0.00,450.19,32.67
