timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,inference_time
1779849774.091,0.00,599.48,0.00,450.19,37.52
1779849774.192,9.80,601.18,0.00,450.19,37.52
1779849774.293,0.00,601.19,0.00,450.19,37.52
1779849774.396,7.50,631.38,0.00,450.19,37.52
1779849774.497,26.20,648.69,0.00,450.19,37.52
1779849774.599,25.00,666.96,0.00,450.19,37.52
1779849774.700,26.80,680.05,0.00,450.19,37.52
1779849774.801,25.00,680.05,0.00,450.19,37.52
1779849774.902,25.00,680.05,0.00,450.19,37.52
1779849775.004,24.40,680.05,0.00,450.19,37.52
1779849775.105,25.00,680.05,0.00,450.19,37.52
1779849775.206,25.00,680.05,0.00,450.19,37.52
1779849775.308,26.80,680.05,0.00,450.19,37.52
1779849775.409,26.20,680.05,0.00,450.19,37.52
1779849775.510,25.00,695.21,0.00,450.19,37.52
1779849775.612,23.10,715.33,0.00,450.19,37.52
1779849775.713,26.20,735.43,0.00,450.19,37.52
1779849775.814,25.00,755.54,0.00,450.19,37.52
1779849775.915,25.00,775.69,0.00,450.19,37.52
1779849776.017,25.00,795.80,0.00,450.19,37.52
1779849776.118,26.20,815.87,0.00,450.19,37.52
1779849776.219,25.00,835.99,0.00,450.19,37.52
1779849776.320,26.80,842.76,0.00,450.19,37.52
1779849776.422,25.00,843.01,0.00,450.19,37.52
1779849776.523,24.40,843.01,0.00,450.19,37.52
1779849776.624,25.00,843.02,0.00,450.19,37.52
1779849776.725,25.00,843.02,0.00,450.19,37.52
1779849776.827,25.00,843.02,0.00,450.19,37.52
1779849776.928,26.20,843.02,0.00,450.19,37.52
1779849777.029,26.80,843.02,0.00,450.19,37.52
1779849777.131,25.00,843.02,0.00,450.19,37.52
1779849777.232,25.00,843.02,0.00,450.19,37.52
1779849777.333,24.40,843.02,0.00,450.19,37.52
1779849777.434,25.00,843.02,0.00,450.19,37.52
1779849777.536,25.00,843.02,0.00,450.19,37.52
1779849777.637,26.80,843.02,0.00,450.19,37.52
1779849777.738,24.40,843.02,0.00,450.19,37.52
1779849777.840,25.00,843.03,0.00,450.19,37.52
1779849777.941,26.80,843.03,0.00,450.19,37.52
1779849778.042,25.00,843.03,0.00,450.19,37.52
1779849778.143,24.40,843.03,0.00,450.19,37.52
1779849778.245,25.00,843.03,0.00,450.19,37.52
1779849778.346,26.80,843.03,0.00,450.19,37.52
1779849778.447,25.00,843.03,0.00,450.19,37.52
1779849778.548,24.40,843.04,0.00,450.19,37.52
1779849778.650,25.00,843.04,0.00,450.19,37.52
1779849778.751,25.00,843.04,0.00,450.19,37.52
1779849778.852,25.00,843.04,0.00,450.19,37.52
1779849778.953,26.20,843.04,0.00,450.19,37.52
1779849779.055,25.00,843.04,0.00,450.19,37.52
1779849779.156,26.80,843.04,0.00,450.19,37.52
1779849779.257,25.00,843.04,0.00,450.19,37.52
1779849779.359,24.40,843.04,0.00,450.19,37.52
1779849779.460,25.00,843.04,0.00,450.19,37.52
1779849779.561,25.00,843.04,0.00,450.19,37.52
1779849779.663,25.00,843.04,0.00,450.19,37.52
1779849779.765,26.20,843.05,0.00,450.19,37.52
1779849779.866,26.80,843.05,0.00,450.19,37.52
1779849779.967,25.00,843.05,0.00,450.19,37.52
