timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,inference_time
1778168237.370,0.00,599.48,0.00,441.25,557.85
1778168237.470,2.50,601.23,0.00,441.25,557.85
1778168237.570,1.20,601.24,0.00,441.25,557.85
1778168237.670,6.20,635.86,0.00,441.25,557.85
1778168237.771,12.50,659.09,0.00,441.25,557.85
1778168237.871,12.50,679.99,0.00,441.25,557.85
1778168237.971,12.50,679.99,0.00,441.25,557.85
1778168238.072,12.30,679.99,0.00,441.25,557.85
1778168238.172,12.50,679.99,0.00,441.25,557.85
1778168238.272,12.50,679.99,0.00,441.25,557.85
1778168238.372,12.50,679.99,0.00,441.25,557.85
1778168238.472,12.50,679.99,0.00,441.25,557.85
1778168238.573,13.60,691.18,0.00,441.25,557.85
1778168238.673,12.50,719.35,0.00,441.25,557.85
1778168238.773,11.40,747.66,0.00,441.25,557.85
1778168238.873,13.40,775.94,0.00,441.25,557.85
1778168238.974,12.50,804.23,0.00,441.25,557.85
1778168239.074,12.50,832.56,0.00,441.25,557.85
1778168239.174,12.50,842.80,0.00,441.25,557.85
1778168239.275,12.50,843.05,0.00,441.25,557.85
1778168239.375,12.30,843.05,0.00,441.25,557.85
1778168239.475,12.50,843.05,0.00,441.25,557.85
1778168239.575,12.50,843.05,0.00,441.25,557.85
1778168239.676,12.50,843.05,0.00,441.25,557.85
1778168239.776,12.50,843.05,0.00,441.25,557.85
1778168239.876,12.50,843.05,0.00,441.25,557.85
1778168239.976,12.50,843.06,0.00,441.25,557.85
1778168240.076,12.50,843.06,0.00,441.25,557.85
1778168240.177,12.30,843.06,0.00,441.25,557.85
1778168240.277,12.50,843.06,0.00,441.25,557.85
1778168240.377,12.50,843.06,0.00,441.25,557.85
1778168240.477,12.50,843.06,0.00,441.25,557.85
1778168240.578,12.50,843.06,0.00,441.25,557.85
1778168240.678,12.50,843.06,0.00,441.25,557.85
1778168240.778,12.50,843.06,0.00,441.25,557.85
1778168240.878,12.30,843.06,0.00,441.25,557.85
1778168240.979,12.50,843.06,0.00,441.25,557.85
1778168241.079,12.50,843.06,0.00,441.25,557.85
1778168241.179,12.50,843.06,0.00,441.25,557.85
1778168241.279,12.50,843.06,0.00,441.25,557.85
1778168241.379,13.60,843.06,0.00,441.25,557.85
1778168241.480,12.50,843.07,0.00,441.25,557.85
1778168241.580,12.50,843.07,0.00,441.25,557.85
1778168241.680,12.50,843.07,0.00,441.25,557.85
1778168241.780,12.30,843.07,0.00,441.25,557.85
1778168241.880,12.50,843.07,0.00,441.25,557.85
1778168241.980,12.50,843.07,0.00,441.25,557.85
1778168242.081,12.50,843.08,0.00,441.25,557.85
1778168242.181,12.50,843.08,0.00,441.25,557.85
1778168242.281,12.50,843.08,0.00,441.25,557.85
1778168242.381,12.50,843.08,0.00,441.25,557.85
1778168242.482,12.30,843.08,0.00,441.25,557.85
1778168242.582,12.50,843.08,0.00,441.25,557.85
1778168242.682,12.50,843.08,0.00,441.25,557.85
1778168242.782,12.50,843.08,0.00,441.25,557.85
1778168242.882,12.50,843.08,0.00,441.25,557.85
1778168242.983,16.30,854.11,0.00,441.25,557.85
1778168243.083,33.70,897.60,0.00,441.25,557.85
1778168243.183,22.50,942.23,0.00,441.25,557.85
1778168243.284,19.80,988.26,0.00,441.25,557.85
1778168243.384,13.80,1015.20,0.00,441.25,557.85
1778168243.484,32.50,1090.20,0.00,441.25,557.85
1778168243.585,32.50,1139.55,0.00,441.25,557.85
1778168243.685,47.50,1146.12,0.00,441.25,557.85
1778168243.785,45.00,1146.12,0.00,441.25,557.85
1778168243.886,33.70,1146.12,0.00,441.25,557.85
1778168243.986,50.00,1146.12,0.00,441.25,557.85
1778168244.086,33.80,1146.12,0.00,441.25,557.85
1778168244.187,40.00,1146.12,0.00,441.25,557.85
1778168244.287,46.20,1146.12,0.00,441.25,557.85
1778168244.387,40.70,1146.12,0.00,441.25,557.85
1778168244.488,43.00,1146.12,0.00,441.25,557.85
1778168244.588,49.40,1146.12,0.00,441.25,557.85
1778168244.688,50.60,1164.34,0.00,441.25,557.85
1778168244.789,39.20,1111.61,0.00,441.25,557.85
1778168244.889,12.50,1111.62,0.00,441.25,557.85
1778168244.989,13.60,1111.62,0.00,441.25,557.85
1778168245.090,12.50,1111.62,0.00,441.25,557.85
1778168245.190,16.20,1138.17,0.00,441.25,557.85
1778168245.290,12.50,1138.21,0.00,441.25,557.85
1778168245.391,13.60,1164.38,0.00,441.25,557.85
1778168245.491,12.50,1192.70,0.00,441.25,557.85
1778168245.591,12.50,1221.02,0.00,441.25,557.85
1778168245.692,12.30,1249.34,0.00,441.25,557.85
1778168245.792,12.50,1277.79,0.00,441.25,557.85
1778168245.892,12.50,1306.18,0.00,441.25,557.85
1778168245.993,12.50,1334.58,0.00,441.25,557.85
1778168246.093,12.50,1362.98,0.00,441.25,557.85
1778168246.193,12.30,1391.34,0.00,441.25,557.85
1778168246.293,13.60,1419.79,0.00,441.25,557.85
1778168246.394,12.50,1448.18,0.00,441.25,557.85
1778168246.494,11.40,1476.66,0.00,441.25,557.85
1778168246.594,12.50,1505.02,0.00,441.25,557.85
1778168246.695,13.40,1533.45,0.00,441.25,557.85
1778168246.795,12.50,1561.85,0.00,441.25,557.85
1778168246.895,12.50,1590.36,0.00,441.25,557.85
1778168246.996,12.50,1618.66,0.00,441.25,557.85
1778168247.096,12.50,1647.03,0.00,441.25,557.85
1778168247.196,11.40,1675.43,0.00,441.25,557.85
1778168247.297,13.40,1703.64,0.00,441.25,557.85
1778168247.397,12.50,1732.02,0.00,441.25,557.85
1778168247.497,12.50,1760.43,0.00,441.25,557.85
1778168247.597,12.50,1788.81,0.00,441.25,557.85
1778168247.697,12.50,1817.14,0.00,441.25,557.85
1778168247.798,12.50,1845.55,0.00,441.25,557.85
1778168247.898,12.50,1847.08,0.00,441.25,557.85
1778168247.998,12.30,1847.08,0.00,441.25,557.85
1778168248.098,12.50,1847.08,0.00,441.25,557.85
1778168248.199,12.50,1847.08,0.00,441.25,557.85
1778168248.299,12.50,1847.08,0.00,441.25,557.85
1778168248.399,12.50,1847.08,0.00,441.25,557.85
1778168248.499,12.50,1847.08,0.00,441.25,557.85
1778168248.599,12.50,1847.08,0.00,441.25,557.85
1778168248.700,12.30,1847.08,0.00,441.25,557.85
1778168248.800,12.50,1847.08,0.00,441.25,557.85
1778168248.900,12.50,1847.08,0.00,441.25,557.85
1778168249.000,13.60,1847.08,0.00,441.25,557.85
1778168249.100,12.50,1847.08,0.00,441.25,557.85
1778168249.201,12.50,1847.08,0.00,441.25,557.85
1778168249.301,12.50,1847.08,0.00,441.25,557.85
1778168249.401,12.50,1847.09,0.00,441.25,557.85
1778168249.501,12.50,1847.09,0.00,441.25,557.85
1778168249.601,12.30,1847.09,0.00,441.25,557.85
