timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,inference_time
1778167879.807,0.00,599.33,0.00,441.25,239.70
1778167879.907,4.80,601.09,0.00,441.25,239.70
1778167880.007,0.00,601.10,0.00,441.25,239.70
1778167880.107,6.30,636.20,0.00,441.25,239.70
1778167880.208,12.30,659.44,0.00,441.25,239.70
1778167880.308,12.50,679.99,0.00,441.25,239.70
1778167880.408,12.50,679.99,0.00,441.25,239.70
1778167880.508,12.50,679.99,0.00,441.25,239.70
1778167880.609,12.50,679.99,0.00,441.25,239.70
1778167880.709,12.50,679.99,0.00,441.25,239.70
1778167880.809,12.50,679.99,0.00,441.25,239.70
1778167880.909,12.50,679.99,0.00,441.25,239.70
1778167881.009,13.40,691.46,0.00,441.25,239.70
1778167881.110,12.50,719.60,0.00,441.25,239.70
1778167881.210,12.50,747.87,0.00,441.25,239.70
1778167881.311,11.40,776.12,0.00,441.25,239.70
1778167881.411,13.60,804.33,0.00,441.25,239.70
1778167881.512,12.30,832.60,0.00,441.25,239.70
1778167881.612,13.80,842.73,0.00,441.25,239.70
1778167881.712,12.50,842.98,0.00,441.25,239.70
1778167881.812,12.50,842.98,0.00,441.25,239.70
1778167881.912,12.30,842.98,0.00,441.25,239.70
1778167882.013,12.50,842.98,0.00,441.25,239.70
1778167882.113,12.50,842.99,0.00,441.25,239.70
1778167882.213,12.50,842.99,0.00,441.25,239.70
1778167882.313,12.50,842.99,0.00,441.25,239.70
1778167882.413,12.50,842.99,0.00,441.25,239.70
1778167882.514,12.50,842.99,0.00,441.25,239.70
1778167882.614,12.50,842.99,0.00,441.25,239.70
1778167882.714,12.50,842.99,0.00,441.25,239.70
1778167882.814,12.50,842.99,0.00,441.25,239.70
1778167882.914,12.30,843.00,0.00,441.25,239.70
1778167883.015,12.50,843.00,0.00,441.25,239.70
1778167883.115,12.50,843.00,0.00,441.25,239.70
1778167883.215,12.50,843.00,0.00,441.25,239.70
1778167883.315,12.50,843.00,0.00,441.25,239.70
1778167883.415,13.60,843.00,0.00,441.25,239.70
1778167883.516,12.50,843.00,0.00,441.25,239.70
1778167883.616,12.50,843.00,0.00,441.25,239.70
1778167883.716,12.30,843.00,0.00,441.25,239.70
1778167883.816,12.50,843.00,0.00,441.25,239.70
1778167883.916,12.50,843.00,0.00,441.25,239.70
1778167884.017,12.50,843.00,0.00,441.25,239.70
1778167884.117,12.50,843.00,0.00,441.25,239.70
1778167884.217,12.50,843.00,0.00,441.25,239.70
1778167884.317,12.50,843.00,0.00,441.25,239.70
1778167884.417,12.50,843.00,0.00,441.25,239.70
1778167884.518,12.30,843.01,0.00,441.25,239.70
1778167884.618,12.50,843.01,0.00,441.25,239.70
1778167884.718,12.50,843.01,0.00,441.25,239.70
1778167884.818,12.50,843.01,0.00,441.25,239.70
1778167884.919,12.50,843.01,0.00,441.25,239.70
1778167885.019,12.50,843.01,0.00,441.25,239.70
1778167885.119,12.50,843.01,0.00,441.25,239.70
1778167885.219,12.30,843.01,0.00,441.25,239.70
1778167885.320,12.50,843.02,0.00,441.25,239.70
1778167885.420,15.20,854.06,0.00,441.25,239.70
1778167885.520,35.00,897.46,0.00,441.25,239.70
1778167885.621,22.20,942.08,0.00,441.25,239.70
1778167885.721,19.80,988.04,0.00,441.25,239.70
1778167885.821,13.70,1015.12,0.00,441.25,239.70
1778167885.922,32.50,1089.86,0.00,441.25,239.70
1778167886.022,31.60,1139.31,0.00,441.25,239.70
1778167886.122,48.10,1146.05,0.00,441.25,239.70
1778167886.223,43.70,1146.05,0.00,441.25,239.70
1778167886.323,33.80,1146.05,0.00,441.25,239.70
1778167886.423,51.20,1146.05,0.00,441.25,239.70
1778167886.524,34.20,1146.05,0.00,441.25,239.70
1778167886.624,39.50,1146.05,0.00,441.25,239.70
1778167886.724,46.20,1146.05,0.00,441.25,239.70
1778167886.825,41.20,1146.05,0.00,441.25,239.70
1778167886.925,42.50,1146.05,0.00,441.25,239.70
1778167887.025,49.40,1146.05,0.00,441.25,239.70
1778167887.126,50.00,1152.16,0.00,441.25,239.70
1778167887.226,40.50,1111.59,0.00,441.25,239.70
1778167887.326,12.30,1111.60,0.00,441.25,239.70
1778167887.426,12.50,1111.60,0.00,441.25,239.70
1778167887.527,12.50,1111.61,0.00,441.25,239.70
1778167887.627,18.50,1138.15,0.00,441.25,239.70
1778167887.727,12.50,1138.20,0.00,441.25,239.70
1778167887.828,11.40,1163.26,0.00,441.25,239.70
1778167887.928,12.50,1191.55,0.00,441.25,239.70
1778167888.028,13.60,1219.88,0.00,441.25,239.70
