timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,inference_time
1778167804.571,100.00,599.27,0.00,441.25,31.88
1778167804.671,4.70,601.15,0.00,441.25,31.88
1778167804.772,1.20,601.17,0.00,441.25,31.88
1778167804.872,6.30,637.05,0.00,441.25,31.88
1778167804.972,14.50,660.29,0.00,441.25,31.88
1778167805.073,11.40,679.98,0.00,441.25,31.88
1778167805.173,12.50,679.98,0.00,441.25,31.88
1778167805.273,12.50,679.98,0.00,441.25,31.88
1778167805.373,13.60,679.98,0.00,441.25,31.88
1778167805.473,12.50,679.98,0.00,441.25,31.88
1778167805.574,12.50,679.98,0.00,441.25,31.88
1778167805.674,12.30,679.98,0.00,441.25,31.88
1778167805.774,11.40,692.54,0.00,441.25,31.88
1778167805.874,12.50,720.68,0.00,441.25,31.88
1778167805.975,13.60,748.90,0.00,441.25,31.88
1778167806.075,11.40,777.15,0.00,441.25,31.88
1778167806.175,13.60,805.43,0.00,441.25,31.88
1778167806.276,12.30,833.61,0.00,441.25,31.88
1778167806.376,12.50,842.73,0.00,441.25,31.88
1778167806.476,12.50,842.98,0.00,441.25,31.88
1778167806.576,12.50,842.98,0.00,441.25,31.88
1778167806.676,12.50,842.98,0.00,441.25,31.88
1778167806.777,12.50,842.98,0.00,441.25,31.88
1778167806.877,12.50,842.99,0.00,441.25,31.88
1778167806.977,12.50,842.99,0.00,441.25,31.88
1778167807.077,12.30,842.99,0.00,441.25,31.88
1778167807.177,12.50,842.99,0.00,441.25,31.88
1778167807.278,12.50,842.99,0.00,441.25,31.88
1778167807.378,12.50,842.99,0.00,441.25,31.88
1778167807.478,12.50,842.99,0.00,441.25,31.88
1778167807.578,12.50,842.99,0.00,441.25,31.88
1778167807.679,12.50,842.99,0.00,441.25,31.88
1778167807.779,12.50,842.99,0.00,441.25,31.88
1778167807.879,12.30,843.00,0.00,441.25,31.88
1778167807.979,12.50,843.00,0.00,441.25,31.88
1778167808.079,12.50,843.00,0.00,441.25,31.88
1778167808.179,12.50,843.00,0.00,441.25,31.88
1778167808.280,12.50,843.00,0.00,441.25,31.88
1778167808.380,12.50,843.00,0.00,441.25,31.88
1778167808.480,12.50,843.00,0.00,441.25,31.88
1778167808.580,12.50,843.00,0.00,441.25,31.88
1778167808.680,12.30,843.00,0.00,441.25,31.88
1778167808.781,12.50,843.00,0.00,441.25,31.88
1778167808.881,12.50,843.00,0.00,441.25,31.88
1778167808.981,12.50,843.00,0.00,441.25,31.88
1778167809.081,12.50,843.00,0.00,441.25,31.88
1778167809.182,12.50,843.01,0.00,441.25,31.88
1778167809.282,12.50,843.02,0.00,441.25,31.88
1778167809.382,12.50,843.02,0.00,441.25,31.88
1778167809.482,13.40,843.02,0.00,441.25,31.88
1778167809.583,12.50,843.02,0.00,441.25,31.88
1778167809.683,12.50,843.02,0.00,441.25,31.88
1778167809.783,12.50,843.02,0.00,441.25,31.88
1778167809.883,12.50,843.02,0.00,441.25,31.88
1778167809.983,12.50,843.02,0.00,441.25,31.88
1778167810.084,12.50,843.02,0.00,441.25,31.88
1778167810.184,16.50,855.98,0.00,441.25,31.88
1778167810.284,33.30,898.58,0.00,441.25,31.88
1778167810.385,22.20,943.21,0.00,441.25,31.88
1778167810.485,19.00,989.19,0.00,441.25,31.88
1778167810.585,15.00,1015.13,0.00,441.25,31.88
1778167810.686,32.10,1091.09,0.00,441.25,31.88
1778167810.786,33.30,1140.81,0.00,441.25,31.88
1778167810.886,47.50,1146.05,0.00,441.25,31.88
1778167810.987,44.30,1146.05,0.00,441.25,31.88
1778167811.087,34.60,1146.05,0.00,441.25,31.88
1778167811.187,50.00,1146.05,0.00,441.25,31.88
1778167811.288,32.50,1146.05,0.00,441.25,31.88
1778167811.388,41.30,1146.05,0.00,441.25,31.88
1778167811.488,44.40,1146.05,0.00,441.25,31.88
1778167811.589,41.80,1146.05,0.00,441.25,31.88
1778167811.689,43.20,1146.05,0.00,441.25,31.88
1778167811.789,50.00,1146.05,0.00,441.25,31.88
1778167811.890,50.00,1179.01,0.00,441.25,31.88
1778167811.990,39.50,1111.66,0.00,441.25,31.88
1778167812.090,12.50,1111.66,0.00,441.25,31.88
1778167812.190,12.50,1111.67,0.00,441.25,31.88
1778167812.291,12.30,1111.68,0.00,441.25,31.88
1778167812.391,17.50,1138.21,0.00,441.25,31.88
1778167812.491,12.50,1138.26,0.00,441.25,31.88
1778167812.592,12.50,1164.76,0.00,441.25,31.88
1778167812.692,12.50,1192.98,0.00,441.25,31.88
1778167812.792,12.50,1221.27,0.00,441.25,31.88
1778167812.892,12.30,1249.56,0.00,441.25,31.88
1778167812.993,12.50,1277.91,0.00,441.25,31.88
1778167813.093,12.50,1306.27,0.00,441.25,31.88
1778167813.193,12.50,1334.64,0.00,441.25,31.88
1778167813.294,12.50,1363.04,0.00,441.25,31.88
1778167813.394,12.30,1391.39,0.00,441.25,31.88
1778167813.494,12.50,1419.65,0.00,441.25,31.88
1778167813.594,13.60,1447.93,0.00,441.25,31.88
1778167813.695,12.50,1476.32,0.00,441.25,31.88
1778167813.795,12.50,1504.71,0.00,441.25,31.88
1778167813.896,12.30,1533.11,0.00,441.25,31.88
1778167813.996,12.50,1561.44,0.00,441.25,31.88
1778167814.096,11.40,1589.82,0.00,441.25,31.88
1778167814.196,13.60,1618.14,0.00,441.25,31.88
1778167814.297,12.50,1646.50,0.00,441.25,31.88
1778167814.397,12.50,1674.83,0.00,441.25,31.88
1778167814.497,11.30,1703.21,0.00,441.25,31.88
1778167814.598,13.60,1731.46,0.00,441.25,31.88
1778167814.698,12.50,1759.81,0.00,441.25,31.88
1778167814.798,12.50,1788.09,0.00,441.25,31.88
1778167814.898,12.50,1816.39,0.00,441.25,31.88
1778167814.999,12.50,1844.76,0.00,441.25,31.88
1778167815.099,12.30,1847.12,0.00,441.25,31.88
1778167815.199,12.50,1847.12,0.00,441.25,31.88
1778167815.299,12.50,1847.12,0.00,441.25,31.88
1778167815.400,12.50,1847.13,0.00,441.25,31.88
1778167815.500,12.50,1847.13,0.00,441.25,31.88
1778167815.600,12.50,1847.13,0.00,441.25,31.88
1778167815.700,12.50,1847.13,0.00,441.25,31.88
1778167815.800,12.50,1847.13,0.00,441.25,31.88
1778167815.901,12.30,1847.13,0.00,441.25,31.88
1778167816.001,12.50,1847.13,0.00,441.25,31.88
1778167816.101,12.50,1847.13,0.00,441.25,31.88
1778167816.201,12.50,1847.13,0.00,441.25,31.88
1778167816.301,12.50,1847.13,0.00,441.25,31.88
1778167816.402,12.50,1847.13,0.00,441.25,31.88
1778167816.502,12.50,1847.13,0.00,441.25,31.88
