timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,inference_time
1778364873.637,0.00,599.33,0.00,611.38,550.01
1778364873.738,2.50,601.05,0.00,611.38,550.01
1778364873.838,0.00,601.06,0.00,611.38,550.01
1778364873.938,6.20,636.18,0.00,611.38,550.01
1778364874.039,12.50,663.88,0.00,611.38,550.01
1778364874.139,12.30,679.90,0.00,611.38,550.01
1778364874.239,12.50,679.90,0.00,611.38,550.01
1778364874.339,12.50,679.90,0.00,611.38,550.01
1778364874.439,12.50,679.90,0.00,611.38,550.01
1778364874.540,12.50,679.90,0.00,611.38,550.01
1778364874.640,12.50,703.93,0.00,611.38,550.01
1778364874.740,12.50,736.79,0.00,611.38,550.01
1778364874.840,12.50,769.68,0.00,611.38,550.01
1778364874.941,12.30,802.64,0.00,611.38,550.01
1778364875.041,12.50,835.58,0.00,611.38,550.01
1778364875.141,13.60,842.87,0.00,611.38,550.01
1778364875.241,12.50,842.87,0.00,611.38,550.01
1778364875.341,12.50,842.88,0.00,611.38,550.01
1778364875.442,12.50,842.88,0.00,611.38,550.01
1778364875.542,12.50,842.88,0.00,611.38,550.01
1778364875.642,12.50,842.88,0.00,611.38,550.01
1778364875.742,12.30,842.88,0.00,611.38,550.01
1778364875.843,12.50,842.88,0.00,611.38,550.01
1778364875.943,12.50,842.88,0.00,611.38,550.01
1778364876.043,12.50,842.88,0.00,611.38,550.01
1778364876.143,12.50,842.88,0.00,611.38,550.01
1778364876.243,12.50,842.88,0.00,611.38,550.01
1778364876.344,12.50,842.88,0.00,611.38,550.01
1778364876.444,12.30,842.89,0.00,611.38,550.01
1778364876.544,12.50,842.89,0.00,611.38,550.01
1778364876.644,12.50,842.89,0.00,611.38,550.01
1778364876.744,12.50,842.89,0.00,611.38,550.01
1778364876.845,12.50,842.89,0.00,611.38,550.01
1778364876.945,12.50,842.89,0.00,611.38,550.01
1778364877.045,12.50,842.89,0.00,611.38,550.01
1778364877.145,12.50,842.89,0.00,611.38,550.01
1778364877.246,12.30,842.91,0.00,611.38,550.01
1778364877.346,12.50,842.91,0.00,611.38,550.01
1778364877.446,12.50,842.91,0.00,611.38,550.01
1778364877.546,12.50,842.91,0.00,611.38,550.01
1778364877.646,12.50,842.91,0.00,611.38,550.01
1778364877.747,12.50,842.91,0.00,611.38,550.01
1778364877.847,12.50,844.88,0.00,611.38,550.01
1778364877.947,28.80,882.80,0.00,611.38,550.01
1778364878.048,26.20,936.66,0.00,611.38,550.01
1778364878.148,19.50,987.25,0.00,611.38,550.01
1778364878.249,17.70,1051.16,0.00,611.38,550.01
1778364878.349,29.60,1106.78,0.00,611.38,550.01
1778364878.449,41.30,1145.88,0.00,611.38,550.01
1778364878.550,45.00,1145.88,0.00,611.38,550.01
1778364878.650,36.20,1145.88,0.00,611.38,550.01
1778364878.750,46.20,1145.88,0.00,611.38,550.01
1778364878.850,31.30,1145.88,0.00,611.38,550.01
1778364878.951,50.00,1145.88,0.00,611.38,550.01
1778364879.051,40.70,1145.88,0.00,611.38,550.01
1778364879.151,42.50,1145.88,0.00,611.38,550.01
1778364879.251,50.00,1145.88,0.00,611.38,550.01
1778364879.352,50.00,1111.42,0.00,611.38,550.01
1778364879.452,12.50,1111.43,0.00,611.38,550.01
1778364879.552,12.30,1111.44,0.00,611.38,550.01
1778364879.653,16.50,1137.95,0.00,611.38,550.01
1778364879.753,13.60,1138.00,0.00,611.38,550.01
1778364879.853,12.30,1167.71,0.00,611.38,550.01
1778364879.953,11.40,1200.45,0.00,611.38,550.01
1778364880.054,12.50,1233.18,0.00,611.38,550.01
1778364880.154,13.60,1266.20,0.00,611.38,550.01
1778364880.254,12.50,1299.29,0.00,611.38,550.01
1778364880.354,12.50,1332.39,0.00,611.38,550.01
1778364880.454,12.50,1365.46,0.00,611.38,550.01
1778364880.555,12.30,1398.54,0.00,611.38,550.01
1778364880.655,13.80,1431.59,0.00,611.38,550.01
1778364880.755,12.30,1464.68,0.00,611.38,550.01
1778364880.855,12.50,1497.75,0.00,611.38,550.01
1778364880.956,11.40,1530.85,0.00,611.38,550.01
1778364881.056,13.60,1563.94,0.00,611.38,550.01
1778364881.156,11.40,1596.95,0.00,611.38,550.01
1778364881.256,12.50,1630.03,0.00,611.38,550.01
1778364881.356,12.50,1663.09,0.00,611.38,550.01
1778364881.457,13.60,1695.98,0.00,611.38,550.01
1778364881.557,11.30,1729.05,0.00,611.38,550.01
1778364881.657,13.60,1762.11,0.00,611.38,550.01
1778364881.757,11.40,1795.18,0.00,611.38,550.01
1778364881.857,13.60,1828.29,0.00,611.38,550.01
1778364881.958,12.50,1846.86,0.00,611.38,550.01
1778364882.058,12.50,1846.86,0.00,611.38,550.01
1778364882.158,12.50,1846.86,0.00,611.38,550.01
1778364882.258,12.30,1846.87,0.00,611.38,550.01
1778364882.359,12.50,1846.87,0.00,611.38,550.01
1778364882.459,12.50,1846.87,0.00,611.38,550.01
1778364882.559,12.50,1846.87,0.00,611.38,550.01
1778364882.659,12.50,1846.87,0.00,611.38,550.01
1778364882.759,12.50,1846.87,0.00,611.38,550.01
1778364882.860,13.60,1846.87,0.00,611.38,550.01
1778364882.960,12.50,1846.87,0.00,611.38,550.01
1778364883.060,12.30,1846.87,0.00,611.38,550.01
1778364883.160,12.50,1846.87,0.00,611.38,550.01
1778364883.261,12.50,1846.87,0.00,611.38,550.01
1778364883.361,12.50,1846.87,0.00,611.38,550.01
1778364883.461,12.50,1846.87,0.00,611.38,550.01
1778364883.561,12.50,1846.87,0.00,611.38,550.01
1778364883.661,12.50,1846.87,0.00,611.38,550.01
1778364883.762,12.50,1846.87,0.00,611.38,550.01
1778364883.862,12.30,1846.87,0.00,611.38,550.01
1778364883.962,12.50,1846.87,0.00,611.38,550.01
1778364884.062,12.50,1846.87,0.00,611.38,550.01
1778364884.162,12.50,1846.87,0.00,611.38,550.01
1778364884.263,12.50,1846.87,0.00,611.38,550.01
1778364884.363,12.50,1846.87,0.00,611.38,550.01
1778364884.463,12.50,1846.87,0.00,611.38,550.01
1778364884.563,12.50,1846.87,0.00,611.38,550.01
1778364884.663,12.30,1846.87,0.00,611.38,550.01
1778364884.764,12.50,1846.87,0.00,611.38,550.01
1778364884.864,12.50,1846.87,0.00,611.38,550.01
1778364884.964,12.50,1846.87,0.00,611.38,550.01
1778364885.064,12.50,1846.88,0.00,611.38,550.01
1778364885.165,12.50,1846.88,0.00,611.38,550.01
1778364885.265,12.50,1846.88,0.00,611.38,550.01
1778364885.365,12.50,1846.88,0.00,611.38,550.01
1778364885.465,12.30,1846.88,0.00,611.38,550.01
1778364885.565,12.50,1846.88,0.00,611.38,550.01
1778364885.666,12.50,1846.88,0.00,611.38,550.01
1778364885.766,12.50,1846.88,0.00,611.38,550.01
1778364885.866,12.50,1846.88,0.00,611.38,550.01
