timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,inference_time
1778364595.450,0.00,599.02,0.00,611.38,220.69
1778364595.551,3.70,600.75,0.00,611.38,220.69
1778364595.651,0.00,600.76,0.00,611.38,220.69
1778364595.751,6.30,637.54,0.00,611.38,220.69
1778364595.852,13.40,665.21,0.00,611.38,220.69
1778364595.952,11.40,679.60,0.00,611.38,220.69
1778364596.052,12.50,679.60,0.00,611.38,220.69
1778364596.152,12.50,679.60,0.00,611.38,220.69
1778364596.253,12.50,679.60,0.00,611.38,220.69
1778364596.353,12.50,679.60,0.00,611.38,220.69
1778364596.453,13.60,705.40,0.00,611.38,220.69
1778364596.553,12.30,738.30,0.00,611.38,220.69
1778364596.653,12.50,771.27,0.00,611.38,220.69
1778364596.754,12.50,804.17,0.00,611.38,220.69
1778364596.854,12.50,837.15,0.00,611.38,220.69
1778364596.954,12.50,842.58,0.00,611.38,220.69
1778364597.054,12.50,842.58,0.00,611.38,220.69
1778364597.155,12.50,842.58,0.00,611.38,220.69
1778364597.255,12.50,842.58,0.00,611.38,220.69
1778364597.355,12.30,842.58,0.00,611.38,220.69
1778364597.455,12.50,842.58,0.00,611.38,220.69
1778364597.556,12.50,842.58,0.00,611.38,220.69
1778364597.656,13.60,842.59,0.00,611.38,220.69
1778364597.756,12.50,842.59,0.00,611.38,220.69
1778364597.856,12.50,842.59,0.00,611.38,220.69
1778364597.956,12.50,842.59,0.00,611.38,220.69
1778364598.057,12.30,842.60,0.00,611.38,220.69
1778364598.157,12.50,842.60,0.00,611.38,220.69
1778364598.257,12.50,842.60,0.00,611.38,220.69
1778364598.357,12.50,842.60,0.00,611.38,220.69
1778364598.457,12.50,842.60,0.00,611.38,220.69
1778364598.558,12.50,842.60,0.00,611.38,220.69
1778364598.658,12.50,842.60,0.00,611.38,220.69
1778364598.758,12.50,842.60,0.00,611.38,220.69
1778364598.858,12.30,842.60,0.00,611.38,220.69
1778364598.958,12.50,842.60,0.00,611.38,220.69
1778364599.059,12.50,842.61,0.00,611.38,220.69
1778364599.159,12.50,842.61,0.00,611.38,220.69
1778364599.259,12.50,842.61,0.00,611.38,220.69
1778364599.359,12.50,842.61,0.00,611.38,220.69
1778364599.460,12.50,842.61,0.00,611.38,220.69
1778364599.560,12.50,842.61,0.00,611.38,220.69
1778364599.660,12.30,845.50,0.00,611.38,220.69
1778364599.761,32.50,886.04,0.00,611.38,220.69
1778364599.861,23.70,939.10,0.00,611.38,220.69
1778364599.961,17.50,990.28,0.00,611.38,220.69
1778364600.062,21.00,1054.24,0.00,611.38,220.69
1778364600.162,27.50,1109.79,0.00,611.38,220.69
1778364600.262,45.00,1145.59,0.00,611.38,220.69
1778364600.363,45.00,1145.59,0.00,611.38,220.69
1778364600.463,35.00,1145.59,0.00,611.38,220.69
1778364600.563,46.20,1145.59,0.00,611.38,220.69
1778364600.663,32.50,1145.59,0.00,611.38,220.69
1778364600.764,50.00,1145.59,0.00,611.38,220.69
1778364600.864,38.80,1145.59,0.00,611.38,220.69
1778364600.964,44.40,1145.59,0.00,611.38,220.69
1778364601.065,50.00,1145.71,0.00,611.38,220.69
1778364601.165,45.70,1111.12,0.00,611.38,220.69
1778364601.265,12.50,1111.13,0.00,611.38,220.69
1778364601.365,12.50,1111.14,0.00,611.38,220.69
1778364601.466,16.20,1137.66,0.00,611.38,220.69
1778364601.566,12.50,1138.04,0.00,611.38,220.69
1778364601.666,12.50,1170.80,0.00,611.38,220.69
1778364601.766,12.50,1203.82,0.00,611.38,220.69
1778364601.867,12.50,1236.96,0.00,611.38,220.69
1778364601.967,13.60,1270.04,0.00,611.38,220.69
1778364602.067,12.30,1303.16,0.00,611.38,220.69
1778364602.167,12.50,1336.27,0.00,611.38,220.69
1778364602.268,12.50,1369.35,0.00,611.38,220.69
1778364602.368,11.20,1402.43,0.00,611.38,220.69
1778364602.468,13.60,1435.53,0.00,611.38,220.69
1778364602.568,12.50,1468.64,0.00,611.38,220.69
1778364602.669,12.50,1501.73,0.00,611.38,220.69
1778364602.769,12.50,1534.80,0.00,611.38,220.69
