timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,inference_time
1778364505.860,100.00,599.42,0.00,611.38,31.26
1778364505.960,2.40,601.14,0.00,611.38,31.26
1778364506.061,0.00,601.15,0.00,611.38,31.26
1778364506.161,7.40,635.89,0.00,611.38,31.26
1778364506.261,11.40,663.55,0.00,611.38,31.26
1778364506.361,12.50,680.02,0.00,611.38,31.26
1778364506.462,12.50,680.02,0.00,611.38,31.26
1778364506.562,12.30,680.02,0.00,611.38,31.26
1778364506.662,12.50,680.02,0.00,611.38,31.26
1778364506.762,12.50,680.02,0.00,611.38,31.26
1778364506.862,12.50,703.42,0.00,611.38,31.26
1778364506.963,13.60,736.33,0.00,611.38,31.26
1778364507.063,12.50,769.24,0.00,611.38,31.26
1778364507.163,12.50,802.17,0.00,611.38,31.26
1778364507.263,12.50,835.09,0.00,611.38,31.26
1778364507.363,11.30,842.98,0.00,611.38,31.26
1778364507.464,13.60,842.98,0.00,611.38,31.26
1778364507.564,12.50,842.98,0.00,611.38,31.26
1778364507.664,12.50,842.98,0.00,611.38,31.26
1778364507.764,12.50,842.98,0.00,611.38,31.26
1778364507.865,12.50,842.98,0.00,611.38,31.26
1778364507.965,12.50,842.98,0.00,611.38,31.26
1778364508.065,12.50,842.98,0.00,611.38,31.26
1778364508.165,12.30,842.98,0.00,611.38,31.26
1778364508.265,12.50,842.98,0.00,611.38,31.26
1778364508.366,12.50,842.98,0.00,611.38,31.26
1778364508.466,12.50,842.99,0.00,611.38,31.26
1778364508.566,12.50,842.99,0.00,611.38,31.26
1778364508.666,12.50,842.99,0.00,611.38,31.26
1778364508.766,12.50,842.99,0.00,611.38,31.26
1778364508.867,12.50,842.99,0.00,611.38,31.26
1778364508.967,12.30,842.99,0.00,611.38,31.26
1778364509.067,12.50,842.99,0.00,611.38,31.26
1778364509.167,12.50,842.99,0.00,611.38,31.26
1778364509.267,12.50,842.99,0.00,611.38,31.26
1778364509.368,12.50,843.00,0.00,611.38,31.26
1778364509.468,12.50,843.01,0.00,611.38,31.26
1778364509.568,12.50,843.01,0.00,611.38,31.26
1778364509.668,12.50,843.01,0.00,611.38,31.26
1778364509.769,12.30,843.01,0.00,611.38,31.26
1778364509.869,12.50,843.01,0.00,611.38,31.26
1778364509.969,12.50,843.01,0.00,611.38,31.26
1778364510.070,12.50,844.85,0.00,611.38,31.26
1778364510.170,29.30,879.33,0.00,611.38,31.26
1778364510.271,27.50,936.58,0.00,611.38,31.26
1778364510.371,17.70,986.75,0.00,611.38,31.26
1778364510.471,18.50,1045.03,0.00,611.38,31.26
1778364510.572,29.60,1106.33,0.00,611.38,31.26
1778364510.672,40.50,1145.97,0.00,611.38,31.26
1778364510.772,45.70,1145.97,0.00,611.38,31.26
1778364510.873,35.80,1145.97,0.00,611.38,31.26
1778364510.973,46.30,1145.97,0.00,611.38,31.26
1778364511.073,31.60,1145.97,0.00,611.38,31.26
1778364511.173,49.40,1145.97,0.00,611.38,31.26
1778364511.274,41.30,1145.97,0.00,611.38,31.26
1778364511.374,42.50,1145.97,0.00,611.38,31.26
1778364511.474,50.00,1145.97,0.00,611.38,31.26
1778364511.575,50.00,1111.51,0.00,611.38,31.26
1778364511.675,13.60,1111.52,0.00,611.38,31.26
1778364511.775,12.50,1111.53,0.00,611.38,31.26
1778364511.876,17.30,1138.05,0.00,611.38,31.26
1778364511.976,12.50,1138.08,0.00,611.38,31.26
1778364512.076,12.50,1166.81,0.00,611.38,31.26
1778364512.176,12.30,1199.53,0.00,611.38,31.26
1778364512.277,12.50,1232.18,0.00,611.38,31.26
1778364512.377,12.50,1265.20,0.00,611.38,31.26
1778364512.477,12.50,1298.27,0.00,611.38,31.26
1778364512.578,12.50,1331.36,0.00,611.38,31.26
