timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1778721736.481,0.00,1185.44,0.00,0.00,0.00,0.00,288.078
1778721736.581,0.00,1185.46,0.00,0.00,0.00,0.00,288.078
1778721736.681,32.50,1264.17,0.00,0.00,0.00,0.00,288.078
1778721736.781,45.00,1324.71,0.00,0.00,0.00,0.00,288.078
1778721736.882,37.50,1422.57,0.00,0.00,0.00,0.00,288.078
1778721736.982,22.50,1476.73,0.00,0.00,0.00,0.00,288.078
1778721737.082,5.00,1495.96,0.00,0.00,0.00,0.00,288.078
1778721737.182,23.10,1630.62,0.00,0.00,0.00,0.00,288.078
1778721737.282,31.70,1677.66,0.00,0.00,0.00,0.00,288.078
1778721737.382,0.00,1677.66,0.00,0.00,0.00,0.00,288.078
1778721737.483,0.00,1677.66,0.00,0.00,0.00,0.00,288.078
1778721737.583,0.00,1677.66,0.00,0.00,0.00,0.00,288.078
1778721737.683,0.00,1677.66,0.00,0.00,0.00,0.00,288.078
1778721737.783,0.00,1677.66,0.00,0.00,0.00,0.00,288.078
1778721737.883,0.00,1677.66,0.00,0.00,0.00,0.00,288.078
1778721737.983,0.00,1677.66,0.00,0.00,0.00,0.00,288.078
1778721738.083,0.00,1677.66,0.00,0.00,0.00,0.00,288.078
1778721738.183,0.00,1677.66,0.00,0.00,0.00,0.00,288.078
1778721738.283,0.00,1677.66,0.00,0.00,0.00,0.00,288.078
1778721738.384,0.00,1677.66,0.00,0.00,0.00,0.00,288.078
1778721738.484,0.00,1677.66,0.00,0.00,0.00,0.00,288.078
1778721738.594,22.70,1706.20,0.00,0.00,0.00,0.00,288.078
1778721738.695,85.00,1706.67,0.00,0.00,0.00,0.00,288.078
1778721738.795,30.00,1706.68,0.00,0.00,0.00,0.00,288.078
1778721738.895,4.90,1706.70,0.00,0.00,0.00,0.00,288.078
1778721738.995,2.60,1713.67,0.00,0.00,0.00,0.00,288.078
1778721739.096,4.90,1709.68,0.00,0.00,0.00,0.00,288.078
1778721739.196,20.00,1861.39,0.00,0.00,0.00,0.00,288.078
1778721739.296,25.00,1862.09,0.00,0.00,0.00,0.00,288.078
1778721739.396,26.80,1892.08,0.00,0.00,0.00,0.00,288.078
