timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1778721595.765,0.00,1185.38,0.00,0.00,0.00,0.00,111.505
1778721595.865,0.00,1185.40,0.00,0.00,0.00,0.00,111.505
1778721595.965,35.00,1269.98,0.00,0.00,0.00,0.00,111.505
1778721596.065,42.50,1330.45,0.00,0.00,0.00,0.00,111.505
1778721596.166,37.50,1429.66,0.00,0.00,0.00,0.00,111.505
1778721596.266,20.00,1476.66,0.00,0.00,0.00,0.00,111.505
1778721596.366,7.50,1509.50,0.00,0.00,0.00,0.00,111.505
1778721596.466,26.80,1640.34,0.00,0.00,0.00,0.00,111.505
1778721596.566,25.60,1677.59,0.00,0.00,0.00,0.00,111.505
1778721596.667,0.00,1677.59,0.00,0.00,0.00,0.00,111.505
1778721596.767,0.00,1677.59,0.00,0.00,0.00,0.00,111.505
1778721596.867,0.00,1677.59,0.00,0.00,0.00,0.00,111.505
1778721596.967,0.00,1677.59,0.00,0.00,0.00,0.00,111.505
1778721597.067,0.00,1677.59,0.00,0.00,0.00,0.00,111.505
1778721597.167,0.00,1677.59,0.00,0.00,0.00,0.00,111.505
1778721597.267,0.00,1677.59,0.00,0.00,0.00,0.00,111.505
1778721597.367,0.00,1677.59,0.00,0.00,0.00,0.00,111.505
1778721597.468,0.00,1677.59,0.00,0.00,0.00,0.00,111.505
1778721597.568,0.00,1677.59,0.00,0.00,0.00,0.00,111.505
1778721597.668,0.00,1677.59,0.00,0.00,0.00,0.00,111.505
1778721597.768,0.00,1677.59,0.00,0.00,0.00,0.00,111.505
1778721597.915,15.50,1706.14,0.00,0.00,0.00,0.00,111.505
1778721598.015,85.40,1706.59,0.00,0.00,0.00,0.00,111.505
1778721598.116,30.00,1706.61,0.00,0.00,0.00,0.00,111.505
1778721598.216,2.50,1706.63,0.00,0.00,0.00,0.00,111.505
1778721598.316,10.00,1709.61,0.00,0.00,0.00,0.00,111.505
1778721598.421,6.70,1709.71,0.00,0.00,0.00,0.00,111.505
1778721598.525,23.10,1908.36,0.00,0.00,0.00,0.00,111.505
1778721598.625,26.80,1951.45,0.00,0.00,0.00,0.00,111.505
1778721598.726,25.00,1951.61,0.00,0.00,0.00,0.00,111.505
1778721598.826,23.10,2012.62,0.00,0.00,0.00,0.00,111.505
1778721598.926,25.00,2096.15,0.00,0.00,0.00,0.00,111.505
