timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1778721551.850,0.00,1185.26,0.00,0.00,0.00,0.00,16.054
1778721551.950,0.00,1187.79,0.00,0.00,0.00,0.00,16.054
1778721552.050,35.00,1271.33,0.00,0.00,0.00,0.00,16.054
1778721552.151,42.50,1337.46,0.00,0.00,0.00,0.00,16.054
1778721552.251,39.00,1431.45,0.00,0.00,0.00,0.00,16.054
1778721552.351,17.90,1476.54,0.00,0.00,0.00,0.00,16.054
1778721552.452,7.30,1505.99,0.00,0.00,0.00,0.00,16.054
1778721552.552,25.00,1635.46,0.00,0.00,0.00,0.00,16.054
1778721552.652,28.20,1677.46,0.00,0.00,0.00,0.00,16.054
1778721552.752,0.00,1677.46,0.00,0.00,0.00,0.00,16.054
1778721552.853,0.00,1677.46,0.00,0.00,0.00,0.00,16.054
1778721552.953,0.00,1677.46,0.00,0.00,0.00,0.00,16.054
1778721553.053,0.00,1677.46,0.00,0.00,0.00,0.00,16.054
1778721553.153,0.00,1677.46,0.00,0.00,0.00,0.00,16.054
1778721553.253,0.00,1677.46,0.00,0.00,0.00,0.00,16.054
1778721553.353,0.00,1677.46,0.00,0.00,0.00,0.00,16.054
1778721553.453,0.00,1677.46,0.00,0.00,0.00,0.00,16.054
1778721553.553,0.00,1677.46,0.00,0.00,0.00,0.00,16.054
1778721553.653,0.00,1677.46,0.00,0.00,0.00,0.00,16.054
1778721553.754,0.00,1677.46,0.00,0.00,0.00,0.00,16.054
1778721553.894,16.10,1706.01,0.00,0.00,0.00,0.00,16.054
1778721553.994,85.00,1706.46,0.00,0.00,0.00,0.00,16.054
1778721554.095,26.80,1706.48,0.00,0.00,0.00,0.00,16.054
1778721554.195,2.60,1706.50,0.00,0.00,0.00,0.00,16.054
1778721554.295,7.50,1709.48,0.00,0.00,0.00,0.00,16.054
1778721554.396,9.80,1709.59,0.00,0.00,0.00,0.00,16.054
1778721554.496,25.00,1915.08,0.00,0.00,0.00,0.00,16.054
1778721554.596,25.00,1951.34,0.00,0.00,0.00,0.00,16.054
1778721554.696,25.00,1951.50,0.00,0.00,0.00,0.00,16.054
1778721554.797,25.00,2016.81,0.00,0.00,0.00,0.00,16.054
1778721554.897,25.00,2099.37,0.00,0.00,0.00,0.00,16.054
1778721554.997,25.00,2184.21,0.00,0.00,0.00,0.00,16.054
1778721555.097,25.00,2201.21,0.00,0.00,0.00,0.00,16.054
1778721555.197,28.20,2381.95,0.00,0.00,0.00,0.00,16.054
1778721555.297,20.00,1970.88,0.00,0.00,0.00,0.00,16.054
1778721555.398,51.20,1998.80,0.00,0.00,0.00,0.00,16.054
1778721555.498,47.50,2014.71,0.00,0.00,0.00,0.00,16.054
1778721555.598,50.00,2211.93,0.00,0.00,0.00,0.00,16.054
1778721555.699,51.20,2167.76,0.00,0.00,0.00,0.00,16.054
1778721555.799,50.00,2102.89,0.00,0.00,0.00,0.00,16.054
1778721555.899,48.70,2279.42,0.00,0.00,0.00,0.00,16.054
1778721556.000,50.00,2189.92,0.00,0.00,0.00,0.00,16.054
