timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1779108940.933,0.00,1185.38,0.00,0.00,0.00,0.00,124.781
1779108941.033,0.00,1185.38,0.00,0.00,0.00,0.00,124.781
1779108941.133,21.20,1272.12,0.00,0.00,0.00,0.00,124.781
1779108941.233,43.20,1381.87,0.00,0.00,0.00,0.00,124.781
1779108941.334,16.20,1471.97,0.00,0.00,0.00,0.00,124.781
1779108941.434,1.30,1476.77,0.00,0.00,0.00,0.00,124.781
1779108941.534,12.30,1600.25,0.00,0.00,0.00,0.00,124.781
1779108941.635,19.80,1677.69,0.00,0.00,0.00,0.00,124.781
1779108941.735,0.00,1677.69,0.00,0.00,0.00,0.00,124.781
1779108941.835,0.00,1677.69,0.00,0.00,0.00,0.00,124.781
1779108941.936,0.00,1677.69,0.00,0.00,0.00,0.00,124.781
1779108942.036,0.00,1677.69,0.00,0.00,0.00,0.00,124.781
1779108942.136,0.00,1677.69,0.00,0.00,0.00,0.00,124.781
1779108942.237,0.00,1677.69,0.00,0.00,0.00,0.00,124.781
1779108942.337,0.00,1677.69,0.00,0.00,0.00,0.00,124.781
1779108942.437,0.00,1677.69,0.00,0.00,0.00,0.00,124.781
1779108942.537,0.00,1677.69,0.00,0.00,0.00,0.00,124.781
1779108942.638,0.00,1677.69,0.00,0.00,0.00,0.00,124.781
1779108942.738,0.00,1677.69,0.00,0.00,0.00,0.00,124.781
1779108942.838,0.00,1677.69,0.00,0.00,0.00,0.00,124.781
1779108942.939,0.00,1677.69,0.00,0.00,0.00,0.00,124.781
1779108943.039,0.00,1677.69,0.00,0.00,0.00,0.00,124.781
1779108943.139,0.00,1677.69,0.00,0.00,0.00,0.00,124.781
1779108943.240,0.00,1677.69,0.00,0.00,0.00,0.00,124.781
1779108943.340,0.00,1677.69,0.00,0.00,0.00,0.00,124.781
1779108943.440,0.00,1677.69,0.00,0.00,0.00,0.00,124.781
1779108943.541,0.00,1677.69,0.00,0.00,0.00,0.00,124.781
1779108943.641,0.00,1677.69,0.00,0.00,0.00,0.00,124.781
1779108943.768,7.80,1706.54,0.00,0.00,0.00,0.00,124.781
1779108943.869,91.40,1706.74,0.00,0.00,0.00,0.00,124.781
1779108943.970,33.30,1706.75,0.00,0.00,0.00,0.00,124.781
1779108944.070,1.30,1706.77,0.00,0.00,0.00,0.00,124.781
1779108944.170,3.80,1709.75,0.00,0.00,0.00,0.00,124.781
1779108944.276,3.60,1709.87,0.00,0.00,0.00,0.00,124.781
1779108944.381,13.10,1950.89,0.00,0.00,0.00,0.00,124.781
1779108944.481,12.30,1951.73,0.00,0.00,0.00,0.00,124.781
1779108944.581,12.50,2018.16,0.00,0.00,0.00,0.00,124.781
1779108944.681,12.50,2120.24,0.00,0.00,0.00,0.00,124.781
1779108944.782,12.50,2201.49,0.00,0.00,0.00,0.00,124.781
1779108944.882,20.00,2382.22,0.00,0.00,0.00,0.00,124.781
1779108944.982,13.80,1971.15,0.00,0.00,0.00,0.00,124.781
1779108945.083,48.10,2049.85,0.00,0.00,0.00,0.00,124.781
1779108945.183,49.40,2102.13,0.00,0.00,0.00,0.00,124.781
1779108945.283,50.00,2247.30,0.00,0.00,0.00,0.00,124.781
1779108945.384,49.40,2284.44,0.00,0.00,0.00,0.00,124.781
1779108945.484,49.40,2283.58,0.00,0.00,0.00,0.00,124.781
1779108945.584,50.00,2344.86,0.00,0.00,0.00,0.00,124.781
1779108945.685,49.40,2329.16,0.00,0.00,0.00,0.00,124.781
1779108945.785,49.40,2333.97,0.00,0.00,0.00,0.00,124.781
1779108945.885,50.00,2346.32,0.00,0.00,0.00,0.00,124.781
