timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1779108873.034,0.00,1184.64,0.00,0.00,0.00,0.00,49.430
1779108873.135,0.00,1184.66,0.00,0.00,0.00,0.00,49.430
1779108873.235,26.60,1285.87,0.00,0.00,0.00,0.00,49.430
1779108873.335,42.00,1395.82,0.00,0.00,0.00,0.00,49.430
1779108873.436,12.50,1476.02,0.00,0.00,0.00,0.00,49.430
1779108873.536,1.20,1480.07,0.00,0.00,0.00,0.00,49.430
1779108873.637,12.50,1630.75,0.00,0.00,0.00,0.00,49.430
1779108873.738,17.30,1676.95,0.00,0.00,0.00,0.00,49.430
1779108873.839,0.00,1676.95,0.00,0.00,0.00,0.00,49.430
1779108873.939,0.00,1676.95,0.00,0.00,0.00,0.00,49.430
1779108874.039,0.00,1676.95,0.00,0.00,0.00,0.00,49.430
1779108874.140,0.00,1676.95,0.00,0.00,0.00,0.00,49.430
1779108874.240,0.00,1676.95,0.00,0.00,0.00,0.00,49.430
1779108874.340,0.00,1676.95,0.00,0.00,0.00,0.00,49.430
1779108874.440,0.00,1676.95,0.00,0.00,0.00,0.00,49.430
1779108874.541,0.00,1676.95,0.00,0.00,0.00,0.00,49.430
1779108874.641,0.00,1676.95,0.00,0.00,0.00,0.00,49.430
1779108874.741,0.00,1676.95,0.00,0.00,0.00,0.00,49.430
1779108874.842,0.00,1676.95,0.00,0.00,0.00,0.00,49.430
1779108874.942,0.00,1676.95,0.00,0.00,0.00,0.00,49.430
1779108875.042,0.00,1676.95,0.00,0.00,0.00,0.00,49.430
1779108875.143,0.00,1676.95,0.00,0.00,0.00,0.00,49.430
1779108875.243,0.00,1676.95,0.00,0.00,0.00,0.00,49.430
1779108875.343,0.00,1676.95,0.00,0.00,0.00,0.00,49.430
1779108875.467,8.10,1705.60,0.00,0.00,0.00,0.00,49.430
1779108875.568,87.70,1706.02,0.00,0.00,0.00,0.00,49.430
1779108875.668,35.80,1706.03,0.00,0.00,0.00,0.00,49.430
1779108875.769,1.30,1706.05,0.00,0.00,0.00,0.00,49.430
1779108875.869,2.50,1709.52,0.00,0.00,0.00,0.00,49.430
1779108875.974,3.50,1709.61,0.00,0.00,0.00,0.00,49.430
1779108876.075,12.50,1927.16,0.00,0.00,0.00,0.00,49.430
1779108876.175,11.40,1951.42,0.00,0.00,0.00,0.00,49.430
1779108876.275,12.50,1997.81,0.00,0.00,0.00,0.00,49.430
1779108876.375,12.50,2099.57,0.00,0.00,0.00,0.00,49.430
1779108876.476,13.40,2201.21,0.00,0.00,0.00,0.00,49.430
1779108876.576,22.80,2381.95,0.00,0.00,0.00,0.00,49.430
1779108876.676,3.80,1970.34,0.00,0.00,0.00,0.00,49.430
1779108876.776,49.40,2018.84,0.00,0.00,0.00,0.00,49.430
1779108876.877,48.70,2140.31,0.00,0.00,0.00,0.00,49.430
1779108876.977,49.40,2166.25,0.00,0.00,0.00,0.00,49.430
1779108877.077,48.80,2266.11,0.00,0.00,0.00,0.00,49.430
1779108877.178,48.80,2194.09,0.00,0.00,0.00,0.00,49.430
1779108877.278,50.00,2420.80,0.00,0.00,0.00,0.00,49.430
1779108877.379,48.80,2348.98,0.00,0.00,0.00,0.00,49.430
1779108877.479,48.80,2286.95,0.00,0.00,0.00,0.00,49.430
1779108877.579,49.40,2337.24,0.00,0.00,0.00,0.00,49.430
1779108877.680,49.40,2382.37,0.00,0.00,0.00,0.00,49.430
1779108877.780,50.60,2364.93,0.00,0.00,0.00,0.00,49.430
