timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1779107712.256,0.00,1185.40,0.00,0.00,0.00,0.00,7.703
1779107712.356,0.00,1185.40,0.00,0.00,0.00,0.00,7.703
1779107712.457,25.90,1286.63,0.00,0.00,0.00,0.00,7.703
1779107712.557,43.00,1393.54,0.00,0.00,0.00,0.00,7.703
1779107712.657,13.60,1476.74,0.00,0.00,0.00,0.00,7.703
1779107712.758,0.00,1476.77,0.00,0.00,0.00,0.00,7.703
1779107712.859,10.00,1592.80,0.00,0.00,0.00,0.00,7.703
1779107712.959,20.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107713.059,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107713.160,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107713.260,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107713.360,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107713.460,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107713.561,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107713.661,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107713.761,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107713.862,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107713.962,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107714.062,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107714.163,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107714.263,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107714.363,1.20,1677.70,0.00,0.00,0.00,0.00,7.703
1779107714.464,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107714.564,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107714.664,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107714.765,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107714.865,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107714.965,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107715.065,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107715.166,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107715.266,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107715.366,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107715.467,1.20,1677.70,0.00,0.00,0.00,0.00,7.703
1779107715.567,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107715.667,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107715.768,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107715.868,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107715.968,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107716.068,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107716.169,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107716.269,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107716.369,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107716.470,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107716.570,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107716.670,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107716.771,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107716.871,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107716.971,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107717.071,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107717.172,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107717.272,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107717.372,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107717.473,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107717.573,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107717.673,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107717.773,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107717.874,0.00,1677.70,0.00,0.00,0.00,0.00,7.703
1779107717.974,8.80,1706.52,0.00,0.00,0.00,0.00,7.703
1779107718.076,90.10,1706.74,0.00,0.00,0.00,0.00,7.703
1779107718.176,31.20,1706.76,0.00,0.00,0.00,0.00,7.703
1779107718.276,1.20,1706.78,0.00,0.00,0.00,0.00,7.703
1779107718.376,2.50,1709.82,0.00,0.00,0.00,0.00,7.703
1779107718.476,0.00,1709.82,0.00,0.00,0.00,0.00,7.703
1779107718.577,13.60,1904.72,0.00,0.00,0.00,0.00,7.703
1779107718.677,11.40,1951.65,0.00,0.00,0.00,0.00,7.703
1779107718.778,13.40,1979.13,0.00,0.00,0.00,0.00,7.703
1779107718.878,11.40,2081.84,0.00,0.00,0.00,0.00,7.703
1779107718.978,13.60,2185.96,0.00,0.00,0.00,0.00,7.703
1779107719.079,16.20,2353.70,0.00,0.00,0.00,0.00,7.703
1779107719.179,8.70,2384.49,0.00,0.00,0.00,0.00,7.703
1779107719.279,43.20,2004.85,0.00,0.00,0.00,0.00,7.703
1779107719.380,47.50,2126.93,0.00,0.00,0.00,0.00,7.703
1779107719.480,50.00,2221.20,0.00,0.00,0.00,0.00,7.703
1779107719.580,48.80,2170.22,0.00,0.00,0.00,0.00,7.703
1779107719.681,50.00,2320.95,0.00,0.00,0.00,0.00,7.703
1779107719.781,49.40,2261.03,0.00,0.00,0.00,0.00,7.703
1779107719.881,50.00,2414.48,0.00,0.00,0.00,0.00,7.703
1779107719.982,48.80,2419.01,0.00,0.00,0.00,0.00,7.703
1779107720.082,50.00,2347.86,0.00,0.00,0.00,0.00,7.703
1779107720.182,50.60,2396.88,0.00,0.00,0.00,0.00,7.703
1779107720.283,49.40,2443.69,0.00,0.00,0.00,0.00,7.703
1779107720.383,48.80,2417.30,0.00,0.00,0.00,0.00,7.703
1779107720.483,50.60,2444.09,0.00,0.00,0.00,0.00,7.703
1779107720.584,40.00,2538.62,0.00,0.00,0.00,0.00,7.703
1779107720.684,50.00,2634.56,0.00,0.00,0.00,0.00,7.703
1779107720.784,50.00,2658.68,0.00,0.00,0.00,0.00,7.703
1779107720.885,50.60,2660.87,0.00,0.00,0.00,0.00,7.703
1779107720.985,49.40,2656.65,0.00,0.00,0.00,0.00,7.703
1779107721.085,50.60,2745.31,0.00,0.00,0.00,0.00,7.703
1779107721.186,48.80,2645.54,0.00,0.00,0.00,0.00,7.703
1779107721.286,50.60,2737.28,0.00,0.00,0.00,0.00,7.703
1779107721.387,50.00,2684.10,0.00,0.00,0.00,0.00,7.703
1779107721.487,49.40,2689.10,0.00,0.00,0.00,0.00,7.703
1779107721.587,49.40,2737.74,0.00,0.00,0.00,0.00,7.703
1779107721.688,50.00,2742.54,0.00,0.00,0.00,0.00,7.703
1779107721.788,49.40,2737.68,0.00,0.00,0.00,0.00,7.703
1779107721.889,50.00,2744.35,0.00,0.00,0.00,0.00,7.703
1779107721.989,33.30,2541.65,0.00,0.00,0.00,0.00,7.703
1779107722.089,41.20,2535.02,0.00,0.00,0.00,0.00,7.703
1779107722.189,49.40,2700.16,0.00,0.00,0.00,0.00,7.703
1779107722.290,50.00,2636.43,0.00,0.00,0.00,0.00,7.703
1779107722.390,49.40,2596.97,0.00,0.00,0.00,0.00,7.703
1779107722.491,49.40,2681.06,0.00,0.00,0.00,0.00,7.703
1779107722.591,49.40,2752.42,0.00,0.00,0.00,0.00,7.703
1779107722.691,49.40,2674.75,0.00,0.00,0.00,0.00,7.703
1779107722.792,48.70,2623.94,0.00,0.00,0.00,0.00,7.703
1779107722.892,49.40,2728.21,0.00,0.00,0.00,0.00,7.703
1779107722.993,50.00,2704.24,0.00,0.00,0.00,0.00,7.703
1779107723.093,48.80,2571.91,0.00,0.00,0.00,0.00,7.703
1779107723.193,19.80,2636.38,0.00,0.00,0.00,0.00,7.703
1779107723.294,48.10,2608.89,0.00,0.00,0.00,0.00,7.703
1779107723.394,49.40,2601.64,0.00,0.00,0.00,0.00,7.703
1779107723.494,49.40,2673.78,0.00,0.00,0.00,0.00,7.703
1779107723.595,48.80,2708.50,0.00,0.00,0.00,0.00,7.703
1779107723.695,48.10,2679.17,0.00,0.00,0.00,0.00,7.703
1779107723.796,50.00,2617.62,0.00,0.00,0.00,0.00,7.703
1779107723.896,49.40,2735.47,0.00,0.00,0.00,0.00,7.703
1779107723.996,48.10,2754.97,0.00,0.00,0.00,0.00,7.703
1779107724.097,48.80,2549.07,0.00,0.00,0.00,0.00,7.703
1779107724.197,20.00,2659.59,0.00,0.00,0.00,0.00,7.703
