timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1778631861.326,0.00,1208.89,0.00,0.00,0.00,0.00,50.047
1778631861.426,0.60,1208.91,0.00,0.00,0.00,0.00,50.047
1778631861.527,62.00,1349.20,0.00,0.00,0.00,0.00,50.047
1778631861.628,36.00,1501.58,0.00,0.00,0.00,0.00,50.047
1778631861.728,0.00,1501.60,0.00,0.00,0.00,0.00,50.047
1778631861.828,23.70,1702.58,0.00,0.00,0.00,0.00,50.047
1778631861.928,0.00,1702.58,0.00,0.00,0.00,0.00,50.047
1778631862.029,0.00,1702.58,0.00,0.00,0.00,0.00,50.047
1778631862.129,0.00,1702.58,0.00,0.00,0.00,0.00,50.047
1778631862.229,0.00,1702.58,0.00,0.00,0.00,0.00,50.047
1778631862.329,0.60,1702.58,0.00,0.00,0.00,0.00,50.047
1778631862.429,0.00,1702.58,0.00,0.00,0.00,0.00,50.047
1778631862.529,0.00,1702.58,0.00,0.00,0.00,0.00,50.047
1778631862.629,0.00,1702.58,0.00,0.00,0.00,0.00,50.047
1778631862.729,0.00,1702.58,0.00,0.00,0.00,0.00,50.047
1778631862.830,0.00,1702.58,0.00,0.00,0.00,0.00,50.047
1778631862.950,2.60,1731.45,0.00,0.00,0.00,0.00,50.047
1778631863.050,91.90,1732.00,0.00,0.00,0.00,0.00,50.047
1778631863.150,15.60,1732.01,0.00,0.00,0.00,0.00,50.047
1778631863.251,0.60,1732.03,0.00,0.00,0.00,0.00,50.047
1778631863.351,1.30,1735.01,0.00,0.00,0.00,0.00,50.047
1778631863.454,1.80,1735.11,0.00,0.00,0.00,0.00,50.047
1778631863.555,6.30,1976.96,0.00,0.00,0.00,0.00,50.047
1778631863.655,6.30,2019.38,0.00,0.00,0.00,0.00,50.047
1778631863.755,6.80,2183.11,0.00,0.00,0.00,0.00,50.047
1778631863.855,19.30,2485.27,0.00,0.00,0.00,0.00,50.047
1778631863.957,6.80,1998.64,0.00,0.00,0.00,0.00,50.047
1778631864.059,95.80,2239.54,0.00,0.00,0.00,0.00,50.047
1778631864.159,100.00,2272.25,0.00,0.00,0.00,0.00,50.047
1778631864.259,100.00,2318.85,0.00,0.00,0.00,0.00,50.047
1778631864.360,100.00,2385.52,0.00,0.00,0.00,0.00,50.047
1778631864.460,100.00,2438.59,0.00,0.00,0.00,0.00,50.047
1778631864.560,89.00,2647.66,0.00,0.00,0.00,0.00,50.047
1778631864.660,100.00,2701.99,0.00,0.00,0.00,0.00,50.047
1778631864.760,100.00,2641.87,0.00,0.00,0.00,0.00,50.047
1778631864.861,100.00,2701.71,0.00,0.00,0.00,0.00,50.047
1778631864.961,72.20,2550.07,0.00,0.00,0.00,0.00,50.047
1778631865.061,98.10,2691.87,0.00,0.00,0.00,0.00,50.047
1778631865.161,97.50,2719.54,0.00,0.00,0.00,0.00,50.047
1778631865.262,98.10,2689.30,0.00,0.00,0.00,0.00,50.047
1778631865.362,69.60,2548.80,0.00,0.00,0.00,0.00,50.047
1778631865.463,90.20,2686.48,0.00,0.00,0.00,0.00,50.047
1778631865.563,98.70,2657.19,0.00,0.00,0.00,0.00,50.047
1778631865.663,98.70,2738.42,0.00,0.00,0.00,0.00,50.047
1778631865.764,83.10,2550.59,0.00,0.00,0.00,0.00,50.047
1778631865.864,75.50,2658.71,0.00,0.00,0.00,0.00,50.047
1778631865.967,100.00,2713.49,0.00,0.00,0.00,0.00,50.047
1778631866.067,98.20,2707.63,0.00,0.00,0.00,0.00,50.047
1778631866.167,98.80,2455.91,0.00,0.00,0.00,0.00,50.047
1778631866.268,100.00,2609.24,0.00,0.00,0.00,0.00,50.047
1778631866.368,97.50,2577.59,0.00,0.00,0.00,0.00,50.047
1778631866.468,98.80,2702.05,0.00,0.00,0.00,0.00,50.047
1778631866.568,99.40,2855.74,0.00,0.00,0.00,0.00,50.047
1778631866.669,100.00,2971.12,0.00,0.00,0.00,0.00,50.047
1778631866.769,100.00,2786.99,0.00,0.00,0.00,0.00,50.047
1778631866.869,86.30,3005.31,0.00,0.00,0.00,0.00,50.047
1778631866.969,99.40,3022.08,0.00,0.00,0.00,0.00,50.047
1778631867.069,100.00,3021.22,0.00,0.00,0.00,0.00,50.047
1778631867.170,99.40,3102.26,0.00,0.00,0.00,0.00,50.047
1778631867.270,87.50,2896.95,0.00,0.00,0.00,0.00,50.047
1778631867.371,66.70,3051.05,0.00,0.00,0.00,0.00,50.047
1778631867.471,95.70,3014.02,0.00,0.00,0.00,0.00,50.047
1778631867.571,96.90,3036.53,0.00,0.00,0.00,0.00,50.047
1778631867.672,96.30,3024.20,0.00,0.00,0.00,0.00,50.047
1778631867.772,68.60,2898.70,0.00,0.00,0.00,0.00,50.047
1778631867.873,85.30,2970.96,0.00,0.00,0.00,0.00,50.047
1778631867.973,96.30,3095.43,0.00,0.00,0.00,0.00,50.047
1778631868.073,97.50,3062.72,0.00,0.00,0.00,0.00,50.047
1778631868.174,97.50,2954.89,0.00,0.00,0.00,0.00,50.047
1778631868.274,56.30,3009.46,0.00,0.00,0.00,0.00,50.047
1778631868.374,98.80,3010.56,0.00,0.00,0.00,0.00,50.047
1778631868.477,98.80,2918.93,0.00,0.00,0.00,0.00,50.047
1778631868.577,98.10,3075.71,0.00,0.00,0.00,0.00,50.047
1778631868.679,99.40,2815.73,0.00,0.00,0.00,0.00,50.047
1778631868.779,98.70,2974.68,0.00,0.00,0.00,0.00,50.047
1778631868.879,100.00,2922.52,0.00,0.00,0.00,0.00,50.047
1778631868.980,100.00,2936.90,0.00,0.00,0.00,0.00,50.047
1778631869.080,100.00,2884.33,0.00,0.00,0.00,0.00,50.047
1778631869.180,90.60,2885.02,0.00,0.00,0.00,0.00,50.047
1778631869.281,94.40,3068.51,0.00,0.00,0.00,0.00,50.047
1778631869.381,98.10,3063.25,0.00,0.00,0.00,0.00,50.047
1778631869.482,98.70,3100.52,0.00,0.00,0.00,0.00,50.047
1778631869.582,99.40,3057.21,0.00,0.00,0.00,0.00,50.047
1778631869.683,72.50,2940.59,0.00,0.00,0.00,0.00,50.047
1778631869.783,93.20,3023.91,0.00,0.00,0.00,0.00,50.047
1778631869.884,97.50,3120.59,0.00,0.00,0.00,0.00,50.047
1778631869.984,98.10,3065.30,0.00,0.00,0.00,0.00,50.047
1778631870.085,98.10,3091.29,0.00,0.00,0.00,0.00,50.047
1778631870.185,57.40,2996.75,0.00,0.00,0.00,0.00,50.047
1778631870.286,98.80,3094.02,0.00,0.00,0.00,0.00,50.047
1778631870.386,96.80,3120.80,0.00,0.00,0.00,0.00,50.047
1778631870.487,96.90,3074.14,0.00,0.00,0.00,0.00,50.047
1778631870.587,60.60,2944.39,0.00,0.00,0.00,0.00,50.047
1778631870.688,94.50,3096.89,0.00,0.00,0.00,0.00,50.047
1778631870.788,97.50,3070.29,0.00,0.00,0.00,0.00,50.047
1778631870.888,96.90,3068.93,0.00,0.00,0.00,0.00,50.047
1778631870.989,96.90,2891.55,0.00,0.00,0.00,0.00,50.047
1778631871.089,99.40,2969.32,0.00,0.00,0.00,0.00,50.047
