timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1778631824.653,0.00,1208.72,0.00,0.00,0.00,0.00,20.897
1778631824.753,0.00,1208.72,0.00,0.00,0.00,0.00,20.897
1778631824.853,43.70,1327.80,0.00,0.00,0.00,0.00,20.897
1778631824.954,53.10,1485.87,0.00,0.00,0.00,0.00,20.897
1778631825.054,1.20,1501.42,0.00,0.00,0.00,0.00,20.897
1778631825.155,12.90,1702.40,0.00,0.00,0.00,0.00,20.897
1778631825.255,11.90,1702.40,0.00,0.00,0.00,0.00,20.897
1778631825.355,0.00,1702.40,0.00,0.00,0.00,0.00,20.897
1778631825.456,0.00,1702.40,0.00,0.00,0.00,0.00,20.897
1778631825.556,0.00,1702.40,0.00,0.00,0.00,0.00,20.897
1778631825.656,0.00,1702.40,0.00,0.00,0.00,0.00,20.897
1778631825.756,0.60,1702.40,0.00,0.00,0.00,0.00,20.897
1778631825.856,0.00,1702.40,0.00,0.00,0.00,0.00,20.897
1778631825.956,0.00,1702.40,0.00,0.00,0.00,0.00,20.897
1778631826.056,0.00,1702.40,0.00,0.00,0.00,0.00,20.897
1778631826.156,0.00,1702.40,0.00,0.00,0.00,0.00,20.897
1778631826.256,0.00,1702.40,0.00,0.00,0.00,0.00,20.897
1778631826.357,0.00,1702.40,0.00,0.00,0.00,0.00,20.897
1778631826.463,2.90,1731.28,0.00,0.00,0.00,0.00,20.897
1778631826.564,91.90,1731.82,0.00,0.00,0.00,0.00,20.897
1778631826.664,15.60,1731.82,0.00,0.00,0.00,0.00,20.897
1778631826.764,0.60,1731.83,0.00,0.00,0.00,0.00,20.897
1778631826.864,0.60,1731.84,0.00,0.00,0.00,0.00,20.897
1778631826.964,0.00,1731.84,0.00,0.00,0.00,0.00,20.897
1778631827.064,1.90,1734.82,0.00,0.00,0.00,0.00,20.897
1778631827.165,2.50,1900.48,0.00,0.00,0.00,0.00,20.897
1778631827.265,6.30,1976.86,0.00,0.00,0.00,0.00,20.897
1778631827.365,6.80,2080.20,0.00,0.00,0.00,0.00,20.897
1778631827.465,6.90,2224.41,0.00,0.00,0.00,0.00,20.897
1778631827.565,21.40,2405.18,0.00,0.00,0.00,0.00,20.897
1778631827.665,37.30,2083.45,0.00,0.00,0.00,0.00,20.897
1778631827.766,95.70,2318.79,0.00,0.00,0.00,0.00,20.897
1778631827.866,98.10,2390.86,0.00,0.00,0.00,0.00,20.897
1778631827.967,97.50,2496.62,0.00,0.00,0.00,0.00,20.897
1778631828.067,98.10,2462.59,0.00,0.00,0.00,0.00,20.897
1778631828.167,98.10,2467.33,0.00,0.00,0.00,0.00,20.897
1778631828.268,86.90,2598.18,0.00,0.00,0.00,0.00,20.897
1778631828.368,100.00,2730.70,0.00,0.00,0.00,0.00,20.897
1778631828.468,100.00,2716.82,0.00,0.00,0.00,0.00,20.897
