timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1778631807.504,0.00,1209.01,0.00,0.00,0.00,0.00,3.657
1778631807.604,0.00,1209.03,0.00,0.00,0.00,0.00,3.657
1778631807.705,66.70,1349.68,0.00,0.00,0.00,0.00,3.657
1778631807.805,32.30,1501.71,0.00,0.00,0.00,0.00,3.657
1778631807.905,0.00,1506.82,0.00,0.00,0.00,0.00,3.657
1778631808.006,24.20,1702.68,0.00,0.00,0.00,0.00,3.657
1778631808.106,0.00,1702.68,0.00,0.00,0.00,0.00,3.657
1778631808.206,0.00,1702.68,0.00,0.00,0.00,0.00,3.657
1778631808.306,0.00,1702.68,0.00,0.00,0.00,0.00,3.657
1778631808.406,0.00,1702.68,0.00,0.00,0.00,0.00,3.657
1778631808.506,0.00,1702.68,0.00,0.00,0.00,0.00,3.657
1778631808.606,1.20,1702.68,0.00,0.00,0.00,0.00,3.657
1778631808.707,0.00,1702.68,0.00,0.00,0.00,0.00,3.657
1778631808.807,0.00,1702.68,0.00,0.00,0.00,0.00,3.657
1778631808.907,0.00,1702.68,0.00,0.00,0.00,0.00,3.657
1778631809.007,0.00,1702.68,0.00,0.00,0.00,0.00,3.657
1778631809.107,0.00,1702.68,0.00,0.00,0.00,0.00,3.657
1778631809.207,0.00,1702.68,0.00,0.00,0.00,0.00,3.657
1778631809.307,0.00,1702.68,0.00,0.00,0.00,0.00,3.657
1778631809.407,0.00,1702.68,0.00,0.00,0.00,0.00,3.657
1778631809.507,0.00,1702.68,0.00,0.00,0.00,0.00,3.657
1778631809.608,0.00,1702.68,0.00,0.00,0.00,0.00,3.657
1778631809.708,42.10,1732.11,0.00,0.00,0.00,0.00,3.657
1778631809.808,68.90,1732.11,0.00,0.00,0.00,0.00,3.657
1778631809.908,0.60,1732.14,0.00,0.00,0.00,0.00,3.657
1778631810.010,0.60,1739.11,0.00,0.00,0.00,0.00,3.657
1778631810.110,0.60,1735.11,0.00,0.00,0.00,0.00,3.657
1778631810.210,6.20,1886.89,0.00,0.00,0.00,0.00,3.657
1778631810.310,6.30,1973.75,0.00,0.00,0.00,0.00,3.657
1778631810.410,6.20,2137.97,0.00,0.00,0.00,0.00,3.657
1778631810.510,6.20,2225.31,0.00,0.00,0.00,0.00,3.657
1778631810.611,20.00,2406.09,0.00,0.00,0.00,0.00,3.657
1778631810.714,70.90,2116.97,0.00,0.00,0.00,0.00,3.657
1778631810.814,97.50,2402.33,0.00,0.00,0.00,0.00,3.657
1778631810.915,100.00,2292.62,0.00,0.00,0.00,0.00,3.657
1778631811.015,100.00,2369.46,0.00,0.00,0.00,0.00,3.657
1778631811.115,99.40,2426.69,0.00,0.00,0.00,0.00,3.657
1778631811.215,100.00,2548.99,0.00,0.00,0.00,0.00,3.657
1778631811.316,87.40,2761.69,0.00,0.00,0.00,0.00,3.657
1778631811.416,100.00,2799.73,0.00,0.00,0.00,0.00,3.657
1778631811.516,100.00,2709.13,0.00,0.00,0.00,0.00,3.657
1778631811.616,100.00,2815.50,0.00,0.00,0.00,0.00,3.657
1778631811.717,64.20,2751.80,0.00,0.00,0.00,0.00,3.657
1778631811.817,98.10,2774.51,0.00,0.00,0.00,0.00,3.657
1778631811.917,100.00,2801.74,0.00,0.00,0.00,0.00,3.657
1778631812.018,99.40,2817.26,0.00,0.00,0.00,0.00,3.657
1778631812.119,94.40,2643.06,0.00,0.00,0.00,0.00,3.657
1778631812.219,62.00,2750.22,0.00,0.00,0.00,0.00,3.657
1778631812.319,96.80,2778.35,0.00,0.00,0.00,0.00,3.657
1778631812.420,96.40,2659.55,0.00,0.00,0.00,0.00,3.657
1778631812.521,98.20,2816.09,0.00,0.00,0.00,0.00,3.657
1778631812.621,58.20,2751.90,0.00,0.00,0.00,0.00,3.657
1778631812.722,91.40,2803.23,0.00,0.00,0.00,0.00,3.657
1778631812.822,96.90,2796.99,0.00,0.00,0.00,0.00,3.657
1778631812.923,96.30,2851.20,0.00,0.00,0.00,0.00,3.657
1778631813.023,97.50,2608.98,0.00,0.00,0.00,0.00,3.657
1778631813.123,99.40,2542.07,0.00,0.00,0.00,0.00,3.657
1778631813.224,94.30,2544.51,0.00,0.00,0.00,0.00,3.657
