timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1778723317.960,0.00,1184.82,0.00,0.00,0.00,0.00,355.332
1778723318.060,2.40,1184.83,0.00,0.00,0.00,0.00,355.332
1778723318.160,25.00,1237.90,0.00,0.00,0.00,0.00,355.332
1778723318.261,41.00,1291.57,0.00,0.00,0.00,0.00,355.332
1778723318.361,43.90,1324.71,0.00,0.00,0.00,0.00,355.332
1778723318.461,46.30,1398.29,0.00,0.00,0.00,0.00,355.332
1778723318.561,23.10,1446.64,0.00,0.00,0.00,0.00,355.332
1778723318.662,20.00,1476.11,0.00,0.00,0.00,0.00,355.332
1778723318.762,9.80,1500.85,0.00,0.00,0.00,0.00,355.332
1778723318.862,23.10,1595.11,0.00,0.00,0.00,0.00,355.332
1778723318.965,26.20,1677.04,0.00,0.00,0.00,0.00,355.332
1778723319.066,20.00,1677.04,0.00,0.00,0.00,0.00,355.332
1778723319.166,0.00,1677.04,0.00,0.00,0.00,0.00,355.332
1778723319.266,0.00,1677.04,0.00,0.00,0.00,0.00,355.332
1778723319.366,0.00,1677.04,0.00,0.00,0.00,0.00,355.332
1778723319.467,0.00,1677.04,0.00,0.00,0.00,0.00,355.332
1778723319.567,0.00,1677.04,0.00,0.00,0.00,0.00,355.332
1778723319.667,0.00,1677.04,0.00,0.00,0.00,0.00,355.332
1778723319.767,0.00,1677.04,0.00,0.00,0.00,0.00,355.332
1778723319.867,0.00,1677.04,0.00,0.00,0.00,0.00,355.332
1778723319.967,0.00,1677.04,0.00,0.00,0.00,0.00,355.332
1778723320.067,0.00,1677.04,0.00,0.00,0.00,0.00,355.332
1778723320.245,17.10,1705.57,0.00,0.00,0.00,0.00,355.332
1778723320.346,95.10,1706.04,0.00,0.00,0.00,0.00,355.332
1778723320.451,61.90,1706.05,0.00,0.00,0.00,0.00,355.332
1778723320.552,0.00,1706.05,0.00,0.00,0.00,0.00,355.332
1778723320.653,5.00,1706.08,0.00,0.00,0.00,0.00,355.332
1778723320.753,10.00,1709.05,0.00,0.00,0.00,0.00,355.332
1778723320.858,8.70,1709.16,0.00,0.00,0.00,0.00,355.332
1778723320.965,25.00,1883.30,0.00,0.00,0.00,0.00,355.332
1778723321.066,25.00,1949.38,0.00,0.00,0.00,0.00,355.332
1778723321.166,25.00,1950.92,0.00,0.00,0.00,0.00,355.332
1778723321.266,25.00,1951.03,0.00,0.00,0.00,0.00,355.332
1778723321.367,25.00,1977.27,0.00,0.00,0.00,0.00,355.332
1778723321.467,25.00,2032.62,0.00,0.00,0.00,0.00,355.332
1778723321.567,25.00,2088.12,0.00,0.00,0.00,0.00,355.332
1778723321.667,25.00,2144.04,0.00,0.00,0.00,0.00,355.332
1778723321.768,25.00,2200.62,0.00,0.00,0.00,0.00,355.332
1778723321.868,25.00,2205.29,0.00,0.00,0.00,0.00,355.332
1778723321.968,37.50,2437.43,0.00,0.00,0.00,0.00,355.332
1778723322.069,2.50,2386.02,0.00,0.00,0.00,0.00,355.332
1778723322.169,48.80,1974.48,0.00,0.00,0.00,0.00,355.332
1778723322.269,50.00,2012.02,0.00,0.00,0.00,0.00,355.332
1778723322.370,47.50,2034.65,0.00,0.00,0.00,0.00,355.332
1778723322.470,50.00,2156.44,0.00,0.00,0.00,0.00,355.332
1778723322.570,50.00,2128.94,0.00,0.00,0.00,0.00,355.332
1778723322.671,50.00,2132.14,0.00,0.00,0.00,0.00,355.332
1778723322.771,50.00,2204.68,0.00,0.00,0.00,0.00,355.332
1778723322.871,50.00,2126.34,0.00,0.00,0.00,0.00,355.332
1778723322.972,50.00,2301.80,0.00,0.00,0.00,0.00,355.332
1778723323.072,48.80,2223.23,0.00,0.00,0.00,0.00,355.332
1778723323.173,50.00,2150.47,0.00,0.00,0.00,0.00,355.332
1778723323.273,50.00,2277.37,0.00,0.00,0.00,0.00,355.332
1778723323.373,50.00,2193.93,0.00,0.00,0.00,0.00,355.332
1778723323.474,50.00,2313.70,0.00,0.00,0.00,0.00,355.332
1778723323.574,50.00,2302.32,0.00,0.00,0.00,0.00,355.332
1778723323.674,50.00,2218.21,0.00,0.00,0.00,0.00,355.332
1778723323.775,51.20,2341.57,0.00,0.00,0.00,0.00,355.332
1778723323.875,47.50,2262.66,0.00,0.00,0.00,0.00,355.332
1778723323.976,51.30,2263.85,0.00,0.00,0.00,0.00,355.332
1778723324.076,48.80,2328.11,0.00,0.00,0.00,0.00,355.332
1778723324.176,48.70,2262.54,0.00,0.00,0.00,0.00,355.332
