timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1778723140.083,0.00,1184.66,0.00,0.00,0.00,0.00,136.086
1778723140.183,0.00,1186.40,0.00,0.00,0.00,0.00,136.086
1778723140.283,31.70,1245.68,0.00,0.00,0.00,0.00,136.086
1778723140.384,42.50,1302.34,0.00,0.00,0.00,0.00,136.086
1778723140.484,42.50,1331.59,0.00,0.00,0.00,0.00,136.086
1778723140.585,43.60,1404.42,0.00,0.00,0.00,0.00,136.086
1778723140.685,24.40,1452.76,0.00,0.00,0.00,0.00,136.086
1778723140.785,17.50,1475.95,0.00,0.00,0.00,0.00,136.086
1778723140.885,12.20,1519.64,0.00,0.00,0.00,0.00,136.086
1778723140.986,25.00,1613.74,0.00,0.00,0.00,0.00,136.086
1778723141.087,30.00,1676.88,0.00,0.00,0.00,0.00,136.086
1778723141.187,10.00,1676.88,0.00,0.00,0.00,0.00,136.086
1778723141.287,0.00,1676.88,0.00,0.00,0.00,0.00,136.086
1778723141.388,0.00,1676.88,0.00,0.00,0.00,0.00,136.086
1778723141.488,0.00,1676.88,0.00,0.00,0.00,0.00,136.086
1778723141.588,0.00,1676.88,0.00,0.00,0.00,0.00,136.086
1778723141.688,0.00,1676.88,0.00,0.00,0.00,0.00,136.086
1778723141.788,0.00,1676.88,0.00,0.00,0.00,0.00,136.086
1778723141.888,0.00,1676.88,0.00,0.00,0.00,0.00,136.086
1778723141.988,0.00,1676.88,0.00,0.00,0.00,0.00,136.086
1778723142.089,0.00,1676.88,0.00,0.00,0.00,0.00,136.086
1778723142.189,0.00,1676.88,0.00,0.00,0.00,0.00,136.086
1778723142.289,0.00,1676.88,0.00,0.00,0.00,0.00,136.086
1778723142.389,0.00,1676.88,0.00,0.00,0.00,0.00,136.086
1778723142.489,0.00,1676.88,0.00,0.00,0.00,0.00,136.086
1778723142.633,21.10,1705.41,0.00,0.00,0.00,0.00,136.086
1778723142.733,95.10,1705.87,0.00,0.00,0.00,0.00,136.086
1778723142.833,65.00,1705.88,0.00,0.00,0.00,0.00,136.086
1778723142.946,4.40,1705.91,0.00,0.00,0.00,0.00,136.086
1778723143.050,4.30,1712.89,0.00,0.00,0.00,0.00,136.086
1778723143.171,6.70,1708.91,0.00,0.00,0.00,0.00,136.086
1778723143.272,23.10,1744.45,0.00,0.00,0.00,0.00,136.086
1778723143.372,25.00,1922.82,0.00,0.00,0.00,0.00,136.086
1778723143.472,24.40,1950.72,0.00,0.00,0.00,0.00,136.086
1778723143.573,25.00,1950.83,0.00,0.00,0.00,0.00,136.086
1778723143.673,25.00,1953.20,0.00,0.00,0.00,0.00,136.086
1778723143.773,25.00,2008.58,0.00,0.00,0.00,0.00,136.086
1778723143.874,25.00,2063.85,0.00,0.00,0.00,0.00,136.086
1778723143.974,26.80,2119.27,0.00,0.00,0.00,0.00,136.086
1778723144.074,25.00,2175.72,0.00,0.00,0.00,0.00,136.086
1778723144.175,23.10,2202.87,0.00,0.00,0.00,0.00,136.086
1778723144.275,29.30,2304.87,0.00,0.00,0.00,0.00,136.086
1778723144.375,22.50,2383.60,0.00,0.00,0.00,0.00,136.086
1778723144.475,32.50,1972.58,0.00,0.00,0.00,0.00,136.086
1778723144.576,50.00,1980.03,0.00,0.00,0.00,0.00,136.086
1778723144.676,50.00,2012.38,0.00,0.00,0.00,0.00,136.086
1778723144.777,47.50,2094.88,0.00,0.00,0.00,0.00,136.086
1778723144.877,51.20,2235.77,0.00,0.00,0.00,0.00,136.086
1778723144.977,48.70,2151.87,0.00,0.00,0.00,0.00,136.086
1778723145.078,50.00,2267.68,0.00,0.00,0.00,0.00,136.086
