timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1778723022.493,0.00,1184.62,0.00,0.00,0.00,0.00,19.625
1778723022.593,2.50,1187.77,0.00,0.00,0.00,0.00,19.625
1778723022.693,31.70,1247.41,0.00,0.00,0.00,0.00,19.625
1778723022.793,42.50,1302.30,0.00,0.00,0.00,0.00,19.625
1778723022.894,41.00,1338.66,0.00,0.00,0.00,0.00,19.625
1778723022.994,43.90,1406.45,0.00,0.00,0.00,0.00,19.625
1778723023.094,25.00,1455.58,0.00,0.00,0.00,0.00,19.625
1778723023.195,15.00,1475.91,0.00,0.00,0.00,0.00,19.625
1778723023.295,12.50,1527.21,0.00,0.00,0.00,0.00,19.625
1778723023.395,25.00,1622.29,0.00,0.00,0.00,0.00,19.625
1778723023.495,30.00,1676.85,0.00,0.00,0.00,0.00,19.625
1778723023.596,10.00,1676.85,0.00,0.00,0.00,0.00,19.625
1778723023.696,0.00,1676.85,0.00,0.00,0.00,0.00,19.625
1778723023.796,0.00,1676.85,0.00,0.00,0.00,0.00,19.625
1778723023.897,0.00,1676.85,0.00,0.00,0.00,0.00,19.625
1778723023.997,0.00,1676.85,0.00,0.00,0.00,0.00,19.625
1778723024.097,0.00,1676.85,0.00,0.00,0.00,0.00,19.625
1778723024.197,0.00,1676.85,0.00,0.00,0.00,0.00,19.625
1778723024.297,0.00,1676.85,0.00,0.00,0.00,0.00,19.625
1778723024.397,0.00,1676.85,0.00,0.00,0.00,0.00,19.625
1778723024.498,0.00,1676.85,0.00,0.00,0.00,0.00,19.625
1778723024.598,0.00,1676.85,0.00,0.00,0.00,0.00,19.625
1778723024.698,0.00,1676.85,0.00,0.00,0.00,0.00,19.625
1778723024.798,0.00,1676.85,0.00,0.00,0.00,0.00,19.625
1778723024.898,0.00,1676.85,0.00,0.00,0.00,0.00,19.625
1778723024.998,0.00,1676.85,0.00,0.00,0.00,0.00,19.625
1778723025.099,0.00,1676.85,0.00,0.00,0.00,0.00,19.625
1778723025.199,0.00,1676.85,0.00,0.00,0.00,0.00,19.625
1778723025.299,0.00,1676.85,0.00,0.00,0.00,0.00,19.625
1778723025.399,0.00,1676.85,0.00,0.00,0.00,0.00,19.625
1778723025.499,0.00,1676.85,0.00,0.00,0.00,0.00,19.625
1778723025.599,0.00,1676.85,0.00,0.00,0.00,0.00,19.625
1778723025.700,0.00,1676.85,0.00,0.00,0.00,0.00,19.625
1778723025.800,0.00,1676.85,0.00,0.00,0.00,0.00,19.625
1778723025.900,0.00,1676.85,0.00,0.00,0.00,0.00,19.625
1778723026.087,16.20,1705.40,0.00,0.00,0.00,0.00,19.625
1778723026.187,92.70,1705.86,0.00,0.00,0.00,0.00,19.625
1778723026.288,57.50,1705.88,0.00,0.00,0.00,0.00,19.625
1778723026.391,4.90,1705.89,0.00,0.00,0.00,0.00,19.625
1778723026.501,4.30,1712.88,0.00,0.00,0.00,0.00,19.625
1778723026.617,6.70,1708.89,0.00,0.00,0.00,0.00,19.625
1778723026.717,25.00,1709.84,0.00,0.00,0.00,0.00,19.625
1778723026.817,25.00,1921.56,0.00,0.00,0.00,0.00,19.625
1778723026.918,25.00,1950.70,0.00,0.00,0.00,0.00,19.625
1778723027.018,24.40,1950.79,0.00,0.00,0.00,0.00,19.625
1778723027.118,23.10,1953.11,0.00,0.00,0.00,0.00,19.625
1778723027.218,25.00,2007.98,0.00,0.00,0.00,0.00,19.625
1778723027.318,25.00,2063.13,0.00,0.00,0.00,0.00,19.625
1778723027.418,26.80,2117.94,0.00,0.00,0.00,0.00,19.625
1778723027.519,25.00,2174.54,0.00,0.00,0.00,0.00,19.625
1778723027.619,23.10,2205.09,0.00,0.00,0.00,0.00,19.625
1778723027.719,27.50,2273.09,0.00,0.00,0.00,0.00,19.625
1778723027.819,26.80,2385.82,0.00,0.00,0.00,0.00,19.625
1778723027.920,25.00,1973.53,0.00,0.00,0.00,0.00,19.625
1778723028.020,48.70,1986.67,0.00,0.00,0.00,0.00,19.625
1778723028.120,51.20,2007.74,0.00,0.00,0.00,0.00,19.625
1778723028.221,46.20,2094.05,0.00,0.00,0.00,0.00,19.625
1778723028.321,51.20,2214.49,0.00,0.00,0.00,0.00,19.625
1778723028.421,48.70,2131.63,0.00,0.00,0.00,0.00,19.625
1778723028.522,51.20,2292.02,0.00,0.00,0.00,0.00,19.625
1778723028.622,47.50,2159.79,0.00,0.00,0.00,0.00,19.625
1778723028.722,50.00,2322.75,0.00,0.00,0.00,0.00,19.625
1778723028.823,51.20,2179.08,0.00,0.00,0.00,0.00,19.625
1778723028.923,50.00,2346.93,0.00,0.00,0.00,0.00,19.625
1778723029.024,46.20,2209.71,0.00,0.00,0.00,0.00,19.625
1778723029.124,51.20,2383.75,0.00,0.00,0.00,0.00,19.625
1778723029.224,50.00,2232.41,0.00,0.00,0.00,0.00,19.625
1778723029.325,48.70,2405.58,0.00,0.00,0.00,0.00,19.625
1778723029.425,50.00,2256.21,0.00,0.00,0.00,0.00,19.625
1778723029.525,48.70,2431.48,0.00,0.00,0.00,0.00,19.625
1778723029.626,50.00,2285.15,0.00,0.00,0.00,0.00,19.625
1778723029.726,50.00,2458.59,0.00,0.00,0.00,0.00,19.625
1778723029.826,48.80,2319.58,0.00,0.00,0.00,0.00,19.625
1778723029.927,50.00,2442.97,0.00,0.00,0.00,0.00,19.625
1778723030.027,48.70,2341.70,0.00,0.00,0.00,0.00,19.625
1778723030.127,50.00,2405.57,0.00,0.00,0.00,0.00,19.625
1778723030.228,51.20,2395.96,0.00,0.00,0.00,0.00,19.625
1778723030.328,48.70,2398.75,0.00,0.00,0.00,0.00,19.625
1778723030.428,48.80,2419.62,0.00,0.00,0.00,0.00,19.625
1778723030.529,50.00,2432.80,0.00,0.00,0.00,0.00,19.625
1778723030.629,48.80,2341.80,0.00,0.00,0.00,0.00,19.625
1778723030.729,48.70,2381.09,0.00,0.00,0.00,0.00,19.625
1778723030.830,51.20,2394.53,0.00,0.00,0.00,0.00,19.625
1778723030.930,50.00,2394.53,0.00,0.00,0.00,0.00,19.625
1778723031.031,50.00,2421.25,0.00,0.00,0.00,0.00,19.625
1778723031.131,50.00,2434.65,0.00,0.00,0.00,0.00,19.625
1778723031.231,50.00,2402.32,0.00,0.00,0.00,0.00,19.625
1778723031.332,50.00,2389.41,0.00,0.00,0.00,0.00,19.625
1778723031.432,50.00,2408.25,0.00,0.00,0.00,0.00,19.625
1778723031.532,51.20,2421.57,0.00,0.00,0.00,0.00,19.625
1778723031.633,50.00,2421.69,0.00,0.00,0.00,0.00,19.625
1778723031.733,50.00,2383.56,0.00,0.00,0.00,0.00,19.625
1778723031.834,37.50,2449.57,0.00,0.00,0.00,0.00,19.625
1778723031.934,50.00,2517.31,0.00,0.00,0.00,0.00,19.625
1778723032.034,50.00,2531.88,0.00,0.00,0.00,0.00,19.625
1778723032.135,48.70,2510.18,0.00,0.00,0.00,0.00,19.625
1778723032.235,51.20,2608.32,0.00,0.00,0.00,0.00,19.625
1778723032.335,50.00,2617.34,0.00,0.00,0.00,0.00,19.625
1778723032.436,50.00,2609.00,0.00,0.00,0.00,0.00,19.625
1778723032.536,50.00,2642.91,0.00,0.00,0.00,0.00,19.625
1778723032.636,50.00,2629.02,0.00,0.00,0.00,0.00,19.625
