timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1778724644.109,0.00,1126.34,0.00,450.19,28.00,25.95,17.479
1778724644.217,4.70,1129.98,0.00,450.19,28.00,25.91,17.479
1778724644.323,32.60,1187.16,0.00,450.19,28.00,25.88,17.479
1778724644.430,41.90,1238.87,0.00,450.19,28.00,26.02,17.479
1778724644.538,45.50,1265.52,0.00,450.19,28.00,26.10,17.479
1778724644.644,45.00,1337.64,0.00,450.19,28.00,26.10,17.479
1778724644.750,27.30,1384.65,0.00,450.19,28.00,26.09,17.479
1778724644.857,26.20,1474.80,0.00,460.19,28.00,26.15,17.479
1778724644.963,25.60,1502.07,0.00,470.19,28.00,26.84,17.479
1778724645.069,26.20,1518.71,16.00,748.19,28.00,26.44,17.479
1778724645.176,7.00,1518.71,16.00,756.19,28.00,26.05,17.479
1778724645.281,21.40,1527.34,11.00,856.19,28.00,26.44,17.479
1778724645.389,25.60,1527.76,11.00,952.19,28.00,26.25,17.479
1778724645.496,15.90,1528.15,14.00,958.19,28.00,26.56,17.479
1778724645.603,0.00,1528.15,14.00,958.19,28.00,26.06,17.479
1778724645.709,2.30,1528.15,0.00,958.19,28.00,26.06,17.479
1778724645.815,0.00,1528.15,0.00,958.19,28.00,25.95,17.479
1778724645.920,2.30,1528.15,0.00,958.19,28.00,26.05,17.479
1778724646.026,0.00,1528.15,0.00,958.19,28.00,25.96,17.479
1778724646.132,2.30,1528.15,0.00,958.19,28.00,25.95,17.479
1778724646.238,2.40,1528.15,0.00,958.19,28.00,26.01,17.479
1778724646.345,0.00,1528.15,0.00,958.19,28.00,26.09,17.479
1778724646.451,2.30,1528.15,0.00,958.19,28.00,26.10,17.479
1778724646.579,25.50,1556.99,0.00,958.19,28.00,25.89,17.479
1778724646.687,95.30,1557.49,0.00,958.19,28.00,25.91,17.479
1778724646.793,62.80,1557.49,0.00,958.19,28.00,26.01,17.479
1778724646.907,4.40,1557.52,0.00,958.19,28.00,25.89,17.479
1778724647.014,2.30,1557.52,0.00,958.19,28.00,25.98,17.479
1778724647.126,11.10,1560.48,0.00,958.19,28.00,25.99,17.479
1778724647.231,21.40,1564.98,0.00,958.19,28.00,25.91,17.479
1778724647.338,26.20,1574.47,0.00,958.19,28.00,25.91,17.479
1778724647.447,27.30,1576.10,0.00,958.19,28.00,26.05,17.479
1778724647.558,25.00,1756.56,0.00,958.19,28.00,26.15,17.479
1778724647.665,27.90,1812.43,0.00,958.19,28.00,26.01,17.479
1778724647.774,27.30,1829.58,0.00,958.19,28.00,25.99,17.479
1778724647.879,24.40,1866.55,0.00,958.19,28.00,25.89,17.479
1778724647.985,27.30,1904.80,0.00,958.19,28.00,26.01,17.479
1778724648.092,26.20,1953.61,0.00,958.19,28.00,26.01,17.479
1778724648.198,26.20,2005.79,0.00,958.19,28.00,25.91,17.479
1778724648.304,27.90,2057.43,0.00,958.19,28.00,25.99,17.479
