timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1778724568.892,0.00,1125.27,0.00,450.19,28.00,26.06,8.735
1778724569.000,6.80,1133.72,0.00,450.19,28.00,26.02,8.735
1778724569.106,33.30,1188.96,0.00,450.19,28.00,25.95,8.735
1778724569.213,43.20,1242.65,0.00,450.19,28.00,26.01,8.735
1778724569.319,42.90,1266.73,0.00,450.19,28.00,25.99,8.735
1778724569.424,46.30,1338.54,0.00,450.19,28.00,26.01,8.735
1778724569.530,27.90,1384.61,0.00,450.19,28.00,25.98,8.735
1778724569.636,25.60,1475.95,0.00,460.19,28.00,25.99,8.735
1778724569.743,25.60,1503.16,0.00,472.19,28.00,26.88,8.735
1778724569.849,26.20,1517.73,0.00,748.19,28.00,26.47,8.735
1778724569.956,4.80,1517.73,21.00,756.19,28.00,26.10,8.735
1778724570.061,26.20,1526.43,21.00,858.19,28.00,26.20,8.735
1778724570.171,25.00,1526.88,11.00,954.19,28.00,26.25,8.735
1778724570.279,11.40,1527.16,11.00,958.19,28.00,26.86,8.735
1778724570.385,0.00,1527.16,10.00,958.19,28.00,26.27,8.735
1778724570.491,2.40,1527.16,10.00,958.19,28.00,25.88,8.735
1778724570.598,0.00,1527.16,0.00,958.19,28.00,26.01,8.735
1778724570.704,2.40,1527.16,0.00,958.19,28.00,25.99,8.735
1778724570.810,0.00,1527.16,0.00,958.19,28.00,25.99,8.735
1778724570.916,2.30,1527.16,0.00,958.19,28.00,26.02,8.735
1778724571.022,2.30,1527.16,0.00,958.19,28.00,25.89,8.735
1778724571.128,0.00,1527.16,0.00,958.19,28.00,26.09,8.735
1778724571.234,2.30,1527.16,0.00,958.19,28.00,26.01,8.735
1778724571.341,0.00,1527.16,0.00,958.19,28.00,25.99,8.735
1778724571.446,2.30,1527.16,0.00,958.19,28.00,26.02,8.735
1778724571.560,15.10,1556.00,0.00,958.19,28.00,26.07,8.735
1778724571.767,97.60,1556.48,0.00,958.19,28.00,26.10,8.735
1778724571.873,59.50,1556.49,0.00,958.19,28.00,26.22,8.735
1778724571.983,6.80,1556.51,0.00,958.19,28.00,26.10,8.735
1778724572.094,8.00,1563.48,0.00,958.19,28.00,25.99,8.735
1778724572.225,8.30,1560.11,0.00,958.19,28.00,25.99,8.735
1778724572.334,25.60,1569.32,0.00,958.19,28.00,25.99,8.735
1778724572.445,27.30,1573.34,0.00,958.19,28.00,26.01,8.735
1778724572.552,25.60,1578.24,0.00,958.19,28.00,26.09,8.735
1778724572.660,27.90,1781.51,0.00,958.19,28.00,25.99,8.735
1778724572.765,26.20,1818.54,0.00,958.19,28.00,26.01,8.735
1778724572.872,25.60,1847.10,0.00,958.19,28.00,26.09,8.735
1778724572.977,26.20,1883.19,0.00,958.19,28.00,26.10,8.735
1778724573.084,26.20,1923.23,0.00,958.19,28.00,25.97,8.735
1778724573.190,26.20,1975.70,0.00,958.19,28.00,26.19,8.735
1778724573.296,26.20,2027.95,0.00,958.19,28.00,26.13,8.735
1778724573.403,27.30,2080.12,0.00,958.19,28.00,25.96,8.735
1778724573.509,26.20,2133.35,0.00,958.19,28.00,25.94,8.735
1778724573.615,26.20,2168.95,0.00,958.19,28.00,25.95,8.735
1778724573.721,27.90,2168.95,0.00,958.19,28.00,25.95,8.735
1778724573.829,36.40,2349.95,0.00,958.19,28.00,25.86,8.735
1778724573.935,9.50,1840.48,0.00,1048.19,28.00,25.99,8.735
1778724574.041,25.60,1577.69,0.00,1270.19,28.00,26.57,8.735
1778724574.148,26.20,1670.79,37.00,1294.19,28.00,26.03,8.735
1778724574.254,27.90,1733.46,37.00,1308.19,28.00,27.71,8.735
1778724574.360,24.40,1856.81,11.00,1308.19,28.00,26.91,8.735
1778724574.467,27.30,1989.59,11.00,1308.19,28.00,26.74,8.735
1778724574.573,26.20,2082.72,8.00,1750.19,29.00,25.96,8.735
1778724574.680,26.20,2086.44,8.00,1750.19,29.00,47.44,8.735
1778724574.787,27.30,2101.17,79.00,2012.19,30.00,41.87,8.735
1778724574.899,27.30,2101.17,79.00,2012.19,30.00,70.22,8.735
1778724575.006,27.90,2101.17,100.00,2012.19,30.00,66.25,8.735
1778724575.114,74.40,2104.85,65.00,2012.19,30.00,30.50,8.735
1778724575.223,95.50,2104.85,65.00,2302.19,30.00,73.09,8.735
1778724575.330,26.20,2104.85,71.00,2612.19,31.00,81.31,8.735
1778724575.436,27.90,2104.85,71.00,2612.19,31.00,70.42,8.735
1778724575.547,27.30,2104.85,100.00,2612.19,31.00,67.42,8.735
1778724575.653,25.60,2104.85,100.00,2612.19,31.00,71.54,8.735
1778724575.762,76.70,2108.60,83.00,2612.19,30.00,31.50,8.735
1778724575.871,93.20,2108.60,83.00,2612.19,31.00,36.01,8.735
1778724575.977,27.90,2108.61,52.00,2612.19,31.00,84.25,8.735
1778724576.084,24.40,2108.61,52.00,2612.19,31.00,69.46,8.735
1778724576.196,26.70,2108.61,100.00,2612.19,31.00,70.66,8.735
1778724576.303,84.10,2111.62,100.00,2612.19,30.00,58.93,8.735
1778724576.409,97.60,2111.62,51.00,2612.19,31.00,49.36,8.735
1778724576.519,27.30,2111.63,51.00,2612.19,32.00,78.61,8.735
1778724576.624,27.90,2111.63,78.00,2612.19,31.00,68.48,8.735
1778724576.731,24.40,2111.63,100.00,2612.19,32.00,67.59,8.735
1778724576.842,27.30,2111.63,100.00,2612.19,32.00,67.54,8.735
1778724576.950,82.20,2115.33,67.00,2612.19,31.00,30.52,8.735
1778724577.056,90.50,2122.83,67.00,2612.19,32.00,70.64,8.735
1778724577.165,27.90,2122.83,70.00,2612.19,32.00,74.59,8.735
1778724577.271,25.60,2122.83,70.00,2612.19,32.00,69.60,8.735
1778724577.378,26.20,2122.83,100.00,2612.19,32.00,66.84,8.735
1778724577.489,70.50,2126.02,100.00,2612.19,31.00,42.43,8.735
1778724577.594,100.00,2126.02,49.00,2612.19,32.00,43.23,8.735
1778724577.711,32.60,2126.02,49.00,2612.19,32.00,73.71,8.735
1778724577.817,25.60,2126.02,83.00,2612.19,32.00,69.19,8.735
1778724577.923,27.90,2126.02,83.00,2612.19,32.00,67.91,8.735
1778724578.036,42.20,2129.36,100.00,2612.19,32.00,69.93,8.735
1778724578.141,100.00,2129.36,100.00,2612.19,31.00,40.75,8.735
1778724578.246,58.50,2129.37,40.00,2612.19,32.00,81.41,8.735
1778724578.358,28.90,2129.37,89.00,2612.19,32.00,69.46,8.735
1778724578.484,30.00,2129.37,89.00,2612.19,32.00,67.14,8.735
1778724578.592,65.90,2132.19,90.00,2612.19,31.00,37.74,8.735
1778724578.702,100.00,2132.19,90.00,2612.19,31.00,41.90,8.735
1778724578.808,41.50,2132.20,31.00,2612.19,33.00,79.63,8.735
1778724578.914,27.30,2132.20,31.00,2612.19,33.00,70.70,8.735
1778724579.020,26.20,2132.20,100.00,2612.19,33.00,70.16,8.735
1778724579.129,27.30,2132.20,100.00,2612.19,32.00,67.40,8.735
1778724579.235,92.90,2135.51,91.00,2612.19,32.00,39.13,8.735
1778724579.340,59.50,2135.51,91.00,2612.19,33.00,34.10,8.735
1778724579.452,27.30,2135.51,52.00,2612.19,33.00,74.49,8.735
1778724579.570,27.30,2274.22,69.00,1558.19,31.00,31.62,8.735
1778724580.095,25.10,2481.48,0.00,1558.19,31.00,31.61,8.735
1778724580.200,26.20,2176.84,0.00,1558.19,31.00,31.70,8.735
