timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1778724524.282,0.00,1126.04,0.00,450.19,29.00,26.10,3.909
1778724524.390,4.70,1132.66,0.00,450.19,29.00,26.09,3.909
1778724524.496,33.30,1189.23,0.00,450.19,29.00,26.09,3.909
1778724524.602,41.90,1240.51,0.00,450.19,29.00,26.20,3.909
1778724524.709,42.90,1266.07,0.00,450.19,29.00,26.20,3.909
1778724524.815,46.50,1338.70,0.00,450.19,29.00,26.10,3.909
1778724524.921,26.20,1384.93,0.00,450.19,29.00,26.01,3.909
1778724525.027,26.20,1476.41,0.00,460.19,29.00,26.30,3.909
1778724525.135,25.60,1502.49,2.00,470.19,29.00,26.97,3.909
1778724525.241,25.60,1518.19,2.00,748.19,29.00,26.58,3.909
1778724525.348,7.00,1518.19,18.00,756.19,29.00,26.19,3.909
1778724525.453,16.70,1526.61,18.00,848.19,29.00,26.38,3.909
1778724525.560,25.60,1526.90,11.00,950.19,29.00,26.34,3.909
1778724525.668,18.60,1527.34,11.00,958.19,29.00,27.52,3.909
1778724525.775,2.40,1527.34,9.00,958.19,29.00,26.19,3.909
1778724525.881,2.30,1527.34,9.00,958.19,29.00,26.10,3.909
1778724525.988,0.00,1527.34,0.00,958.19,29.00,26.14,3.909
1778724526.093,2.30,1527.34,0.00,958.19,29.00,26.16,3.909
1778724526.199,0.00,1527.34,0.00,958.19,29.00,26.16,3.909
1778724526.305,2.30,1527.34,0.00,958.19,29.00,26.14,3.909
1778724526.411,2.40,1527.34,0.00,958.19,29.00,26.11,3.909
1778724526.517,0.00,1527.34,0.00,958.19,29.00,26.34,3.909
1778724526.623,2.30,1527.34,0.00,958.19,29.00,26.05,3.909
1778724526.730,0.00,1527.34,0.00,958.19,29.00,26.14,3.909
1778724526.837,2.30,1527.34,0.00,958.19,29.00,25.93,3.909
1778724526.989,21.30,1556.14,0.00,958.19,29.00,26.06,3.909
1778724527.096,90.70,1556.63,0.00,958.19,29.00,26.14,3.909
1778724527.202,54.80,1556.63,0.00,958.19,29.00,26.14,3.909
1778724527.308,7.00,1556.66,0.00,958.19,29.00,26.03,3.909
1778724527.414,2.40,1556.66,0.00,958.19,29.00,26.10,3.909
1778724527.520,11.90,1559.21,0.00,958.19,29.00,26.32,3.909
1778724527.627,14.00,1561.38,0.00,958.19,29.00,25.98,3.909
1778724527.739,26.70,1572.47,0.00,958.19,29.00,26.01,3.909
1778724527.852,25.50,1575.11,0.00,958.19,29.00,26.07,3.909
1778724527.970,28.30,1751.37,0.00,958.19,29.00,26.01,3.909
1778724528.075,26.20,1806.76,0.00,958.19,29.00,25.99,3.909
1778724528.181,26.20,1828.74,0.00,958.19,29.00,26.01,3.909
1778724528.287,26.20,1865.21,0.00,958.19,29.00,26.10,3.909
1778724528.393,25.60,1901.29,0.00,958.19,29.00,25.99,3.909
1778724528.499,26.20,1946.17,0.00,958.19,29.00,26.02,3.909
1778724528.605,26.20,1998.04,0.00,958.19,29.00,26.09,3.909
1778724528.711,26.20,2049.85,0.00,958.19,29.00,26.10,3.909
1778724528.818,27.30,2101.97,0.00,958.19,29.00,26.19,3.909
1778724528.924,26.20,2155.05,0.00,958.19,29.00,26.27,3.909
1778724529.030,26.20,2169.01,0.00,958.19,29.00,26.10,3.909
1778724529.136,30.20,2213.08,0.00,958.19,29.00,26.03,3.909
1778724529.242,28.60,2350.01,0.00,958.19,29.00,26.03,3.909
1778724529.348,16.30,1840.54,15.00,1048.19,29.00,26.57,3.909
1778724529.454,24.40,1615.44,15.00,1284.19,29.00,26.61,3.909
1778724529.561,27.90,1680.72,23.00,1306.19,29.00,26.38,3.909
1778724529.668,25.60,1763.43,23.00,1308.19,29.00,25.99,3.909
1778724529.775,25.60,1882.24,10.00,1308.19,29.00,26.09,3.909
1778724529.882,27.90,2021.90,10.00,1308.19,29.00,26.19,3.909
1778724529.987,26.20,2086.61,10.00,1792.19,29.00,26.69,3.909
1778724530.094,26.20,2086.61,10.00,1792.19,29.00,46.40,3.909
1778724530.201,27.30,2101.35,95.00,2064.19,30.00,49.22,3.909
1778724530.307,24.40,2101.35,95.00,2064.19,31.00,68.90,3.909
1778724530.414,27.30,2101.35,100.00,2064.19,31.00,67.69,3.909
1778724530.523,60.50,2114.15,100.00,2064.19,30.00,66.84,3.909
1778724530.632,70.50,2124.75,68.00,2064.19,31.00,34.08,3.909
1778724530.753,26.50,2177.42,33.00,1336.19,30.00,31.36,3.909
