timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1779033730.924,0.00,1184.84,0.00,0.00,0.00,0.00,255.783
1779033731.024,0.00,1186.09,0.00,0.00,0.00,0.00,255.783
1779033731.124,26.20,1260.78,0.00,0.00,0.00,0.00,255.783
1779033731.225,44.40,1324.22,0.00,0.00,0.00,0.00,255.783
1779033731.325,35.00,1408.91,0.00,0.00,0.00,0.00,255.783
1779033731.425,13.60,1469.86,0.00,0.00,0.00,0.00,255.783
1779033731.526,2.50,1476.25,0.00,0.00,0.00,0.00,255.783
1779033731.626,6.20,1524.60,0.00,0.00,0.00,0.00,255.783
1779033731.726,12.50,1632.77,0.00,0.00,0.00,0.00,255.783
1779033731.827,23.70,1677.17,0.00,0.00,0.00,0.00,255.783
1779033731.927,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033732.027,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033732.127,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033732.227,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033732.328,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033732.428,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033732.528,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033732.628,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033732.728,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033732.828,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033732.929,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033733.029,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033733.129,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033733.229,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033733.329,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033733.429,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033733.530,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033733.630,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033733.730,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033733.830,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033733.930,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033734.030,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033734.131,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033734.231,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033734.331,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033734.431,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033734.531,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033734.632,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033734.732,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033734.832,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033734.932,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033735.032,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033735.132,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033735.233,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033735.333,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033735.433,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033735.533,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033735.633,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033735.733,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033735.834,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033735.934,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033736.034,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033736.134,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033736.234,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033736.335,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033736.435,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033736.535,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033736.635,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033736.735,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033736.836,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033736.936,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033737.036,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033737.136,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033737.236,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033737.336,0.00,1677.17,0.00,0.00,0.00,0.00,255.783
1779033737.437,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033737.537,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033737.637,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033737.737,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033737.837,1.20,1677.18,0.00,0.00,0.00,0.00,255.783
1779033737.937,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033738.038,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033738.138,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033738.238,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033738.338,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033738.438,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033738.538,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033738.639,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033738.739,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033738.839,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033738.939,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033739.039,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033739.139,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033739.240,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033739.340,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033739.440,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033739.540,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033739.640,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033739.740,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033739.841,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033739.941,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033740.041,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033740.141,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033740.241,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033740.341,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033740.442,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033740.542,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033740.642,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033740.742,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033740.842,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033740.943,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033741.043,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033741.143,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033741.243,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033741.343,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033741.443,0.00,1677.18,0.00,0.00,0.00,0.00,255.783
1779033741.545,1.20,1677.96,0.00,0.00,0.00,0.00,255.783
1779033741.646,16.30,1706.10,0.00,0.00,0.00,0.00,255.783
1779033741.746,92.60,1706.24,0.00,0.00,0.00,0.00,255.783
1779033741.846,30.00,1706.26,0.00,0.00,0.00,0.00,255.783
1779033741.947,2.50,1706.27,0.00,0.00,0.00,0.00,255.783
1779033742.047,3.70,1709.34,0.00,0.00,0.00,0.00,255.783
1779033742.147,0.00,1709.39,0.00,0.00,0.00,0.00,255.783
1779033742.247,13.60,1881.57,0.00,0.00,0.00,0.00,255.783
1779033742.348,12.30,1950.42,0.00,0.00,0.00,0.00,255.783
1779033742.448,12.50,1951.20,0.00,0.00,0.00,0.00,255.783
1779033742.548,12.50,1964.29,0.00,0.00,0.00,0.00,255.783
1779033742.648,12.50,2033.70,0.00,0.00,0.00,0.00,255.783
1779033742.748,12.50,2103.50,0.00,0.00,0.00,0.00,255.783
1779033742.849,12.50,2175.56,0.00,0.00,0.00,0.00,255.783
1779033742.949,12.50,2200.98,0.00,0.00,0.00,0.00,255.783
1779033743.049,28.40,2381.71,0.00,0.00,0.00,0.00,255.783
1779033743.149,5.00,1969.88,0.00,0.00,0.00,0.00,255.783
1779033743.250,50.00,1995.44,0.00,0.00,0.00,0.00,255.783
1779033743.350,46.20,2023.55,0.00,0.00,0.00,0.00,255.783
1779033743.451,47.50,2221.62,0.00,0.00,0.00,0.00,255.783
1779033743.551,49.40,2254.09,0.00,0.00,0.00,0.00,255.783
1779033743.651,47.50,2226.05,0.00,0.00,0.00,0.00,255.783
1779033743.752,47.50,2210.26,0.00,0.00,0.00,0.00,255.783
1779033743.852,46.80,2247.37,0.00,0.00,0.00,0.00,255.783
1779033743.952,46.90,2194.68,0.00,0.00,0.00,0.00,255.783
1779033744.053,46.80,2190.04,0.00,0.00,0.00,0.00,255.783
1779033744.153,46.90,2189.87,0.00,0.00,0.00,0.00,255.783
1779033744.253,46.30,2196.97,0.00,0.00,0.00,0.00,255.783
1779033744.354,50.00,2253.23,0.00,0.00,0.00,0.00,255.783
1779033744.454,47.50,2381.27,0.00,0.00,0.00,0.00,255.783
1779033744.554,46.30,2419.62,0.00,0.00,0.00,0.00,255.783
1779033744.655,46.90,2382.41,0.00,0.00,0.00,0.00,255.783
1779033744.755,46.20,2307.11,0.00,0.00,0.00,0.00,255.783
1779033744.855,46.20,2387.87,0.00,0.00,0.00,0.00,255.783
1779033744.956,47.50,2376.25,0.00,0.00,0.00,0.00,255.783
1779033745.056,50.60,2388.44,0.00,0.00,0.00,0.00,255.783
1779033745.156,49.40,2351.90,0.00,0.00,0.00,0.00,255.783
1779033745.257,50.60,2376.26,0.00,0.00,0.00,0.00,255.783
1779033745.357,49.40,2388.44,0.00,0.00,0.00,0.00,255.783
1779033745.458,50.00,2400.62,0.00,0.00,0.00,0.00,255.783
1779033745.559,30.00,2370.23,0.00,0.00,0.00,0.00,255.783
1779033745.659,50.00,2449.11,0.00,0.00,0.00,0.00,255.783
1779033745.759,47.50,2473.97,0.00,0.00,0.00,0.00,255.783
1779033745.860,48.80,2584.39,0.00,0.00,0.00,0.00,255.783
1779033745.960,49.40,2584.39,0.00,0.00,0.00,0.00,255.783
1779033746.061,48.70,2530.71,0.00,0.00,0.00,0.00,255.783
1779033746.161,47.50,2497.87,0.00,0.00,0.00,0.00,255.783
