timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1779033606.067,0.00,1184.88,0.00,0.00,0.00,0.00,99.774
1779033606.167,0.00,1184.91,0.00,0.00,0.00,0.00,99.774
1779033606.267,25.90,1260.07,0.00,0.00,0.00,0.00,99.774
1779033606.368,43.80,1324.13,0.00,0.00,0.00,0.00,99.774
1779033606.468,35.40,1408.57,0.00,0.00,0.00,0.00,99.774
1779033606.568,12.50,1469.79,0.00,0.00,0.00,0.00,99.774
1779033606.669,4.90,1476.27,0.00,0.00,0.00,0.00,99.774
1779033606.770,6.30,1548.45,0.00,0.00,0.00,0.00,99.774
1779033606.870,12.30,1652.28,0.00,0.00,0.00,0.00,99.774
1779033606.971,23.20,1677.19,0.00,0.00,0.00,0.00,99.774
1779033607.072,0.00,1677.19,0.00,0.00,0.00,0.00,99.774
1779033607.172,0.00,1677.19,0.00,0.00,0.00,0.00,99.774
1779033607.272,0.00,1677.19,0.00,0.00,0.00,0.00,99.774
1779033607.372,0.00,1677.19,0.00,0.00,0.00,0.00,99.774
1779033607.472,0.00,1677.19,0.00,0.00,0.00,0.00,99.774
1779033607.572,0.00,1677.19,0.00,0.00,0.00,0.00,99.774
1779033607.673,0.00,1677.19,0.00,0.00,0.00,0.00,99.774
1779033607.773,0.00,1677.19,0.00,0.00,0.00,0.00,99.774
1779033607.873,0.00,1677.19,0.00,0.00,0.00,0.00,99.774
1779033607.973,0.00,1677.19,0.00,0.00,0.00,0.00,99.774
1779033608.074,0.00,1677.19,0.00,0.00,0.00,0.00,99.774
1779033608.174,0.00,1677.19,0.00,0.00,0.00,0.00,99.774
1779033608.274,0.00,1677.19,0.00,0.00,0.00,0.00,99.774
1779033608.374,0.00,1677.19,0.00,0.00,0.00,0.00,99.774
1779033608.474,0.00,1677.19,0.00,0.00,0.00,0.00,99.774
1779033608.575,0.00,1677.19,0.00,0.00,0.00,0.00,99.774
1779033608.675,0.00,1677.19,0.00,0.00,0.00,0.00,99.774
1779033608.775,0.00,1677.19,0.00,0.00,0.00,0.00,99.774
1779033608.875,0.00,1677.19,0.00,0.00,0.00,0.00,99.774
1779033608.975,0.00,1677.19,0.00,0.00,0.00,0.00,99.774
1779033609.075,0.00,1677.19,0.00,0.00,0.00,0.00,99.774
1779033609.243,8.10,1706.00,0.00,0.00,0.00,0.00,99.774
1779033609.345,92.60,1706.23,0.00,0.00,0.00,0.00,99.774
1779033609.445,34.20,1706.25,0.00,0.00,0.00,0.00,99.774
1779033609.545,1.20,1706.27,0.00,0.00,0.00,0.00,99.774
1779033609.653,4.50,1709.27,0.00,0.00,0.00,0.00,99.774
1779033609.761,1.20,1709.38,0.00,0.00,0.00,0.00,99.774
1779033609.867,12.90,1896.91,0.00,0.00,0.00,0.00,99.774
1779033609.967,13.60,1951.07,0.00,0.00,0.00,0.00,99.774
1779033610.067,12.50,1951.20,0.00,0.00,0.00,0.00,99.774
1779033610.168,12.30,1982.78,0.00,0.00,0.00,0.00,99.774
1779033610.268,12.50,2054.10,0.00,0.00,0.00,0.00,99.774
1779033610.368,11.40,2125.58,0.00,0.00,0.00,0.00,99.774
1779033610.469,12.50,2198.66,0.00,0.00,0.00,0.00,99.774
1779033610.569,12.50,2203.21,0.00,0.00,0.00,0.00,99.774
1779033610.669,24.70,2383.94,0.00,0.00,0.00,0.00,99.774
1779033610.769,15.00,1973.39,0.00,0.00,0.00,0.00,99.774
1779033610.870,49.40,1998.49,0.00,0.00,0.00,0.00,99.774
1779033610.970,47.50,2029.56,0.00,0.00,0.00,0.00,99.774
1779033611.070,47.50,2169.13,0.00,0.00,0.00,0.00,99.774
1779033611.171,47.50,2201.73,0.00,0.00,0.00,0.00,99.774
1779033611.271,48.10,2146.14,0.00,0.00,0.00,0.00,99.774
1779033611.371,46.80,2133.53,0.00,0.00,0.00,0.00,99.774
1779033611.472,51.30,2325.16,0.00,0.00,0.00,0.00,99.774
1779033611.572,45.70,2303.85,0.00,0.00,0.00,0.00,99.774
1779033611.673,45.60,2284.50,0.00,0.00,0.00,0.00,99.774
1779033611.773,46.30,2214.48,0.00,0.00,0.00,0.00,99.774
1779033611.873,46.20,2218.76,0.00,0.00,0.00,0.00,99.774
1779033611.974,50.00,2410.37,0.00,0.00,0.00,0.00,99.774
1779033612.074,45.70,2389.06,0.00,0.00,0.00,0.00,99.774
1779033612.174,46.90,2361.18,0.00,0.00,0.00,0.00,99.774
1779033612.275,45.60,2293.98,0.00,0.00,0.00,0.00,99.774
1779033612.375,46.20,2308.78,0.00,0.00,0.00,0.00,99.774
1779033612.475,50.60,2495.58,0.00,0.00,0.00,0.00,99.774
1779033612.576,45.00,2353.32,0.00,0.00,0.00,0.00,99.774
1779033612.677,44.40,2433.29,0.00,0.00,0.00,0.00,99.774
1779033612.777,49.40,2446.38,0.00,0.00,0.00,0.00,99.774
1779033612.877,50.60,2446.39,0.00,0.00,0.00,0.00,99.774
1779033612.978,49.40,2459.45,0.00,0.00,0.00,0.00,99.774
1779033613.078,50.00,2459.45,0.00,0.00,0.00,0.00,99.774
1779033613.178,50.00,2459.45,0.00,0.00,0.00,0.00,99.774
1779033613.279,50.00,2459.45,0.00,0.00,0.00,0.00,99.774
1779033613.379,30.00,2460.57,0.00,0.00,0.00,0.00,99.774
1779033613.480,50.60,2532.64,0.00,0.00,0.00,0.00,99.774
1779033613.580,50.00,2617.24,0.00,0.00,0.00,0.00,99.774
1779033613.681,50.00,2669.47,0.00,0.00,0.00,0.00,99.774
1779033613.782,48.10,2669.47,0.00,0.00,0.00,0.00,99.774
1779033613.883,49.40,2617.25,0.00,0.00,0.00,0.00,99.774
1779033613.983,48.10,2560.35,0.00,0.00,0.00,0.00,99.774
1779033614.083,48.10,2581.23,0.00,0.00,0.00,0.00,99.774
1779033614.184,50.00,2631.69,0.00,0.00,0.00,0.00,99.774
1779033614.284,48.80,2669.50,0.00,0.00,0.00,0.00,99.774
1779033614.384,48.80,2721.72,0.00,0.00,0.00,0.00,99.774
1779033614.485,47.50,2650.67,0.00,0.00,0.00,0.00,99.774
1779033614.585,49.40,2670.43,0.00,0.00,0.00,0.00,99.774
1779033614.685,48.70,2631.69,0.00,0.00,0.00,0.00,99.774
1779033614.786,47.50,2613.53,0.00,0.00,0.00,0.00,99.774
1779033614.886,50.60,2635.45,0.00,0.00,0.00,0.00,99.774
1779033614.987,48.70,2615.31,0.00,0.00,0.00,0.00,99.774
1779033615.087,49.40,2631.74,0.00,0.00,0.00,0.00,99.774
1779033615.187,48.80,2662.95,0.00,0.00,0.00,0.00,99.774
1779033615.288,49.40,2702.99,0.00,0.00,0.00,0.00,99.774
1779033615.388,48.80,2664.51,0.00,0.00,0.00,0.00,99.774
1779033615.488,50.00,2705.45,0.00,0.00,0.00,0.00,99.774
1779033615.589,48.80,2658.76,0.00,0.00,0.00,0.00,99.774
1779033615.689,49.40,2669.54,0.00,0.00,0.00,0.00,99.774
1779033615.789,48.80,2660.05,0.00,0.00,0.00,0.00,99.774
1779033615.890,50.00,2669.54,0.00,0.00,0.00,0.00,99.774
