timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1779033564.270,0.00,1183.64,0.00,0.00,0.00,0.00,14.712
1779033564.371,0.00,1183.67,0.00,0.00,0.00,0.00,14.712
1779033564.471,24.70,1257.82,0.00,0.00,0.00,0.00,14.712
1779033564.571,43.70,1322.64,0.00,0.00,0.00,0.00,14.712
1779033564.672,37.00,1406.16,0.00,0.00,0.00,0.00,14.712
1779033564.772,12.50,1467.94,0.00,0.00,0.00,0.00,14.712
1779033564.872,2.50,1475.04,0.00,0.00,0.00,0.00,14.712
1779033564.972,8.50,1550.83,0.00,0.00,0.00,0.00,14.712
1779033565.073,12.50,1657.71,0.00,0.00,0.00,0.00,14.712
1779033565.173,21.50,1675.96,0.00,0.00,0.00,0.00,14.712
1779033565.273,0.00,1675.96,0.00,0.00,0.00,0.00,14.712
1779033565.374,0.00,1675.96,0.00,0.00,0.00,0.00,14.712
1779033565.474,0.00,1675.96,0.00,0.00,0.00,0.00,14.712
1779033565.574,0.00,1675.96,0.00,0.00,0.00,0.00,14.712
1779033565.674,0.00,1675.96,0.00,0.00,0.00,0.00,14.712
1779033565.774,0.00,1675.96,0.00,0.00,0.00,0.00,14.712
1779033565.875,0.00,1675.96,0.00,0.00,0.00,0.00,14.712
1779033565.975,0.00,1675.96,0.00,0.00,0.00,0.00,14.712
1779033566.075,0.00,1675.96,0.00,0.00,0.00,0.00,14.712
1779033566.175,0.00,1675.96,0.00,0.00,0.00,0.00,14.712
1779033566.275,0.00,1675.96,0.00,0.00,0.00,0.00,14.712
1779033566.376,0.00,1675.96,0.00,0.00,0.00,0.00,14.712
1779033566.476,0.00,1675.96,0.00,0.00,0.00,0.00,14.712
1779033566.576,0.00,1675.96,0.00,0.00,0.00,0.00,14.712
1779033566.676,0.00,1675.96,0.00,0.00,0.00,0.00,14.712
1779033566.776,0.00,1675.96,0.00,0.00,0.00,0.00,14.712
1779033566.943,8.80,1704.79,0.00,0.00,0.00,0.00,14.712
1779033567.045,91.10,1705.00,0.00,0.00,0.00,0.00,14.712
1779033567.145,30.90,1705.01,0.00,0.00,0.00,0.00,14.712
1779033567.245,0.00,1705.02,0.00,0.00,0.00,0.00,14.712
1779033567.345,2.50,1705.04,0.00,0.00,0.00,0.00,14.712
1779033567.446,3.80,1708.56,0.00,0.00,0.00,0.00,14.712
1779033567.548,7.30,1709.41,0.00,0.00,0.00,0.00,14.712
1779033567.649,12.30,1921.55,0.00,0.00,0.00,0.00,14.712
1779033567.749,12.50,1950.38,0.00,0.00,0.00,0.00,14.712
1779033567.849,12.50,1950.51,0.00,0.00,0.00,0.00,14.712
1779033567.949,12.50,2004.23,0.00,0.00,0.00,0.00,14.712
1779033568.050,12.50,2075.89,0.00,0.00,0.00,0.00,14.712
1779033568.150,13.60,2148.02,0.00,0.00,0.00,0.00,14.712
1779033568.250,12.50,2200.21,0.00,0.00,0.00,0.00,14.712
1779033568.350,17.50,2332.21,0.00,0.00,0.00,0.00,14.712
1779033568.451,15.00,2380.94,0.00,0.00,0.00,0.00,14.712
1779033568.551,35.40,1972.12,0.00,0.00,0.00,0.00,14.712
1779033568.651,46.90,2013.23,0.00,0.00,0.00,0.00,14.712
1779033568.752,46.30,2089.38,0.00,0.00,0.00,0.00,14.712
1779033568.852,48.10,2094.45,0.00,0.00,0.00,0.00,14.712
1779033568.952,50.00,2301.09,0.00,0.00,0.00,0.00,14.712
1779033569.053,46.30,2254.09,0.00,0.00,0.00,0.00,14.712
1779033569.153,45.60,2182.68,0.00,0.00,0.00,0.00,14.712
1779033569.253,48.10,2161.49,0.00,0.00,0.00,0.00,14.712
1779033569.354,49.40,2278.91,0.00,0.00,0.00,0.00,14.712
1779033569.454,45.60,2383.33,0.00,0.00,0.00,0.00,14.712
1779033569.555,46.90,2332.22,0.00,0.00,0.00,0.00,14.712
1779033569.655,45.00,2232.19,0.00,0.00,0.00,0.00,14.712
1779033569.755,46.20,2237.99,0.00,0.00,0.00,0.00,14.712
1779033569.856,49.40,2479.19,0.00,0.00,0.00,0.00,14.712
1779033569.957,46.30,2374.39,0.00,0.00,0.00,0.00,14.712
1779033570.057,45.70,2345.17,0.00,0.00,0.00,0.00,14.712
1779033570.158,46.20,2305.52,0.00,0.00,0.00,0.00,14.712
1779033570.258,50.00,2501.54,0.00,0.00,0.00,0.00,14.712
1779033570.358,44.40,2362.53,0.00,0.00,0.00,0.00,14.712
1779033570.459,43.80,2420.54,0.00,0.00,0.00,0.00,14.712
1779033570.559,50.00,2420.58,0.00,0.00,0.00,0.00,14.712
1779033570.659,50.00,2447.32,0.00,0.00,0.00,0.00,14.712
1779033570.760,50.00,2460.69,0.00,0.00,0.00,0.00,14.712
1779033570.860,50.60,2420.60,0.00,0.00,0.00,0.00,14.712
1779033570.961,50.00,2433.96,0.00,0.00,0.00,0.00,14.712
1779033571.061,50.00,2447.33,0.00,0.00,0.00,0.00,14.712
1779033571.161,37.00,2447.33,0.00,0.00,0.00,0.00,14.712
1779033571.262,42.50,2501.94,0.00,0.00,0.00,0.00,14.712
1779033571.362,45.00,2568.92,0.00,0.00,0.00,0.00,14.712
1779033571.463,48.10,2568.92,0.00,0.00,0.00,0.00,14.712
1779033571.564,48.70,2622.41,0.00,0.00,0.00,0.00,14.712
1779033571.665,48.10,2622.41,0.00,0.00,0.00,0.00,14.712
1779033571.765,48.70,2598.16,0.00,0.00,0.00,0.00,14.712
1779033571.866,47.50,2531.13,0.00,0.00,0.00,0.00,14.712
1779033571.966,47.50,2622.43,0.00,0.00,0.00,0.00,14.712
1779033572.066,48.10,2622.43,0.00,0.00,0.00,0.00,14.712
1779033572.167,48.70,2613.50,0.00,0.00,0.00,0.00,14.712
1779033572.267,48.10,2646.11,0.00,0.00,0.00,0.00,14.712
1779033572.367,48.10,2568.96,0.00,0.00,0.00,0.00,14.712
1779033572.468,50.60,2622.43,0.00,0.00,0.00,0.00,14.712
1779033572.568,48.70,2675.90,0.00,0.00,0.00,0.00,14.712
1779033572.669,46.30,2532.74,0.00,0.00,0.00,0.00,14.712
1779033572.769,50.00,2569.00,0.00,0.00,0.00,0.00,14.712
1779033572.869,49.40,2532.81,0.00,0.00,0.00,0.00,14.712
1779033572.970,49.40,2569.00,0.00,0.00,0.00,0.00,14.712
1779033573.070,48.10,2581.15,0.00,0.00,0.00,0.00,14.712
1779033573.170,50.60,2622.48,0.00,0.00,0.00,0.00,14.712
1779033573.271,47.50,2581.29,0.00,0.00,0.00,0.00,14.712
1779033573.371,50.00,2622.48,0.00,0.00,0.00,0.00,14.712
1779033573.471,48.70,2572.61,0.00,0.00,0.00,0.00,14.712
1779033573.572,50.00,2622.48,0.00,0.00,0.00,0.00,14.712
1779033573.672,48.10,2572.00,0.00,0.00,0.00,0.00,14.712
1779033573.773,50.00,2622.48,0.00,0.00,0.00,0.00,14.712
1779033573.873,48.10,2549.41,0.00,0.00,0.00,0.00,14.712
1779033573.973,26.60,2462.06,0.00,0.00,0.00,0.00,14.712
1779033574.074,36.20,2526.71,0.00,0.00,0.00,0.00,14.712
1779033574.174,39.50,2569.08,0.00,0.00,0.00,0.00,14.712
1779033574.274,36.20,2531.28,0.00,0.00,0.00,0.00,14.712
1779033574.375,39.50,2588.81,0.00,0.00,0.00,0.00,14.712
1779033574.475,37.50,2527.92,0.00,0.00,0.00,0.00,14.712
1779033574.575,47.50,2574.52,0.00,0.00,0.00,0.00,14.712
1779033574.676,37.50,2569.90,0.00,0.00,0.00,0.00,14.712
1779033574.776,30.00,2526.44,0.00,0.00,0.00,0.00,14.712
1779033574.876,33.30,2569.12,0.00,0.00,0.00,0.00,14.712
1779033574.977,48.10,2622.59,0.00,0.00,0.00,0.00,14.712
1779033575.077,33.70,2676.07,0.00,0.00,0.00,0.00,14.712
1779033575.177,45.00,2599.24,0.00,0.00,0.00,0.00,14.712
1779033575.278,41.30,2676.07,0.00,0.00,0.00,0.00,14.712
1779033575.378,35.80,2494.01,0.00,0.00,0.00,0.00,14.712
1779033575.478,50.00,2606.82,0.00,0.00,0.00,0.00,14.712
1779033575.579,48.10,2559.42,0.00,0.00,0.00,0.00,14.712
1779033575.679,47.50,2594.00,0.00,0.00,0.00,0.00,14.712
1779033575.779,48.80,2579.95,0.00,0.00,0.00,0.00,14.712
