timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1779034558.652,0.00,1125.98,0.00,441.25,27.00,56.61,9.840
1779034558.757,13.30,1128.23,0.00,441.25,27.00,56.61,9.840
1779034558.857,33.30,1184.69,0.00,441.25,27.00,56.67,9.840
1779034558.958,51.30,1226.81,0.00,441.25,27.00,56.66,9.840
1779034559.058,53.70,1263.52,0.00,441.25,27.00,56.68,9.840
1779034559.159,51.90,1308.97,0.00,441.25,27.00,56.69,9.840
1779034559.259,42.50,1363.73,0.00,441.25,27.00,56.66,9.840
1779034559.360,25.00,1413.22,0.00,441.25,27.00,56.67,9.840
1779034559.460,25.00,1501.43,0.00,508.56,27.00,56.67,9.840
1779034559.561,21.00,1512.20,0.00,900.56,27.00,57.00,9.840
1779034559.661,17.50,1520.66,0.00,970.56,27.00,57.11,9.840
1779034559.762,24.70,1521.31,12.00,1098.56,27.00,57.12,9.840
1779034559.864,17.10,1521.63,12.00,1102.56,27.00,57.20,9.840
1779034559.965,12.50,1521.63,12.00,1102.56,27.00,57.21,9.840
1779034560.065,12.50,1521.63,12.00,1102.56,27.00,57.22,9.840
1779034560.165,12.30,1521.63,0.00,1102.56,27.00,57.21,9.840
1779034560.266,11.20,1521.63,0.00,1102.56,27.00,57.20,9.840
1779034560.366,6.20,1521.63,0.00,1102.56,27.00,57.23,9.840
1779034560.467,0.00,1521.63,0.00,1102.56,27.00,57.23,9.840
1779034560.567,0.00,1521.63,0.00,1102.56,27.00,57.24,9.840
1779034560.667,0.00,1521.63,0.00,1102.56,27.00,56.93,9.840
1779034560.767,0.00,1521.63,0.00,1102.56,27.00,56.78,9.840
1779034560.868,0.00,1521.63,0.00,1102.56,27.00,56.78,9.840
1779034560.968,0.00,1521.63,0.00,1102.56,27.00,56.68,9.840
1779034561.068,0.00,1521.63,0.00,1102.56,27.00,56.59,9.840
1779034561.168,0.00,1521.63,0.00,1102.56,27.00,56.61,9.840
1779034561.315,9.40,1550.76,0.00,1102.56,27.00,56.60,9.840
1779034561.417,92.60,1551.02,0.00,1102.56,27.00,56.58,9.840
1779034561.517,33.30,1551.03,0.00,1102.56,27.00,56.59,9.840
1779034561.622,1.20,1551.05,0.00,1102.56,27.00,56.57,9.840
1779034561.730,2.20,1558.05,0.00,1102.56,27.00,56.56,9.840
