timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1779034533.079,0.00,1124.73,0.00,441.25,27.00,56.51,5.719
1779034533.183,1.20,1126.78,0.00,441.25,27.00,56.51,5.719
1779034533.284,24.10,1196.75,0.00,441.25,27.00,56.53,5.719
1779034533.384,40.70,1253.89,0.00,441.25,27.00,56.52,5.719
1779034533.485,42.50,1322.52,0.00,441.25,27.00,56.53,5.719
1779034533.585,17.50,1380.98,0.00,441.25,27.00,56.54,5.719
1779034533.685,13.60,1467.54,0.00,455.81,27.00,56.54,5.719
1779034533.786,11.30,1510.92,0.00,800.56,27.00,56.54,5.719
1779034533.886,4.90,1510.92,0.00,900.56,27.00,56.86,5.719
1779034533.987,9.90,1519.64,18.00,1022.56,27.00,56.90,5.719
1779034534.089,12.30,1520.36,18.00,1102.56,27.00,57.02,5.719
1779034534.189,0.00,1520.36,11.00,1102.56,27.00,57.09,5.719
1779034534.290,0.00,1520.36,11.00,1102.56,27.00,57.09,5.719
1779034534.390,0.00,1520.36,0.00,1102.56,27.00,57.09,5.719
1779034534.490,0.00,1520.36,0.00,1102.56,27.00,57.08,5.719
1779034534.590,0.00,1520.36,0.00,1102.56,27.00,57.08,5.719
1779034534.691,0.00,1520.36,0.00,1102.56,27.00,57.09,5.719
1779034534.791,0.00,1520.36,0.00,1102.56,27.00,57.08,5.719
1779034534.891,0.00,1520.36,0.00,1102.56,27.00,57.08,5.719
1779034534.991,0.00,1520.36,0.00,1102.56,27.00,56.76,5.719
1779034535.092,0.00,1520.36,0.00,1102.56,27.00,56.75,5.719
1779034535.192,0.00,1520.36,0.00,1102.56,27.00,56.64,5.719
1779034535.292,0.00,1520.36,0.00,1102.56,27.00,56.55,5.719
1779034535.392,0.00,1520.36,0.00,1102.56,27.00,56.54,5.719
1779034535.493,0.00,1520.36,0.00,1102.56,27.00,56.52,5.719
1779034535.593,0.00,1520.36,0.00,1102.56,27.00,56.53,5.719
1779034535.693,0.00,1520.36,0.00,1102.56,27.00,56.53,5.719
1779034535.793,0.00,1520.36,0.00,1102.56,27.00,56.51,5.719
1779034535.894,0.00,1520.36,0.00,1102.56,27.00,56.52,5.719
1779034535.994,0.00,1520.36,0.00,1102.56,27.00,56.53,5.719
1779034536.094,0.00,1520.36,0.00,1102.56,27.00,56.52,5.719
1779034536.194,0.00,1520.36,0.00,1102.56,27.00,56.52,5.719
