timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1779034503.001,0.00,1125.11,0.00,441.25,27.00,56.59,3.629
1779034503.105,1.20,1125.53,0.00,441.25,27.00,56.59,3.629
1779034503.206,23.50,1195.88,0.00,441.25,27.00,56.59,3.629
1779034503.306,40.70,1254.23,0.00,441.25,27.00,56.56,3.629
1779034503.407,41.80,1321.18,0.00,441.25,27.00,56.58,3.629
1779034503.507,19.80,1380.14,0.00,441.25,27.00,56.57,3.629
1779034503.608,12.50,1467.86,0.00,455.69,27.00,56.55,3.629
1779034503.708,12.30,1511.27,0.00,800.56,27.00,56.54,3.629
1779034503.808,3.80,1511.28,0.00,900.56,27.00,56.87,3.629
1779034503.909,8.70,1519.97,19.00,1002.56,27.00,56.89,3.629
1779034504.010,12.30,1520.71,19.00,1102.56,28.00,57.00,3.629
1779034504.110,0.00,1520.71,11.00,1102.56,27.00,57.10,3.629
1779034504.211,0.00,1520.71,11.00,1102.56,28.00,57.12,3.629
1779034504.311,0.00,1520.71,0.00,1102.56,27.00,57.11,3.629
1779034504.411,0.00,1520.71,0.00,1102.56,28.00,57.12,3.629
1779034504.511,0.00,1520.71,0.00,1102.56,27.00,57.11,3.629
1779034504.611,0.00,1520.71,0.00,1102.56,27.00,57.12,3.629
1779034504.712,0.00,1520.71,0.00,1102.56,27.00,57.13,3.629
1779034504.812,0.00,1520.71,0.00,1102.56,27.00,57.15,3.629
1779034504.912,0.00,1520.71,0.00,1102.56,27.00,56.80,3.629
1779034505.012,0.00,1520.71,0.00,1102.56,27.00,56.79,3.629
1779034505.112,0.00,1520.71,0.00,1102.56,27.00,56.67,3.629
1779034505.213,0.00,1520.71,0.00,1102.56,27.00,56.56,3.629
1779034505.313,0.00,1520.71,0.00,1102.56,27.00,56.53,3.629
1779034505.413,0.00,1520.71,0.00,1102.56,27.00,56.54,3.629
1779034505.513,0.00,1520.71,0.00,1102.56,27.00,56.53,3.629
1779034505.613,0.00,1520.71,0.00,1102.56,27.00,56.55,3.629
1779034505.714,0.00,1520.71,0.00,1102.56,28.00,56.53,3.629
1779034505.814,0.00,1520.71,0.00,1102.56,27.00,56.54,3.629
1779034505.914,0.00,1520.71,0.00,1102.56,28.00,56.54,3.629
1779034506.014,0.00,1520.71,0.00,1102.56,27.00,56.53,3.629
1779034506.115,0.00,1520.71,0.00,1102.56,28.00,56.54,3.629
1779034506.215,0.00,1520.71,0.00,1102.56,27.00,56.54,3.629
1779034506.315,0.00,1520.71,0.00,1102.56,27.00,56.55,3.629
1779034506.415,0.00,1520.71,0.00,1102.56,27.00,56.58,3.629
1779034506.516,0.00,1520.71,0.00,1102.56,27.00,56.55,3.629
1779034506.616,0.00,1520.71,0.00,1102.56,27.00,56.55,3.629
1779034506.716,0.00,1520.71,0.00,1102.56,27.00,56.55,3.629
1779034506.816,0.00,1520.71,0.00,1102.56,27.00,56.55,3.629
1779034506.916,0.00,1520.71,0.00,1102.56,27.00,56.55,3.629
1779034507.017,0.00,1520.71,0.00,1102.56,27.00,56.55,3.629
1779034507.117,0.00,1520.71,0.00,1102.56,27.00,56.57,3.629
1779034507.217,0.00,1520.71,0.00,1102.56,28.00,56.56,3.629
1779034507.317,0.00,1520.71,0.00,1102.56,27.00,56.57,3.629
1779034507.417,0.00,1520.71,0.00,1102.56,28.00,56.55,3.629
1779034507.550,10.30,1549.84,0.00,1102.56,27.00,56.54,3.629
1779034507.651,92.50,1550.09,0.00,1102.56,27.00,56.56,3.629
1779034507.751,28.80,1550.09,0.00,1102.56,28.00,56.55,3.629
1779034507.852,1.20,1550.11,0.00,1102.56,27.00,56.54,3.629
1779034507.955,3.60,1557.08,0.00,1102.56,28.00,56.54,3.629
1779034508.055,1.20,1553.58,0.00,1102.56,27.00,56.53,3.629
1779034508.159,13.10,1562.94,0.00,1102.56,27.00,56.53,3.629
1779034508.260,11.40,1567.89,0.00,1102.56,27.00,56.53,3.629
1779034508.361,13.40,1734.80,0.00,1102.56,27.00,56.51,3.629
1779034508.461,12.50,1801.08,0.00,1102.56,27.00,56.53,3.629
1779034508.561,12.50,1827.07,0.00,1102.56,27.00,56.52,3.629
1779034508.662,12.50,1874.66,0.00,1102.56,27.00,56.53,3.629
1779034508.762,12.30,1918.77,0.00,1102.56,27.00,56.53,3.629
1779034508.862,12.50,1979.28,0.00,1102.56,28.00,56.52,3.629
1779034508.963,12.50,2039.97,0.00,1102.56,27.00,56.52,3.629
1779034509.063,12.50,2100.36,0.00,1102.56,28.00,56.52,3.629
1779034509.163,12.50,2162.13,0.00,1102.56,27.00,56.53,3.629
1779034509.264,12.50,2162.55,0.00,1102.56,28.00,56.53,3.629
1779034509.364,26.30,2343.55,0.00,1102.56,27.00,56.51,3.629
1779034509.464,3.70,1834.08,0.00,1192.56,28.00,56.52,3.629
1779034509.565,11.40,1627.34,0.00,1454.56,27.00,56.78,3.629
1779034509.665,15.90,1716.12,17.00,1478.56,28.00,56.80,3.629
1779034509.765,12.50,1812.03,17.00,1480.56,28.00,57.03,3.629
1779034509.866,10.10,1926.61,1.00,1480.56,28.00,57.13,3.629
1779034509.966,0.00,1926.68,1.00,1480.56,28.00,57.16,3.629
1779034510.066,0.00,1926.74,0.00,1480.56,27.00,57.17,3.629
1779034510.166,0.00,1926.80,0.00,1480.56,28.00,57.18,3.629
1779034510.267,0.00,1926.86,0.00,1480.56,27.00,57.17,3.629
1779034510.367,0.00,1926.92,0.00,1480.56,28.00,57.19,3.629
1779034510.467,0.00,1926.98,0.00,1480.56,27.00,57.19,3.629
1779034510.567,12.30,2074.61,0.00,1480.56,28.00,57.21,3.629
1779034510.668,11.40,2111.89,3.00,2272.56,27.00,57.07,3.629
