timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1779036747.551,0.00,1185.12,0.00,0.00,0.00,0.00,215.767
1779036747.651,1.20,1188.16,0.00,0.00,0.00,0.00,215.767
1779036747.751,28.80,1275.38,0.00,0.00,0.00,0.00,215.767
1779036747.852,42.50,1347.48,0.00,0.00,0.00,0.00,215.767
1779036747.952,28.40,1435.37,0.00,0.00,0.00,0.00,215.767
1779036748.053,10.00,1476.52,0.00,0.00,0.00,0.00,215.767
1779036748.153,2.50,1509.98,0.00,0.00,0.00,0.00,215.767
1779036748.253,13.60,1632.95,0.00,0.00,0.00,0.00,215.767
1779036748.354,21.30,1677.43,0.00,0.00,0.00,0.00,215.767
1779036748.454,0.00,1677.43,0.00,0.00,0.00,0.00,215.767
1779036748.555,0.00,1677.43,0.00,0.00,0.00,0.00,215.767
1779036748.655,0.00,1677.43,0.00,0.00,0.00,0.00,215.767
1779036748.755,0.00,1677.43,0.00,0.00,0.00,0.00,215.767
1779036748.856,0.00,1677.43,0.00,0.00,0.00,0.00,215.767
1779036748.956,0.00,1677.43,0.00,0.00,0.00,0.00,215.767
1779036749.056,0.00,1677.43,0.00,0.00,0.00,0.00,215.767
1779036749.156,0.00,1677.43,0.00,0.00,0.00,0.00,215.767
1779036749.257,0.00,1677.43,0.00,0.00,0.00,0.00,215.767
1779036749.357,0.00,1677.43,0.00,0.00,0.00,0.00,215.767
1779036749.457,0.00,1677.43,0.00,0.00,0.00,0.00,215.767
1779036749.558,1.20,1677.43,0.00,0.00,0.00,0.00,215.767
1779036749.658,0.00,1677.43,0.00,0.00,0.00,0.00,215.767
1779036749.758,0.00,1677.43,0.00,0.00,0.00,0.00,215.767
1779036749.858,0.00,1677.43,0.00,0.00,0.00,0.00,215.767
1779036749.959,0.00,1677.43,0.00,0.00,0.00,0.00,215.767
1779036750.059,0.00,1677.43,0.00,0.00,0.00,0.00,215.767
1779036750.159,0.00,1677.43,0.00,0.00,0.00,0.00,215.767
1779036750.260,0.00,1677.43,0.00,0.00,0.00,0.00,215.767
1779036750.360,0.00,1677.43,0.00,0.00,0.00,0.00,215.767
