timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1779036640.324,0.00,1184.66,0.00,0.00,0.00,0.00,86.614
1779036640.424,0.00,1184.66,0.00,0.00,0.00,0.00,86.614
1779036640.524,21.30,1258.83,0.00,0.00,0.00,0.00,86.614
1779036640.624,43.70,1326.66,0.00,0.00,0.00,0.00,86.614
1779036640.725,32.10,1426.12,0.00,0.00,0.00,0.00,86.614
1779036640.825,10.00,1476.05,0.00,0.00,0.00,0.00,86.614
1779036640.925,1.20,1482.06,0.00,0.00,0.00,0.00,86.614
1779036641.027,12.50,1612.97,0.00,0.00,0.00,0.00,86.614
1779036641.127,23.50,1676.98,0.00,0.00,0.00,0.00,86.614
1779036641.227,0.00,1676.98,0.00,0.00,0.00,0.00,86.614
1779036641.328,0.00,1676.98,0.00,0.00,0.00,0.00,86.614
1779036641.428,0.00,1676.98,0.00,0.00,0.00,0.00,86.614
1779036641.528,0.00,1676.98,0.00,0.00,0.00,0.00,86.614
1779036641.628,0.00,1676.98,0.00,0.00,0.00,0.00,86.614
1779036641.729,0.00,1676.98,0.00,0.00,0.00,0.00,86.614
1779036641.829,0.00,1676.98,0.00,0.00,0.00,0.00,86.614
1779036641.929,0.00,1676.98,0.00,0.00,0.00,0.00,86.614
1779036642.030,0.00,1676.98,0.00,0.00,0.00,0.00,86.614
1779036642.130,0.00,1676.98,0.00,0.00,0.00,0.00,86.614
1779036642.230,0.00,1676.98,0.00,0.00,0.00,0.00,86.614
1779036642.331,0.00,1676.98,0.00,0.00,0.00,0.00,86.614
1779036642.431,0.00,1676.98,0.00,0.00,0.00,0.00,86.614
1779036642.531,0.00,1676.98,0.00,0.00,0.00,0.00,86.614
1779036642.633,1.20,1676.99,0.00,0.00,0.00,0.00,86.614
1779036642.734,28.80,1705.91,0.00,0.00,0.00,0.00,86.614
1779036642.834,91.30,1706.05,0.00,0.00,0.00,0.00,86.614
