timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1779036581.061,0.00,1183.68,0.00,0.00,0.00,0.00,12.521
1779036581.161,1.20,1183.70,0.00,0.00,0.00,0.00,12.521
1779036581.261,28.70,1269.21,0.00,0.00,0.00,0.00,12.521
1779036581.362,41.20,1344.30,0.00,0.00,0.00,0.00,12.521
1779036581.462,28.40,1435.37,0.00,0.00,0.00,0.00,12.521
1779036581.562,8.80,1475.06,0.00,0.00,0.00,0.00,12.521
1779036581.663,3.70,1509.14,0.00,0.00,0.00,0.00,12.521
1779036581.763,12.50,1633.98,0.00,0.00,0.00,0.00,12.521
1779036581.863,22.20,1675.99,0.00,0.00,0.00,0.00,12.521
1779036581.964,0.00,1675.99,0.00,0.00,0.00,0.00,12.521
1779036582.064,0.00,1675.99,0.00,0.00,0.00,0.00,12.521
1779036582.164,0.00,1675.99,0.00,0.00,0.00,0.00,12.521
1779036582.265,0.00,1675.99,0.00,0.00,0.00,0.00,12.521
1779036582.365,0.00,1675.99,0.00,0.00,0.00,0.00,12.521
1779036582.465,0.00,1675.99,0.00,0.00,0.00,0.00,12.521
1779036582.565,0.00,1675.99,0.00,0.00,0.00,0.00,12.521
1779036582.666,0.00,1675.99,0.00,0.00,0.00,0.00,12.521
1779036582.766,0.00,1675.99,0.00,0.00,0.00,0.00,12.521
1779036582.866,0.00,1675.99,0.00,0.00,0.00,0.00,12.521
1779036582.967,0.00,1675.99,0.00,0.00,0.00,0.00,12.521
1779036583.067,0.00,1675.99,0.00,0.00,0.00,0.00,12.521
1779036583.167,0.00,1676.49,0.00,0.00,0.00,0.00,12.521
1779036583.267,30.00,1704.90,0.00,0.00,0.00,0.00,12.521
1779036583.368,90.10,1705.04,0.00,0.00,0.00,0.00,12.521
1779036583.468,15.00,1705.05,0.00,0.00,0.00,0.00,12.521
1779036583.568,1.20,1705.08,0.00,0.00,0.00,0.00,12.521
1779036583.668,3.80,1708.61,0.00,0.00,0.00,0.00,12.521
1779036583.770,4.90,1708.72,0.00,0.00,0.00,0.00,12.521
1779036583.870,11.40,1911.61,0.00,0.00,0.00,0.00,12.521
1779036583.971,13.60,1948.47,0.00,0.00,0.00,0.00,12.521
1779036584.071,12.30,1951.70,0.00,0.00,0.00,0.00,12.521
1779036584.171,12.50,2031.83,0.00,0.00,0.00,0.00,12.521
1779036584.271,11.40,2111.89,0.00,0.00,0.00,0.00,12.521
1779036584.372,13.60,2193.97,0.00,0.00,0.00,0.00,12.521
1779036584.472,15.00,2300.30,0.00,0.00,0.00,0.00,12.521
1779036584.573,16.00,2380.96,0.00,0.00,0.00,0.00,12.521
1779036584.673,15.00,1970.73,0.00,0.00,0.00,0.00,12.521
1779036584.774,46.80,2013.23,0.00,0.00,0.00,0.00,12.521
1779036584.874,48.10,2125.66,0.00,0.00,0.00,0.00,12.521
1779036584.974,49.40,2158.53,0.00,0.00,0.00,0.00,12.521
1779036585.075,48.10,2132.03,0.00,0.00,0.00,0.00,12.521
1779036585.175,48.10,2138.74,0.00,0.00,0.00,0.00,12.521
1779036585.275,47.50,2147.41,0.00,0.00,0.00,0.00,12.521
1779036585.376,48.80,2216.67,0.00,0.00,0.00,0.00,12.521
1779036585.476,49.40,2366.27,0.00,0.00,0.00,0.00,12.521
1779036585.577,46.80,2433.43,0.00,0.00,0.00,0.00,12.521
1779036585.678,48.10,2395.06,0.00,0.00,0.00,0.00,12.521
1779036585.778,47.50,2384.57,0.00,0.00,0.00,0.00,12.521
1779036585.878,48.10,2410.91,0.00,0.00,0.00,0.00,12.521
1779036585.979,47.50,2363.62,0.00,0.00,0.00,0.00,12.521
1779036586.079,47.50,2367.72,0.00,0.00,0.00,0.00,12.521
1779036586.179,48.80,2341.60,0.00,0.00,0.00,0.00,12.521
1779036586.280,49.40,2403.98,0.00,0.00,0.00,0.00,12.521
1779036586.380,45.00,2432.70,0.00,0.00,0.00,0.00,12.521
1779036586.481,50.60,2459.47,0.00,0.00,0.00,0.00,12.521
1779036586.582,50.00,2459.47,0.00,0.00,0.00,0.00,12.521
1779036586.682,50.00,2459.47,0.00,0.00,0.00,0.00,12.521
1779036586.782,50.60,2459.47,0.00,0.00,0.00,0.00,12.521
1779036586.883,50.00,2459.47,0.00,0.00,0.00,0.00,12.521
1779036586.983,38.70,2514.15,0.00,0.00,0.00,0.00,12.521
1779036587.084,50.60,2662.21,0.00,0.00,0.00,0.00,12.521
1779036587.184,48.10,2630.75,0.00,0.00,0.00,0.00,12.521
1779036587.284,50.00,2728.31,0.00,0.00,0.00,0.00,12.521
1779036587.385,50.00,2723.23,0.00,0.00,0.00,0.00,12.521
1779036587.485,47.50,2601.25,0.00,0.00,0.00,0.00,12.521
1779036587.586,49.40,2657.73,0.00,0.00,0.00,0.00,12.521
1779036587.686,49.40,2634.85,0.00,0.00,0.00,0.00,12.521
1779036587.786,50.60,2728.34,0.00,0.00,0.00,0.00,12.521
1779036587.887,48.80,2781.88,0.00,0.00,0.00,0.00,12.521
1779036587.987,50.00,2728.36,0.00,0.00,0.00,0.00,12.521
1779036588.088,48.80,2781.91,0.00,0.00,0.00,0.00,12.521
1779036588.188,48.80,2637.59,0.00,0.00,0.00,0.00,12.521
1779036588.288,50.60,2674.88,0.00,0.00,0.00,0.00,12.521
1779036588.389,48.80,2656.32,0.00,0.00,0.00,0.00,12.521
1779036588.489,49.40,2680.41,0.00,0.00,0.00,0.00,12.521
1779036588.590,49.40,2723.91,0.00,0.00,0.00,0.00,12.521
1779036588.690,48.80,2710.43,0.00,0.00,0.00,0.00,12.521
1779036588.790,50.60,2728.42,0.00,0.00,0.00,0.00,12.521
1779036588.891,48.80,2683.23,0.00,0.00,0.00,0.00,12.521
1779036588.991,50.60,2728.42,0.00,0.00,0.00,0.00,12.521
1779036589.091,49.40,2702.38,0.00,0.00,0.00,0.00,12.521
1779036589.192,49.40,2728.42,0.00,0.00,0.00,0.00,12.521
1779036589.292,38.70,2567.81,0.00,0.00,0.00,0.00,12.521
1779036589.392,46.90,2535.68,0.00,0.00,0.00,0.00,12.521
1779036589.493,39.20,2637.21,0.00,0.00,0.00,0.00,12.521
1779036589.593,37.80,2728.61,0.00,0.00,0.00,0.00,12.521
1779036589.694,35.00,2714.72,0.00,0.00,0.00,0.00,12.521
1779036589.794,48.10,2667.31,0.00,0.00,0.00,0.00,12.521
1779036589.894,39.50,2698.17,0.00,0.00,0.00,0.00,12.521
1779036589.995,32.90,2666.30,0.00,0.00,0.00,0.00,12.521
1779036590.095,32.10,2674.24,0.00,0.00,0.00,0.00,12.521
1779036590.195,50.00,2732.87,0.00,0.00,0.00,0.00,12.521
1779036590.296,32.50,2690.82,0.00,0.00,0.00,0.00,12.521
1779036590.396,48.80,2730.75,0.00,0.00,0.00,0.00,12.521
1779036590.496,33.30,2690.82,0.00,0.00,0.00,0.00,12.521
1779036590.597,48.80,2675.09,0.00,0.00,0.00,0.00,12.521
1779036590.697,48.80,2671.34,0.00,0.00,0.00,0.00,12.521
1779036590.797,49.40,2715.25,0.00,0.00,0.00,0.00,12.521
1779036590.898,49.40,2711.17,0.00,0.00,0.00,0.00,12.521
1779036590.998,48.80,2699.38,0.00,0.00,0.00,0.00,12.521
1779036591.099,49.40,2695.53,0.00,0.00,0.00,0.00,12.521
1779036591.199,48.80,2580.50,0.00,0.00,0.00,0.00,12.521
1779036591.299,29.60,2638.24,0.00,0.00,0.00,0.00,12.521
1779036591.400,31.60,2675.14,0.00,0.00,0.00,0.00,12.521
1779036591.500,28.40,2675.15,0.00,0.00,0.00,0.00,12.521
1779036591.600,31.20,2706.80,0.00,0.00,0.00,0.00,12.521
1779036591.701,31.30,2702.20,0.00,0.00,0.00,0.00,12.521
1779036591.801,45.00,2699.48,0.00,0.00,0.00,0.00,12.521
1779036591.902,32.10,2691.30,0.00,0.00,0.00,0.00,12.521
1779036592.002,22.50,2637.38,0.00,0.00,0.00,0.00,12.521
1779036592.102,21.00,2693.78,0.00,0.00,0.00,0.00,12.521
1779036592.203,47.50,2681.38,0.00,0.00,0.00,0.00,12.521
1779036592.303,20.00,2772.84,0.00,0.00,0.00,0.00,12.521
1779036592.404,48.10,2675.18,0.00,0.00,0.00,0.00,12.521
1779036592.504,21.00,2760.66,0.00,0.00,0.00,0.00,12.521
1779036592.604,47.50,2692.96,0.00,0.00,0.00,0.00,12.521
1779036592.705,48.10,2641.21,0.00,0.00,0.00,0.00,12.521
1779036592.805,48.80,2675.27,0.00,0.00,0.00,0.00,12.521
1779036592.905,49.40,2680.55,0.00,0.00,0.00,0.00,12.521
1779036593.006,48.80,2696.43,0.00,0.00,0.00,0.00,12.521
1779036593.106,47.50,2568.11,0.00,0.00,0.00,0.00,12.521
1779036593.206,12.50,2572.01,0.00,0.00,0.00,0.00,12.521
1779036593.307,24.70,2687.26,0.00,0.00,0.00,0.00,12.521
1779036593.407,32.90,2630.40,0.00,0.00,0.00,0.00,12.521
1779036593.508,37.00,2630.40,0.00,0.00,0.00,0.00,12.521
1779036593.608,33.30,2711.88,0.00,0.00,0.00,0.00,12.521
