timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1779037384.318,0.00,1126.06,0.00,611.38,30.00,80.85,7.480
1779037384.422,0.00,1126.46,0.00,611.38,30.00,80.85,7.480
1779037384.523,25.90,1199.98,0.00,611.38,30.00,80.91,7.480
1779037384.623,43.20,1264.73,0.00,611.38,30.00,80.91,7.480
1779037384.724,37.00,1347.11,0.00,611.38,30.00,80.96,7.480
1779037384.824,12.50,1407.42,0.00,611.38,30.00,80.94,7.480
1779037384.925,12.50,1490.23,0.00,640.69,30.00,80.93,7.480
1779037385.025,8.70,1511.28,0.00,1246.69,30.00,81.64,7.480
1779037385.126,3.70,1519.75,0.00,1316.69,30.00,82.25,7.480
1779037385.226,12.50,1520.43,4.00,1444.69,30.00,82.30,7.480
1779037385.329,3.60,1520.71,4.00,1448.69,30.00,82.73,7.480
1779037385.430,0.00,1520.71,9.00,1448.69,30.00,83.15,7.480
1779037385.530,0.00,1520.71,9.00,1448.69,30.00,83.19,7.480
1779037385.631,1.20,1520.71,0.00,1448.69,30.00,83.14,7.480
1779037385.731,0.00,1520.71,0.00,1448.69,30.00,83.15,7.480
1779037385.831,0.00,1520.71,0.00,1448.69,30.00,83.09,7.480
1779037385.932,0.00,1520.71,0.00,1448.69,30.00,83.03,7.480
1779037386.032,0.00,1520.71,0.00,1448.69,30.00,83.00,7.480
1779037386.133,0.00,1520.71,0.00,1448.69,30.00,82.30,7.480
1779037386.233,0.00,1520.71,0.00,1448.69,30.00,81.65,7.480
1779037386.333,0.00,1520.71,0.00,1448.69,30.00,81.65,7.480
1779037386.434,0.00,1520.71,0.00,1448.69,30.00,81.25,7.480
1779037386.534,0.00,1520.71,0.00,1448.69,30.00,80.80,7.480
1779037386.635,0.00,1520.71,0.00,1448.69,30.00,80.74,7.480
1779037386.735,0.00,1520.71,0.00,1448.69,30.00,80.77,7.480
1779037386.835,0.00,1520.71,0.00,1448.69,30.00,80.74,7.480
1779037386.936,0.00,1520.71,0.00,1448.69,30.00,80.79,7.480
1779037387.036,0.00,1520.71,0.00,1448.69,30.00,80.86,7.480
1779037387.136,0.00,1520.71,0.00,1448.69,30.00,80.91,7.480
