timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1779037344.961,0.00,1125.59,0.00,611.38,29.00,80.52,5.233
1779037345.065,2.40,1133.76,0.00,611.38,29.00,80.52,5.233
1779037345.165,28.80,1209.86,0.00,611.38,29.00,80.49,5.233
1779037345.266,42.50,1264.52,0.00,611.38,29.00,80.47,5.233
1779037345.367,33.80,1354.05,0.00,611.38,29.00,80.45,5.233
1779037345.467,12.30,1411.68,0.00,611.38,29.00,80.42,5.233
1779037345.568,13.60,1502.35,0.00,1042.69,29.00,80.45,5.233
1779037345.668,6.30,1510.77,0.00,1246.69,29.00,80.92,5.233
1779037345.772,7.10,1519.37,0.00,1346.69,29.00,81.69,5.233
1779037345.879,12.00,1520.20,6.00,1448.69,29.00,81.68,5.233
1779037345.979,1.20,1520.20,6.00,1448.69,29.00,82.07,5.233
1779037346.080,0.00,1520.20,9.00,1448.69,29.00,82.40,5.233
1779037346.180,0.00,1520.20,9.00,1448.69,29.00,82.45,5.233
1779037346.280,0.00,1520.20,0.00,1448.69,29.00,82.48,5.233
1779037346.381,0.00,1520.20,0.00,1448.69,29.00,82.53,5.233
1779037346.481,0.00,1520.20,0.00,1448.69,29.00,82.57,5.233
1779037346.582,0.00,1520.20,0.00,1448.69,29.00,82.64,5.233
1779037346.682,0.00,1520.20,0.00,1448.69,29.00,82.64,5.233
1779037346.782,0.00,1520.20,0.00,1448.69,29.00,81.44,5.233
1779037346.883,1.20,1520.20,0.00,1448.69,29.00,81.41,5.233
1779037346.983,0.00,1520.20,0.00,1448.69,29.00,81.03,5.233
1779037347.083,0.00,1520.20,0.00,1448.69,29.00,80.72,5.233
1779037347.184,0.00,1520.20,0.00,1448.69,29.00,80.72,5.233
1779037347.284,0.00,1520.20,0.00,1448.69,29.00,80.70,5.233
1779037347.385,0.00,1520.20,0.00,1448.69,29.00,80.69,5.233
1779037347.485,0.00,1520.20,0.00,1448.69,29.00,80.70,5.233
1779037347.585,0.00,1520.20,0.00,1448.69,29.00,80.65,5.233
1779037347.686,0.00,1520.20,0.00,1448.69,29.00,80.67,5.233
1779037347.786,0.00,1520.20,0.00,1448.69,29.00,80.69,5.233
1779037347.886,0.00,1520.20,0.00,1448.69,29.00,80.68,5.233
1779037347.987,0.00,1520.20,0.00,1448.69,29.00,80.71,5.233
1779037348.087,0.00,1520.20,0.00,1448.69,29.00,80.71,5.233
1779037348.188,0.00,1520.20,0.00,1448.69,29.00,80.69,5.233
1779037348.288,0.00,1520.20,0.00,1448.69,29.00,80.64,5.233
1779037348.442,7.30,1549.32,0.00,1448.69,29.00,80.62,5.233
1779037348.543,92.60,1549.57,0.00,1448.69,29.00,80.62,5.233
1779037348.644,36.70,1549.57,0.00,1448.69,29.00,80.64,5.233
1779037348.744,1.30,1549.61,0.00,1448.69,29.00,80.67,5.233
1779037348.845,3.70,1552.65,0.00,1448.69,29.00,80.61,5.233
1779037348.945,0.00,1552.65,0.00,1448.69,29.00,80.63,5.233
1779037349.045,12.50,1561.93,0.00,1448.69,29.00,80.67,5.233
1779037349.148,12.20,1567.27,0.00,1448.69,29.00,80.65,5.233
1779037349.249,12.30,1747.76,0.00,1448.69,29.00,80.62,5.233
1779037349.349,12.50,1809.70,0.00,1448.69,29.00,80.63,5.233
1779037349.449,12.50,1854.08,0.00,1448.69,29.00,80.70,5.233
1779037349.550,12.50,1901.65,0.00,1448.69,29.00,80.76,5.233
1779037349.650,12.50,1965.48,0.00,1448.69,29.00,80.74,5.233
1779037349.750,12.50,2031.88,0.00,1448.69,29.00,80.70,5.233
1779037349.851,12.30,2099.23,0.00,1448.69,29.00,80.68,5.233
1779037349.951,12.50,2159.62,0.00,1448.69,29.00,80.72,5.233
1779037350.051,17.10,2261.68,0.00,1448.69,29.00,80.69,5.233
1779037350.153,15.20,2342.55,0.00,1448.69,29.00,80.68,5.233
1779037350.253,8.60,1570.04,0.00,1758.69,29.00,80.76,5.233
1779037350.353,13.80,1676.04,0.00,1848.69,29.00,81.11,5.233
1779037350.454,13.60,1796.03,28.00,1850.69,29.00,81.12,5.233
1779037350.554,11.20,1934.97,28.00,1852.69,29.00,81.07,5.233
1779037350.655,0.00,1934.97,3.00,1852.69,29.00,81.73,5.233
1779037350.755,0.00,1935.09,3.00,1852.69,29.00,81.77,5.233
1779037350.856,0.00,1935.15,0.00,1852.69,29.00,81.75,5.233
1779037350.956,0.00,1935.21,0.00,1852.69,29.00,81.81,5.233
1779037351.056,0.00,1935.27,0.00,1852.69,29.00,81.81,5.233
1779037351.157,0.00,1936.62,0.00,1852.69,29.00,81.82,5.233
1779037351.257,0.00,1938.73,0.00,1852.69,29.00,81.80,5.233
1779037351.358,2.50,1945.18,0.00,1852.69,29.00,81.66,5.233
1779037351.458,11.20,2098.83,0.00,1852.69,29.00,81.33,5.233
1779037351.558,13.60,2182.07,0.00,2754.69,29.00,81.41,5.233
1779037351.659,74.10,2185.92,19.00,2754.69,31.00,88.86,5.233
1779037351.759,69.60,2186.02,19.00,3226.69,31.00,94.87,5.233
1779037351.859,91.40,2189.72,30.00,3226.69,34.00,106.00,5.233
1779037351.960,42.50,2189.72,30.00,3226.69,31.00,107.42,5.233
1779037352.060,38.80,2193.05,21.00,3226.69,31.00,109.03,5.233
1779037352.160,100.00,2193.05,21.00,3226.69,33.00,123.99,5.233
1779037352.261,65.40,2196.74,25.00,3226.69,33.00,126.17,5.233
1779037352.361,87.50,2196.74,25.00,3226.69,32.00,148.41,5.233
1779037352.461,93.80,2199.94,22.00,3226.69,34.00,158.55,5.233
1779037352.562,73.80,2203.32,22.00,3226.69,32.00,159.76,5.233
1779037352.662,100.00,2205.01,40.00,3226.69,35.00,173.70,5.233
1779037352.762,76.20,2209.60,40.00,3226.69,33.00,167.91,5.233
1779037352.863,80.20,2209.60,49.00,3226.69,32.00,179.17,5.233
1779037352.963,93.70,2210.43,49.00,3226.69,34.00,171.97,5.233
1779037353.091,29.70,2371.11,53.00,2070.69,31.00,166.31,5.233
1779037353.468,12.60,2573.51,0.00,2070.69,31.00,141.56,5.233
1779037353.569,12.50,2268.18,0.00,2070.69,30.00,131.36,5.233
