timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1779037318.730,0.00,1125.85,0.00,611.38,29.00,80.50,3.126
1779037318.835,1.20,1126.25,0.00,611.38,29.00,80.50,3.126
1779037318.936,25.90,1200.47,0.00,611.38,29.00,80.51,3.126
1779037319.036,43.80,1264.50,0.00,611.38,29.00,80.55,3.126
1779037319.137,37.00,1346.24,0.00,611.38,29.00,80.61,3.126
1779037319.237,12.50,1406.34,0.00,611.38,29.00,80.56,3.126
1779037319.338,11.40,1493.58,0.00,642.69,29.00,80.56,3.126
1779037319.438,8.60,1511.07,1.00,1246.69,29.00,81.34,3.126
1779037319.539,4.90,1519.54,1.00,1316.69,29.00,81.43,3.126
1779037319.640,12.20,1520.27,4.00,1446.69,29.00,81.70,3.126
1779037319.744,3.70,1520.50,4.00,1448.69,29.00,82.21,3.126
1779037319.844,0.00,1520.50,3.00,1448.69,29.00,82.27,3.126
1779037319.945,0.00,1520.50,3.00,1448.69,29.00,82.35,3.126
1779037320.045,0.00,1520.50,0.00,1448.69,29.00,82.38,3.126
1779037320.145,0.00,1520.50,0.00,1448.69,29.00,82.36,3.126
1779037320.246,0.00,1520.50,0.00,1448.69,29.00,82.31,3.126
1779037320.346,0.00,1520.50,0.00,1448.69,29.00,82.34,3.126
1779037320.446,0.00,1520.50,0.00,1448.69,29.00,82.27,3.126
1779037320.547,0.00,1520.50,0.00,1448.69,29.00,81.42,3.126
1779037320.647,0.00,1520.50,0.00,1448.69,29.00,81.40,3.126
1779037320.748,0.00,1520.50,0.00,1448.69,29.00,81.15,3.126
1779037320.848,0.00,1520.50,0.00,1448.69,29.00,80.66,3.126
1779037320.948,0.00,1520.50,0.00,1448.69,29.00,80.62,3.126
1779037321.049,0.00,1520.50,0.00,1448.69,29.00,80.50,3.126
1779037321.149,0.00,1520.50,0.00,1448.69,29.00,80.46,3.126
1779037321.250,0.00,1520.50,0.00,1448.69,29.00,80.44,3.126
1779037321.350,0.00,1520.50,0.00,1448.69,29.00,80.48,3.126
1779037321.450,0.00,1520.50,0.00,1448.69,29.00,80.57,3.126
1779037321.551,0.00,1520.50,0.00,1448.69,29.00,80.61,3.126
1779037321.651,0.00,1520.50,0.00,1448.69,29.00,80.65,3.126
1779037321.751,0.00,1520.50,0.00,1448.69,29.00,80.60,3.126
1779037321.878,8.80,1549.61,0.00,1448.69,29.00,80.62,3.126
1779037321.979,91.50,1549.87,0.00,1448.69,29.00,80.62,3.126
1779037322.080,31.60,1549.88,0.00,1448.69,29.00,80.67,3.126
1779037322.180,2.50,1549.90,0.00,1448.69,29.00,80.76,3.126
1779037322.280,3.70,1552.89,0.00,1448.69,29.00,80.78,3.126
1779037322.381,1.30,1552.96,0.00,1448.69,29.00,80.78,3.126
1779037322.481,12.50,1563.36,0.00,1448.69,29.00,80.71,3.126
1779037322.582,12.30,1568.18,0.00,1448.69,29.00,80.70,3.126
1779037322.683,12.30,1761.23,0.00,1448.69,29.00,80.71,3.126
1779037322.784,12.50,1811.26,0.00,1448.69,29.00,80.71,3.126
1779037322.884,12.50,1858.81,0.00,1448.69,29.00,80.74,3.126
1779037322.984,13.60,1910.23,0.00,1448.69,29.00,80.70,3.126
1779037323.084,11.40,1976.57,0.00,1448.69,29.00,80.67,3.126
1779037323.185,13.60,2042.98,0.00,1448.69,29.00,80.75,3.126
1779037323.285,12.30,2110.38,0.00,1448.69,29.00,80.74,3.126
1779037323.385,11.40,2159.91,0.00,1448.69,29.00,80.71,3.126
1779037323.485,22.20,2371.85,0.00,1448.69,29.00,80.73,3.126
1779037323.587,8.60,2342.84,0.00,1448.69,29.00,80.75,3.126
1779037323.687,10.10,1590.05,0.00,1826.69,29.00,81.34,3.126
1779037323.788,14.80,1702.90,19.00,1850.69,29.00,81.41,3.126
1779037323.888,13.60,1821.94,19.00,1852.69,30.00,81.56,3.126
1779037323.988,8.90,1935.19,3.00,1852.69,29.00,81.97,3.126
1779037324.089,0.00,1935.25,3.00,1852.69,29.00,82.02,3.126
1779037324.189,0.00,1935.37,0.00,1852.69,29.00,82.04,3.126
1779037324.290,1.20,1935.43,0.00,1852.69,29.00,81.94,3.126
1779037324.390,0.00,1935.55,0.00,1852.69,29.00,81.92,3.126
1779037324.491,3.70,1987.88,0.00,1852.69,29.00,81.95,3.126
1779037324.591,12.30,2112.41,1.00,2310.69,29.00,81.96,3.126
1779037324.691,13.70,2173.54,1.00,2808.69,29.00,95.59,3.126
1779037324.792,100.00,2176.67,34.00,2808.69,31.00,98.22,3.126
1779037324.904,16.30,2230.23,34.00,1854.69,31.00,98.43,3.126
