timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1779112712.327,0.00,1183.94,0.00,0.00,0.00,0.00,184.124
1779112712.427,0.00,1183.97,0.00,0.00,0.00,0.00,184.124
1779112712.527,18.50,1246.17,0.00,0.00,0.00,0.00,184.124
1779112712.628,37.00,1306.68,0.00,0.00,0.00,0.00,184.124
1779112712.728,42.50,1365.21,0.00,0.00,0.00,0.00,184.124
1779112712.828,24.70,1430.76,0.00,0.00,0.00,0.00,184.124
1779112712.929,12.50,1475.34,0.00,0.00,0.00,0.00,184.124
1779112713.029,0.00,1475.79,0.00,0.00,0.00,0.00,184.124
1779112713.129,12.50,1581.62,0.00,0.00,0.00,0.00,184.124
1779112713.229,11.40,1676.09,0.00,0.00,0.00,0.00,184.124
1779112713.336,15.10,1676.25,0.00,0.00,0.00,0.00,184.124
1779112713.436,0.00,1676.25,0.00,0.00,0.00,0.00,184.124
1779112713.536,0.00,1676.25,0.00,0.00,0.00,0.00,184.124
1779112713.636,0.00,1676.25,0.00,0.00,0.00,0.00,184.124
1779112713.736,0.00,1676.25,0.00,0.00,0.00,0.00,184.124
1779112713.836,0.00,1676.25,0.00,0.00,0.00,0.00,184.124
1779112713.936,0.00,1676.25,0.00,0.00,0.00,0.00,184.124
1779112714.037,0.00,1676.25,0.00,0.00,0.00,0.00,184.124
1779112714.137,0.00,1676.25,0.00,0.00,0.00,0.00,184.124
1779112714.237,0.00,1676.25,0.00,0.00,0.00,0.00,184.124
1779112714.410,8.60,1704.89,0.00,0.00,0.00,0.00,184.124
1779112714.510,95.00,1705.37,0.00,0.00,0.00,0.00,184.124
1779112714.611,42.50,1705.38,0.00,0.00,0.00,0.00,184.124
1779112714.714,1.20,1705.39,0.00,0.00,0.00,0.00,184.124
1779112714.814,1.20,1705.40,0.00,0.00,0.00,0.00,184.124
1779112714.915,4.90,1708.87,0.00,0.00,0.00,0.00,184.124
1779112715.016,7.50,1709.71,0.00,0.00,0.00,0.00,184.124
1779112715.116,12.30,1920.03,0.00,0.00,0.00,0.00,184.124
1779112715.216,12.50,1952.64,0.00,0.00,0.00,0.00,184.124
1779112715.316,12.50,1952.75,0.00,0.00,0.00,0.00,184.124
