timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1779112470.254,0.00,1184.12,0.00,0.00,0.00,0.00,72.440
1779112470.354,0.00,1184.15,0.00,0.00,0.00,0.00,72.440
1779112470.454,18.70,1246.61,0.00,0.00,0.00,0.00,72.440
1779112470.555,37.50,1306.87,0.00,0.00,0.00,0.00,72.440
1779112470.655,42.00,1367.00,0.00,0.00,0.00,0.00,72.440
1779112470.755,23.70,1431.65,0.00,0.00,0.00,0.00,72.440
1779112470.855,12.30,1475.52,0.00,0.00,0.00,0.00,72.440
1779112470.956,0.00,1476.17,0.00,0.00,0.00,0.00,72.440
1779112471.057,11.10,1582.60,0.00,0.00,0.00,0.00,72.440
1779112471.164,12.90,1676.44,0.00,0.00,0.00,0.00,72.440
1779112471.264,15.00,1676.44,0.00,0.00,0.00,0.00,72.440
1779112471.364,0.00,1676.44,0.00,0.00,0.00,0.00,72.440
1779112471.464,0.00,1676.44,0.00,0.00,0.00,0.00,72.440
1779112471.564,0.00,1676.44,0.00,0.00,0.00,0.00,72.440
1779112471.665,0.00,1676.44,0.00,0.00,0.00,0.00,72.440
1779112471.765,0.00,1676.44,0.00,0.00,0.00,0.00,72.440
1779112471.865,0.00,1676.44,0.00,0.00,0.00,0.00,72.440
1779112471.965,0.00,1676.44,0.00,0.00,0.00,0.00,72.440
1779112472.065,0.00,1676.44,0.00,0.00,0.00,0.00,72.440
1779112472.165,0.00,1676.44,0.00,0.00,0.00,0.00,72.440
1779112472.265,0.00,1676.44,0.00,0.00,0.00,0.00,72.440
1779112472.366,0.00,1676.44,0.00,0.00,0.00,0.00,72.440
1779112472.466,0.00,1676.44,0.00,0.00,0.00,0.00,72.440
1779112472.641,7.90,1705.07,0.00,0.00,0.00,0.00,72.440
1779112472.741,95.10,1705.54,0.00,0.00,0.00,0.00,72.440
1779112472.841,41.30,1705.55,0.00,0.00,0.00,0.00,72.440
1779112472.949,2.30,1705.57,0.00,0.00,0.00,0.00,72.440
1779112473.049,0.00,1705.57,0.00,0.00,0.00,0.00,72.440
1779112473.149,3.80,1709.07,0.00,0.00,0.00,0.00,72.440
1779112473.251,9.60,1709.92,0.00,0.00,0.00,0.00,72.440
1779112473.351,11.40,1926.66,0.00,0.00,0.00,0.00,72.440
1779112473.452,13.60,1952.81,0.00,0.00,0.00,0.00,72.440
1779112473.552,12.50,1952.93,0.00,0.00,0.00,0.00,72.440
1779112473.652,12.50,1967.20,0.00,0.00,0.00,0.00,72.440
1779112473.752,12.50,2026.56,0.00,0.00,0.00,0.00,72.440
1779112473.852,12.50,2085.89,0.00,0.00,0.00,0.00,72.440
1779112473.952,11.40,2148.17,0.00,0.00,0.00,0.00,72.440
1779112474.053,12.50,2202.72,0.00,0.00,0.00,0.00,72.440
1779112474.153,13.40,2202.72,0.00,0.00,0.00,0.00,72.440
1779112474.253,17.70,2381.51,0.00,0.00,0.00,0.00,72.440
1779112474.353,29.60,1972.32,0.00,0.00,0.00,0.00,72.440
1779112474.453,49.40,2020.10,0.00,0.00,0.00,0.00,72.440
1779112474.554,46.80,2237.09,0.00,0.00,0.00,0.00,72.440
1779112474.654,50.00,2243.94,0.00,0.00,0.00,0.00,72.440
1779112474.755,48.80,2268.42,0.00,0.00,0.00,0.00,72.440
1779112474.855,48.10,2290.52,0.00,0.00,0.00,0.00,72.440
1779112474.955,48.80,2272.10,0.00,0.00,0.00,0.00,72.440
1779112475.056,48.80,2213.57,0.00,0.00,0.00,0.00,72.440
1779112475.156,47.50,2226.79,0.00,0.00,0.00,0.00,72.440
1779112475.256,47.50,2213.24,0.00,0.00,0.00,0.00,72.440
1779112475.357,48.80,2235.25,0.00,0.00,0.00,0.00,72.440
1779112475.457,48.80,2257.31,0.00,0.00,0.00,0.00,72.440
1779112475.557,48.10,2280.29,0.00,0.00,0.00,0.00,72.440
1779112475.657,48.80,2306.26,0.00,0.00,0.00,0.00,72.440
1779112475.758,49.40,2389.25,0.00,0.00,0.00,0.00,72.440
1779112475.858,50.00,2415.28,0.00,0.00,0.00,0.00,72.440
1779112475.959,49.40,2415.01,0.00,0.00,0.00,0.00,72.440
1779112476.059,50.60,2441.45,0.00,0.00,0.00,0.00,72.440
1779112476.159,50.00,2467.40,0.00,0.00,0.00,0.00,72.440
1779112476.260,33.80,2497.34,0.00,0.00,0.00,0.00,72.440
1779112476.360,50.60,2490.21,0.00,0.00,0.00,0.00,72.440
1779112476.460,50.00,2590.36,0.00,0.00,0.00,0.00,72.440
1779112476.561,49.40,2588.38,0.00,0.00,0.00,0.00,72.440
1779112476.661,49.40,2654.78,0.00,0.00,0.00,0.00,72.440
1779112476.761,48.10,2603.64,0.00,0.00,0.00,0.00,72.440
1779112476.862,49.40,2586.10,0.00,0.00,0.00,0.00,72.440
1779112476.962,49.40,2601.63,0.00,0.00,0.00,0.00,72.440
1779112477.062,48.80,2640.89,0.00,0.00,0.00,0.00,72.440
1779112477.163,50.00,2657.90,0.00,0.00,0.00,0.00,72.440
1779112477.263,48.80,2665.87,0.00,0.00,0.00,0.00,72.440
1779112477.363,49.40,2576.66,0.00,0.00,0.00,0.00,72.440
1779112477.464,50.00,2673.39,0.00,0.00,0.00,0.00,72.440
1779112477.564,48.70,2663.39,0.00,0.00,0.00,0.00,72.440
