timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1779112363.584,0.00,1183.92,0.00,0.00,0.00,0.00,10.845
1779112363.684,1.20,1183.94,0.00,0.00,0.00,0.00,10.845
1779112363.784,17.70,1247.55,0.00,0.00,0.00,0.00,10.845
1779112363.884,37.50,1307.09,0.00,0.00,0.00,0.00,10.845
1779112363.984,42.00,1368.08,0.00,0.00,0.00,0.00,10.845
1779112364.085,23.70,1432.66,0.00,0.00,0.00,0.00,10.845
1779112364.185,11.20,1475.29,0.00,0.00,0.00,0.00,10.845
1779112364.285,1.20,1479.16,0.00,0.00,0.00,0.00,10.845
1779112364.385,12.50,1586.36,0.00,0.00,0.00,0.00,10.845
1779112364.485,12.50,1676.22,0.00,0.00,0.00,0.00,10.845
1779112364.586,14.80,1676.22,0.00,0.00,0.00,0.00,10.845
1779112364.686,0.00,1676.22,0.00,0.00,0.00,0.00,10.845
1779112364.786,0.00,1676.22,0.00,0.00,0.00,0.00,10.845
1779112364.886,0.00,1676.22,0.00,0.00,0.00,0.00,10.845
1779112364.986,0.00,1676.22,0.00,0.00,0.00,0.00,10.845
1779112365.087,0.00,1676.22,0.00,0.00,0.00,0.00,10.845
1779112365.187,0.00,1676.22,0.00,0.00,0.00,0.00,10.845
1779112365.287,0.00,1676.22,0.00,0.00,0.00,0.00,10.845
1779112365.387,0.00,1676.22,0.00,0.00,0.00,0.00,10.845
1779112365.536,9.20,1704.85,0.00,0.00,0.00,0.00,10.845
1779112365.636,93.70,1705.33,0.00,0.00,0.00,0.00,10.845
1779112365.736,36.30,1705.34,0.00,0.00,0.00,0.00,10.845
1779112365.837,2.50,1705.36,0.00,0.00,0.00,0.00,10.845
1779112365.937,0.00,1705.36,0.00,0.00,0.00,0.00,10.845
1779112366.037,3.80,1708.83,0.00,0.00,0.00,0.00,10.845
1779112366.138,8.60,1709.66,0.00,0.00,0.00,0.00,10.845
1779112366.241,12.00,1926.42,0.00,0.00,0.00,0.00,10.845
1779112366.342,12.50,1952.60,0.00,0.00,0.00,0.00,10.845
1779112366.442,12.50,1952.73,0.00,0.00,0.00,0.00,10.845
1779112366.542,13.60,1979.36,0.00,0.00,0.00,0.00,10.845
1779112366.642,11.40,2042.69,0.00,0.00,0.00,0.00,10.845
1779112366.742,12.50,2106.16,0.00,0.00,0.00,0.00,10.845
1779112366.842,12.50,2170.77,0.00,0.00,0.00,0.00,10.845
1779112366.943,12.50,2202.50,0.00,0.00,0.00,0.00,10.845
1779112367.043,23.70,2468.50,0.00,0.00,0.00,0.00,10.845
1779112367.143,3.70,2381.29,0.00,0.00,0.00,0.00,10.845
1779112367.243,45.00,1998.04,0.00,0.00,0.00,0.00,10.845
1779112367.344,46.90,2074.48,0.00,0.00,0.00,0.00,10.845
1779112367.444,48.80,2099.03,0.00,0.00,0.00,0.00,10.845
1779112367.544,50.00,2135.00,0.00,0.00,0.00,0.00,10.845
1779112367.645,48.80,2164.93,0.00,0.00,0.00,0.00,10.845
1779112367.745,49.40,2207.57,0.00,0.00,0.00,0.00,10.845
1779112367.846,48.80,2256.87,0.00,0.00,0.00,0.00,10.845
1779112367.946,48.80,2301.87,0.00,0.00,0.00,0.00,10.845
1779112368.046,49.40,2356.56,0.00,0.00,0.00,0.00,10.845
1779112368.147,49.40,2352.48,0.00,0.00,0.00,0.00,10.845
1779112368.247,49.40,2381.16,0.00,0.00,0.00,0.00,10.845
1779112368.347,48.80,2412.39,0.00,0.00,0.00,0.00,10.845
1779112368.448,48.80,2439.89,0.00,0.00,0.00,0.00,10.845
1779112368.548,48.10,2374.86,0.00,0.00,0.00,0.00,10.845
1779112368.648,50.00,2401.61,0.00,0.00,0.00,0.00,10.845
1779112368.749,50.00,2415.07,0.00,0.00,0.00,0.00,10.845
1779112368.849,50.00,2401.91,0.00,0.00,0.00,0.00,10.845
1779112368.949,50.00,2392.47,0.00,0.00,0.00,0.00,10.845
1779112369.050,46.30,2378.31,0.00,0.00,0.00,0.00,10.845
1779112369.150,38.30,2476.27,0.00,0.00,0.00,0.00,10.845
1779112369.250,49.40,2566.52,0.00,0.00,0.00,0.00,10.845
1779112369.350,49.40,2539.21,0.00,0.00,0.00,0.00,10.845
1779112369.451,50.00,2639.51,0.00,0.00,0.00,0.00,10.845
1779112369.551,48.70,2554.64,0.00,0.00,0.00,0.00,10.845
1779112369.651,47.50,2566.69,0.00,0.00,0.00,0.00,10.845
1779112369.752,50.60,2593.40,0.00,0.00,0.00,0.00,10.845
1779112369.852,48.80,2609.54,0.00,0.00,0.00,0.00,10.845
1779112369.952,50.00,2646.68,0.00,0.00,0.00,0.00,10.845
1779112370.053,49.40,2592.67,0.00,0.00,0.00,0.00,10.845
1779112370.153,49.40,2636.66,0.00,0.00,0.00,0.00,10.845
1779112370.253,48.80,2503.61,0.00,0.00,0.00,0.00,10.845
1779112370.354,50.00,2592.83,0.00,0.00,0.00,0.00,10.845
1779112370.454,49.40,2635.39,0.00,0.00,0.00,0.00,10.845
1779112370.554,50.60,2668.68,0.00,0.00,0.00,0.00,10.845
1779112370.655,48.80,2656.99,0.00,0.00,0.00,0.00,10.845
1779112370.755,50.00,2624.95,0.00,0.00,0.00,0.00,10.845
1779112370.855,50.00,2693.17,0.00,0.00,0.00,0.00,10.845
1779112370.956,49.40,2687.86,0.00,0.00,0.00,0.00,10.845
1779112371.056,42.50,2486.70,0.00,0.00,0.00,0.00,10.845
1779112371.156,16.50,2545.57,0.00,0.00,0.00,0.00,10.845
1779112371.256,46.90,2485.07,0.00,0.00,0.00,0.00,10.845
1779112371.357,50.00,2559.36,0.00,0.00,0.00,0.00,10.845
1779112371.457,48.10,2614.85,0.00,0.00,0.00,0.00,10.845
1779112371.557,49.40,2559.43,0.00,0.00,0.00,0.00,10.845
1779112371.658,47.50,2604.23,0.00,0.00,0.00,0.00,10.845
1779112371.758,48.80,2648.86,0.00,0.00,0.00,0.00,10.845
1779112371.858,49.40,2639.23,0.00,0.00,0.00,0.00,10.845
1779112371.959,48.80,2597.41,0.00,0.00,0.00,0.00,10.845
1779112372.059,48.80,2679.60,0.00,0.00,0.00,0.00,10.845
1779112372.159,48.80,2626.47,0.00,0.00,0.00,0.00,10.845
1779112372.260,49.40,2645.12,0.00,0.00,0.00,0.00,10.845
1779112372.360,49.40,2701.86,0.00,0.00,0.00,0.00,10.845
1779112372.460,49.40,2666.36,0.00,0.00,0.00,0.00,10.845
1779112372.561,49.40,2666.49,0.00,0.00,0.00,0.00,10.845
1779112372.661,48.80,2613.30,0.00,0.00,0.00,0.00,10.845
1779112372.761,25.30,2491.53,0.00,0.00,0.00,0.00,10.845
1779112372.861,23.70,2576.06,0.00,0.00,0.00,0.00,10.845
1779112372.962,47.50,2510.90,0.00,0.00,0.00,0.00,10.845
1779112373.062,48.80,2650.99,0.00,0.00,0.00,0.00,10.845
1779112373.162,47.50,2548.74,0.00,0.00,0.00,0.00,10.845
1779112373.263,48.80,2561.15,0.00,0.00,0.00,0.00,10.845
1779112373.363,48.10,2615.47,0.00,0.00,0.00,0.00,10.845
1779112373.463,48.80,2706.79,0.00,0.00,0.00,0.00,10.845
1779112373.564,48.80,2631.08,0.00,0.00,0.00,0.00,10.845
1779112373.664,49.40,2670.78,0.00,0.00,0.00,0.00,10.845
1779112373.764,46.20,2588.99,0.00,0.00,0.00,0.00,10.845
1779112373.865,50.60,2667.02,0.00,0.00,0.00,0.00,10.845
