timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1779115917.935,0.00,1184.62,0.00,0.00,0.00,0.00,351.012
1779115918.035,0.00,1184.64,0.00,0.00,0.00,0.00,351.012
1779115918.135,31.70,1262.85,0.00,0.00,0.00,0.00,351.012
1779115918.235,46.20,1325.39,0.00,0.00,0.00,0.00,351.012
1779115918.336,39.00,1422.04,0.00,0.00,0.00,0.00,351.012
1779115918.436,25.00,1475.93,0.00,0.00,0.00,0.00,351.012
1779115918.536,0.00,1476.71,0.00,0.00,0.00,0.00,351.012
1779115918.637,25.00,1599.36,0.00,0.00,0.00,0.00,351.012
1779115918.737,28.20,1676.85,0.00,0.00,0.00,0.00,351.012
1779115918.837,4.90,1676.85,0.00,0.00,0.00,0.00,351.012
1779115918.938,0.00,1676.85,0.00,0.00,0.00,0.00,351.012
1779115919.038,0.00,1676.85,0.00,0.00,0.00,0.00,351.012
1779115919.138,0.00,1676.85,0.00,0.00,0.00,0.00,351.012
1779115919.238,0.00,1676.85,0.00,0.00,0.00,0.00,351.012
1779115919.339,0.00,1676.85,0.00,0.00,0.00,0.00,351.012
1779115919.439,0.00,1676.85,0.00,0.00,0.00,0.00,351.012
1779115919.539,0.00,1676.85,0.00,0.00,0.00,0.00,351.012
1779115919.639,0.00,1676.85,0.00,0.00,0.00,0.00,351.012
1779115919.744,20.90,1705.58,0.00,0.00,0.00,0.00,351.012
1779115919.846,87.80,1705.80,0.00,0.00,0.00,0.00,351.012
1779115919.946,35.90,1705.82,0.00,0.00,0.00,0.00,351.012
1779115920.046,4.90,1705.84,0.00,0.00,0.00,0.00,351.012
1779115920.152,4.50,1712.82,0.00,0.00,0.00,0.00,351.012
1779115920.257,2.50,1708.90,0.00,0.00,0.00,0.00,351.012
1779115920.358,23.10,1875.45,0.00,0.00,0.00,0.00,351.012
1779115920.458,26.80,1946.77,0.00,0.00,0.00,0.00,351.012
1779115920.558,25.00,1946.93,0.00,0.00,0.00,0.00,351.012
1779115920.658,25.00,1998.82,0.00,0.00,0.00,0.00,351.012
1779115920.759,23.10,2078.07,0.00,0.00,0.00,0.00,351.012
1779115920.859,26.80,2158.41,0.00,0.00,0.00,0.00,351.012
1779115920.959,25.00,2196.20,0.00,0.00,0.00,0.00,351.012
1779115921.060,30.00,2380.81,0.00,0.00,0.00,0.00,351.012
1779115921.160,10.00,1971.94,0.00,0.00,0.00,0.00,351.012
1779115921.260,50.00,1974.00,0.00,0.00,0.00,0.00,351.012
1779115921.361,50.00,2011.77,0.00,0.00,0.00,0.00,351.012
1779115921.461,48.80,2090.91,0.00,0.00,0.00,0.00,351.012
1779115921.561,48.70,2076.02,0.00,0.00,0.00,0.00,351.012
