timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1779114670.194,0.00,1184.05,0.00,0.00,0.00,0.00,146.754
1779114670.295,2.40,1184.08,0.00,0.00,0.00,0.00,146.754
1779114670.395,33.30,1263.31,0.00,0.00,0.00,0.00,146.754
1779114670.495,47.50,1324.03,0.00,0.00,0.00,0.00,146.754
1779114670.596,37.50,1418.15,0.00,0.00,0.00,0.00,146.754
1779114670.697,24.40,1475.34,0.00,0.00,0.00,0.00,146.754
1779114670.798,2.50,1478.56,0.00,0.00,0.00,0.00,146.754
1779114670.899,25.00,1600.20,0.00,0.00,0.00,0.00,146.754
1779114670.999,31.70,1676.29,0.00,0.00,0.00,0.00,146.754
1779114671.100,7.50,1676.29,0.00,0.00,0.00,0.00,146.754
1779114671.200,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114671.301,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114671.401,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114671.501,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114671.601,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114671.702,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114671.802,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114671.902,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114672.002,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114672.103,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114672.203,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114672.303,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114672.403,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114672.504,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114672.604,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114672.704,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114672.804,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114672.905,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114673.005,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114673.105,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114673.205,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114673.306,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114673.406,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114673.506,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114673.606,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114673.707,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114673.807,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114673.907,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114674.007,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114674.108,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114674.208,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114674.308,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114674.408,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114674.509,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114674.609,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114674.709,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114674.809,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114674.910,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114675.010,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114675.110,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114675.210,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114675.311,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114675.411,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114675.511,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114675.612,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114675.712,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114675.812,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114675.912,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114676.013,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114676.113,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114676.213,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114676.313,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114676.414,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114676.514,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114676.614,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114676.714,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114676.815,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114676.915,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114677.015,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114677.115,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114677.216,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114677.316,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114677.416,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114677.516,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114677.617,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114677.717,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114677.817,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114677.917,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114678.018,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114678.118,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114678.218,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
1779114678.318,0.00,1676.29,0.00,0.00,0.00,0.00,146.754
