timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1779114604.535,0.00,1184.66,0.00,0.00,0.00,0.00,20.202
1779114604.635,0.00,1184.68,0.00,0.00,0.00,0.00,20.202
1779114604.735,30.00,1258.75,0.00,0.00,0.00,0.00,20.202
1779114604.835,47.50,1323.94,0.00,0.00,0.00,0.00,20.202
1779114604.936,40.00,1410.89,0.00,0.00,0.00,0.00,20.202
1779114605.036,25.00,1472.59,0.00,0.00,0.00,0.00,20.202
1779114605.137,5.00,1475.96,0.00,0.00,0.00,0.00,20.202
1779114605.237,22.00,1579.41,0.00,0.00,0.00,0.00,20.202
1779114605.338,25.60,1676.89,0.00,0.00,0.00,0.00,20.202
1779114605.438,14.60,1676.89,0.00,0.00,0.00,0.00,20.202
1779114605.538,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114605.639,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114605.739,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114605.839,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114605.939,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114606.040,2.60,1676.89,0.00,0.00,0.00,0.00,20.202
1779114606.140,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114606.240,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114606.341,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114606.441,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114606.541,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114606.641,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114606.742,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114606.842,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114606.942,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114607.042,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114607.143,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114607.243,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114607.343,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114607.443,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114607.544,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114607.644,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114607.744,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114607.844,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114607.945,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114608.045,2.40,1676.89,0.00,0.00,0.00,0.00,20.202
1779114608.145,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114608.245,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114608.346,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114608.446,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114608.546,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114608.646,2.40,1676.89,0.00,0.00,0.00,0.00,20.202
1779114608.747,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114608.847,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114608.947,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114609.047,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114609.148,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114609.248,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114609.348,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114609.448,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114609.549,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114609.649,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114609.749,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114609.849,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114609.950,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114610.050,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114610.150,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114610.251,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114610.351,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114610.451,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114610.551,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114610.652,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114610.752,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114610.852,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114610.952,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114611.053,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114611.153,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
1779114611.253,0.00,1676.89,0.00,0.00,0.00,0.00,20.202
